"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",8,10,13,14,11,8,11,6,13,8,14,11,14,9,9,11,10,6,12
"2",12,7,5,6,10,5,6,15,3,5,4,5,4,8,5,6,3,13,4
"3",16,14,14,16,12,16,16,12,16,16,16,11,16,14,14,16,15,15,14
"4",7,10,10,14,15,8,14,14,13,15,14,14,15,13,15,14,12,14,11
"5",15,16,16,12,13,16,10,16,15,14,16,13,14,8,14,11,10,16,14
"6",15,16,16,12,15,16,16,16,14,15,16,16,13,15,16,15,16,15,13
"7",10,11,12,9,13,14,15,12,9,8,8,12,11,11,13,10,7,13,10
"8",10,6,6,10,9,12,9,12,12,5,8,9,6,8,3,10,8,11,6
"9",10,14,10,13,11,13,15,12,11,13,16,12,4,8,12,16,7,15,14
"10",12,12,9,8,3,7,4,8,6,5,3,4,4,2,6,7,9,8,3
"11",12,13,11,11,10,11,12,13,10,12,15,13,10,13,11,13,12,14,4
"12",1,1,7,6,3,5,2,2,1,4,2,5,5,1,2,9,2,5,4
"13",10,14,13,9,14,13,14,13,10,11,15,12,10,9,15,16,10,15,14
"14",12,2,3,8,6,13,7,9,6,4,8,12,5,3,3,6,8,1,7
"15",2,7,2,9,2,7,3,2,4,5,12,10,3,8,4,5,5,6,13
"16",16,16,16,16,16,14,15,12,16,15,14,16,15,16,16,14,14,16,16
"17",3,12,9,8,6,5,6,7,6,3,13,14,3,6,10,3,7,8,15
"18",11,15,12,11,14,14,13,13,13,16,5,15,15,16,13,11,11,16,14
"19",5,3,2,4,6,7,7,2,6,4,4,3,13,4,6,4,4,5,7
"20",9,8,16,5,10,13,1,6,7,5,3,7,9,9,11,11,5,7,7
"21",7,3,7,6,3,9,5,6,10,10,5,4,6,11,9,6,6,2,2
"22",9,10,16,6,11,10,13,11,13,7,15,6,9,13,16,4,15,11,15
"23",15,14,16,13,16,15,14,15,15,15,14,13,13,12,16,11,16,13,16
"24",15,15,15,15,13,14,11,15,7,13,12,16,9,10,10,16,12,13,16
"25",7,7,8,3,11,10,9,6,8,11,11,7,5,4,11,7,12,6,8
"26",4,9,5,7,8,3,6,2,5,7,9,6,8,6,4,9,11,4,4
"27",2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
"28",16,16,13,16,15,15,16,16,15,16,16,15,16,15,15,12,10,16,15
"29",14,14,13,10,11,11,14,15,15,10,14,11,10,12,13,7,15,11,14
"30",2,5,4,1,4,5,1,1,2,2,1,7,5,1,1,7,3,2,3
"31",2,2,3,2,2,2,8,5,8,5,8,3,4,9,3,5,3,2,6
"32",10,8,5,3,2,3,8,1,4,5,4,7,9,7,3,6,7,7,3
"33",10,10,4,10,8,6,12,3,4,6,4,13,7,2,11,2,8,6,9
"34",13,7,7,13,11,11,14,14,9,12,11,10,10,11,14,10,15,7,13
"35",12,13,11,16,11,15,13,14,14,15,13,12,14,10,16,5,16,14,6
"36",5,11,9,5,8,12,6,9,10,4,5,12,10,10,10,9,7,11,12
"37",14,15,14,13,15,11,16,14,14,16,7,12,10,9,15,16,6,2,11
"38",11,11,15,13,9,10,13,15,7,14,12,10,14,14,14,15,5,15,12
"39",13,11,8,12,13,8,12,13,7,13,14,11,11,12,16,9,10,10,2
"40",3,3,2,4,4,6,4,4,4,2,6,3,3,12,10,2,2,3,3
"41",6,11,9,5,5,7,9,11,5,5,2,5,8,3,8,5,3,10,13
"42",15,13,11,14,9,15,9,5,13,16,13,15,15,12,14,16,16,11,15
"43",11,6,13,6,9,4,11,8,6,7,7,7,9,8,10,8,9,11,9
"44",6,2,5,4,4,1,2,3,5,7,3,5,8,5,2,3,2,4,4
"45",7,8,11,8,9,14,14,13,8,15,15,16,10,14,9,9,7,11,16
"46",11,8,11,14,7,10,6,11,9,11,4,8,11,11,7,6,12,6,6
"47",12,14,7,15,6,16,9,6,6,14,5,11,11,14,6,3,8,12,8
"48",15,14,16,16,15,16,15,15,13,16,16,14,15,14,14,14,14,14,13
"49",12,10,12,12,14,12,15,13,10,12,10,12,6,10,10,4,13,8,13
"50",7,15,14,7,11,12,9,12,5,13,13,7,11,14,7,16,12,4,14
"51",10,4,10,9,13,2,3,14,4,10,5,4,11,4,8,6,3,4,12
"52",9,9,11,5,15,4,5,9,6,11,10,10,7,10,5,3,7,14,10
"53",2,11,2,3,6,5,2,3,7,5,2,8,2,3,9,1,7,9,2
"54",7,5,5,9,11,11,12,10,12,10,14,13,12,4,14,15,10,7,5
"55",5,10,6,9,1,8,9,7,11,6,11,11,9,10,11,5,11,9,12
"56",7,3,2,13,3,4,5,9,3,12,2,4,3,3,2,7,2,2,5
"57",4,2,10,9,7,6,8,4,11,10,5,11,8,9,11,13,12,5,11
"58",10,8,5,8,5,10,13,10,6,7,7,5,8,13,4,14,5,7,8
"59",12,10,11,11,10,5,13,10,10,10,4,11,7,12,13,14,5,14,15
"60",6,4,2,5,4,4,4,3,4,7,9,8,2,10,7,12,4,3,6
"61",10,3,11,3,14,8,9,9,13,10,4,9,8,12,8,11,9,12,10
"62",10,13,11,7,11,8,8,5,4,10,5,6,9,12,8,10,6,8,10
"63",14,13,14,14,15,15,16,15,14,16,14,16,12,16,14,13,16,16,14
"64",6,11,8,12,6,4,6,8,10,7,8,7,12,10,6,7,8,6,9
"65",16,13,16,16,16,16,16,13,16,13,16,14,16,13,16,16,16,15,16
"66",5,1,3,1,9,4,4,7,2,2,5,5,4,3,7,8,3,9,2
"67",1,1,1,1,3,2,1,2,1,6,1,1,1,5,5,2,5,2,1
"68",6,7,11,9,4,8,2,3,9,3,4,6,6,4,7,6,1,6,2
"69",1,1,1,3,7,3,6,1,10,10,1,4,1,3,4,3,2,2,4
"70",11,14,16,15,8,11,9,10,15,15,4,13,8,12,15,5,12,14,12
"71",4,5,2,5,6,2,3,2,2,4,3,5,2,6,4,1,2,4,8
"72",2,1,2,7,11,1,2,5,1,2,1,1,7,1,5,1,2,3,3
"73",14,15,14,14,16,15,10,14,16,16,14,14,14,15,16,12,16,12,13
"74",7,7,3,3,2,4,6,5,7,7,8,3,4,3,6,4,5,5,3
"75",15,10,11,15,14,6,10,10,9,15,10,11,14,6,11,11,14,12,14
"76",14,16,13,15,10,16,13,14,15,8,12,14,10,13,12,14,13,11,15
"77",2,4,4,6,3,1,3,7,2,9,7,6,2,1,3,1,3,6,6
"78",7,12,14,8,12,14,8,12,11,7,9,10,12,6,13,12,12,8,7
"79",8,12,11,5,15,9,11,14,7,12,11,2,11,9,11,13,11,5,6
"80",15,16,14,14,13,14,15,14,12,13,12,15,11,16,14,14,13,14,15
"81",10,10,7,12,9,6,12,10,12,5,8,13,10,10,10,14,4,14,3
"82",7,8,10,3,3,10,12,2,5,5,6,4,2,6,7,11,3,5,5
"83",10,4,13,11,8,13,13,15,10,9,7,9,15,9,13,2,9,13,15
"84",16,13,15,12,14,15,12,9,15,12,14,12,15,14,16,14,14,11,15
"85",10,13,10,4,12,5,12,13,9,16,10,8,11,11,9,6,13,11,5
"86",1,8,2,2,2,3,7,1,3,7,8,2,6,2,2,4,1,5,6
"87",16,12,15,15,14,15,13,16,16,13,14,15,10,12,14,16,14,11,15
"88",14,5,7,11,11,7,8,3,13,4,8,7,5,6,15,13,9,7,9
"89",14,10,11,14,9,14,12,12,14,14,10,12,13,13,13,6,9,13,6
"90",14,9,14,13,15,12,11,10,7,15,11,13,13,11,9,10,10,14,11
"91",11,12,13,11,11,10,10,8,4,9,9,9,6,12,11,4,8,9,12
"92",13,15,12,13,7,11,4,13,14,11,14,15,13,13,10,13,13,14,11
"93",3,2,9,8,5,6,3,7,2,7,3,7,6,2,1,4,2,7,4
"94",3,5,4,6,1,2,1,7,4,3,2,4,1,2,7,1,10,10,1
"95",14,15,16,16,16,14,14,15,15,11,15,14,15,14,14,15,12,12,15
"96",8,11,5,10,15,6,13,10,6,11,10,10,14,10,12,15,13,7,14
"97",2,4,3,4,1,2,1,4,3,1,1,1,1,2,2,5,1,3,1
"98",12,11,15,12,13,13,8,10,12,14,9,14,14,10,11,15,11,14,12
"99",6,5,4,2,4,1,6,2,9,1,3,9,10,4,9,8,6,4,4
"100",9,4,2,12,2,2,7,5,5,8,4,3,8,4,4,5,10,3,8
"101",1,1,1,3,3,1,1,7,1,4,2,1,2,1,4,6,3,1,4
"102",9,7,6,9,4,6,8,5,5,12,3,5,6,9,9,7,6,6,4
"103",10,2,9,7,7,7,9,7,9,10,11,12,12,5,14,12,14,13,3
"104",16,12,8,12,9,15,13,13,12,12,15,13,11,7,11,15,5,7,11
"105",15,13,10,16,13,6,15,6,14,16,14,16,11,16,15,16,16,9,9
"106",7,9,11,12,11,15,5,11,6,11,13,13,7,12,14,14,6,6,12
"107",8,4,8,11,5,8,10,15,11,15,11,10,12,2,6,9,8,10,9
"108",10,6,11,12,7,7,9,12,11,13,8,4,9,8,15,12,4,2,5
"109",15,7,11,13,13,8,16,12,6,15,11,8,4,10,9,7,11,12,5
"110",4,6,4,4,5,7,4,6,10,3,3,4,2,10,9,6,2,9,9
"111",15,14,14,14,7,10,15,13,12,9,15,14,16,12,12,13,12,12,14
"112",2,8,8,2,5,5,3,4,3,7,5,3,9,7,2,5,4,12,8
"113",16,16,16,13,12,15,16,15,13,15,11,15,16,16,14,14,14,12,16
"114",5,12,5,10,7,11,7,9,11,6,12,14,12,8,10,4,13,5,7
"115",3,2,2,3,2,3,1,5,3,4,3,2,4,3,3,4,4,2,2
"116",13,10,12,12,13,11,11,13,13,12,12,13,12,6,10,13,10,12,12
"117",12,15,12,13,9,9,15,8,15,9,7,14,14,11,8,9,9,15,16
"118",8,7,7,6,5,12,10,8,7,7,5,13,9,4,10,13,12,12,8
"119",7,6,12,8,1,7,5,9,8,12,11,6,14,9,7,8,4,8,9
"120",6,2,4,2,2,4,3,6,2,1,3,1,5,3,7,1,2,1,6
"121",13,8,13,12,12,8,13,15,11,8,15,9,15,9,10,6,12,10,11
"122",2,5,14,5,7,10,4,15,4,9,5,5,6,6,11,14,13,6,11
"123",16,16,16,16,16,16,16,14,14,16,15,16,15,16,16,13,16,16,14
"124",4,1,10,1,1,7,9,4,1,4,7,3,1,6,2,4,4,1,3
"125",1,2,1,3,1,2,3,1,2,2,2,3,3,2,5,4,3,8,2
"126",6,10,6,5,5,3,5,2,8,8,10,5,7,11,5,5,7,4,12
"127",16,16,10,16,16,15,16,15,15,15,15,14,11,16,14,14,9,16,15
"128",4,5,3,2,4,3,1,4,5,6,2,4,3,2,2,4,6,3,1
"129",6,2,5,5,5,4,8,1,10,9,10,4,4,4,8,6,10,5,9
