"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",8,12,13,7,10,14,10,8,14,11,13,9,11,14,2,6,9,13,10
"2",5,5,7,8,6,5,7,6,11,7,15,5,13,3,12,12,5,10,5
"3",14,15,14,15,12,16,16,14,16,16,16,14,16,16,14,16,12,15,16
"4",7,15,15,14,10,14,12,14,13,8,12,14,12,13,10,15,15,12,11
"5",15,12,14,16,7,10,13,11,12,16,16,12,10,10,8,15,11,13,16
"6",16,13,12,16,14,15,16,15,14,16,15,15,15,15,14,13,15,16,16
"7",10,12,14,13,8,14,15,16,9,9,13,13,10,14,14,11,16,16,14
"8",6,9,6,9,8,4,6,8,14,8,8,12,6,10,10,11,7,8,6
"9",14,10,12,4,15,5,14,15,14,11,12,6,12,16,8,6,7,7,9
"10",12,8,4,6,12,6,3,7,3,8,2,7,8,4,6,7,12,4,7
"11",7,13,10,11,4,15,15,8,8,16,9,11,14,15,11,11,14,8,12
"12",5,2,10,4,1,3,4,1,2,2,2,1,3,5,4,5,4,2,3
"13",15,15,14,12,15,12,10,10,14,15,12,16,14,15,16,15,12,12,15
"14",13,9,7,2,12,8,2,12,3,10,3,1,3,12,8,6,2,3,14
"15",2,7,7,4,6,5,2,3,5,13,9,2,4,4,1,2,5,4,4
"16",16,16,16,15,16,16,16,15,15,16,16,15,16,16,13,14,16,14,16
"17",14,12,7,6,8,14,9,4,4,11,8,6,11,13,10,13,12,10,5
"18",11,13,14,14,15,11,15,14,12,14,15,11,13,13,16,11,15,15,12
"19",5,3,2,2,4,7,4,6,4,4,3,8,4,11,3,2,3,5,6
"20",16,9,5,7,13,11,11,10,8,3,3,11,2,10,9,1,2,8,9
"21",7,6,7,6,10,9,2,4,8,7,4,3,10,5,3,9,6,4,13
"22",10,4,6,9,13,5,15,6,15,3,16,7,10,15,6,13,12,1,13
"23",16,13,15,13,12,14,14,16,15,15,16,11,14,16,15,9,14,14,13
"24",15,14,9,16,16,15,13,11,16,10,15,10,15,10,16,16,7,13,16
"25",8,7,7,10,12,15,9,15,11,9,6,6,11,4,6,8,12,3,8
"26",9,5,2,5,5,7,8,4,4,13,6,11,6,3,10,14,8,5,6
"27",2,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,2
"28",16,16,13,15,15,16,14,15,15,12,16,12,15,13,15,15,15,15,16
"29",14,14,9,5,11,13,4,10,9,15,12,9,15,5,11,13,10,12,14
"30",5,4,1,2,3,1,2,6,4,1,5,3,2,1,4,4,6,2,7
"31",3,2,4,3,1,4,2,8,1,1,6,4,2,5,3,5,4,2,2
"32",5,3,6,9,2,5,13,4,1,6,10,7,2,8,7,3,6,2,9
"33",4,10,13,3,4,10,5,4,6,11,13,4,9,4,4,5,5,6,2
"34",13,12,10,13,8,8,11,14,9,14,13,11,11,12,15,15,13,13,11
"35",12,16,14,16,14,16,16,14,15,13,15,13,10,13,14,11,15,15,10
"36",5,8,9,11,10,8,8,12,9,9,8,5,7,9,11,6,4,5,8
"37",14,15,11,15,15,14,16,10,15,4,12,13,16,15,13,15,12,9,2
"38",11,11,15,11,5,13,15,13,14,9,12,14,6,15,8,13,13,12,14
"39",11,13,12,3,11,8,13,12,8,12,14,6,12,7,10,13,10,15,9
"40",4,6,3,2,7,2,3,10,5,3,2,5,6,7,1,4,5,8,3
"41",6,3,11,7,5,14,1,2,3,5,8,9,7,9,14,8,12,8,11
"42",14,15,15,11,11,13,13,9,13,14,5,4,13,14,11,11,14,14,15
"43",8,6,11,6,9,7,5,8,9,9,5,12,4,4,11,11,8,7,9
"44",2,6,5,4,5,1,3,1,4,2,4,2,7,2,1,4,9,3,6
"45",14,11,8,8,7,15,15,13,9,14,15,15,11,16,11,10,7,12,12
"46",6,11,11,6,9,15,4,10,11,7,6,5,5,15,12,6,14,16,12
"47",15,11,14,1,16,9,15,9,14,10,12,14,12,10,6,8,12,7,13
"48",14,15,15,16,15,16,15,14,16,11,16,14,16,14,12,14,11,16,16
"49",12,13,12,10,9,12,7,11,10,16,4,12,5,15,4,15,12,13,13
"50",13,12,7,12,7,7,8,9,15,4,12,13,13,7,15,9,13,14,12
"51",10,4,5,3,3,10,7,6,2,4,7,11,4,11,2,4,6,3,3
"52",9,10,16,9,3,15,11,8,11,5,14,4,9,4,5,10,4,9,14
"53",2,11,2,2,5,5,11,5,4,9,3,2,2,4,6,7,9,4,2
"54",7,12,5,15,5,11,13,16,7,12,9,8,11,16,13,10,12,14,15
"55",12,5,8,8,12,11,11,11,6,7,10,12,9,11,10,9,10,1,12
"56",7,2,9,2,3,3,7,4,7,9,4,3,7,2,3,8,3,4,1
"57",4,11,10,9,2,11,3,9,12,5,2,5,9,9,11,2,12,15,3
"58",12,8,10,11,13,8,6,10,9,12,7,10,7,8,5,6,7,10,4
"59",13,7,5,11,10,13,5,14,10,8,15,7,10,5,5,15,10,4,16
"60",2,4,7,3,6,11,11,6,4,2,3,8,3,5,3,3,8,8,6
"61",6,10,9,8,10,9,6,9,11,6,6,11,8,10,5,9,12,8,6
"62",8,7,15,4,11,12,11,8,4,10,10,7,10,6,13,6,9,10,8
"63",14,15,14,14,13,14,15,16,16,15,13,15,11,16,14,13,14,14,10
"64",6,10,9,7,6,10,11,8,8,11,8,8,4,8,12,6,9,12,6
"65",16,16,13,16,15,16,16,16,13,16,16,16,13,16,16,15,14,12,16
"66",5,3,9,3,4,3,1,6,7,4,1,5,8,3,3,2,2,3,8
"67",1,1,1,3,1,2,2,1,2,5,2,2,2,1,1,6,1,3,1
"68",3,2,4,4,4,7,2,3,6,2,11,8,10,6,4,3,9,6,4
"69",1,1,1,1,4,3,1,5,2,3,1,1,4,3,6,7,1,3,4
"70",14,12,14,15,11,15,10,13,8,10,9,15,13,12,13,13,12,12,8
"71",2,5,2,4,6,1,4,8,5,5,2,5,7,2,3,3,4,6,4
"72",3,1,7,6,5,6,2,2,7,6,4,2,1,5,11,4,1,2,3
"73",15,14,14,16,14,14,16,16,16,15,14,14,14,14,16,15,16,12,15
"74",4,3,7,3,2,5,7,3,3,3,6,2,10,5,7,9,9,4,6
"75",14,14,6,12,10,5,10,9,6,12,11,11,15,8,9,9,6,12,15
"76",13,16,15,14,15,13,14,14,16,13,10,13,11,9,15,13,15,13,16
"77",2,2,7,1,4,5,1,4,4,5,4,3,7,3,2,6,7,6,7
"78",12,8,14,8,12,12,11,13,6,7,7,12,12,10,8,11,12,10,9
"79",13,12,5,14,11,8,5,2,9,12,8,9,6,2,11,11,15,14,3
"80",14,16,12,13,12,14,16,16,11,7,11,12,11,15,14,14,15,14,15
"81",10,8,8,6,11,11,12,10,12,11,5,10,13,8,13,16,5,8,12
"82",7,2,12,3,10,5,3,11,7,5,5,4,2,3,10,4,5,10,4
"83",10,13,4,8,13,9,11,14,5,9,13,15,7,7,14,7,13,13,16
"84",14,16,14,12,15,16,11,13,16,12,15,15,15,15,14,11,16,12,15
"85",12,4,7,11,6,10,10,5,12,16,8,13,13,9,2,11,9,9,2
"86",8,6,3,6,7,5,9,2,8,2,4,2,1,7,7,2,2,5,1
"87",16,12,15,13,15,16,16,12,16,16,12,15,11,16,15,15,15,12,15
"88",11,7,7,14,3,13,9,6,5,14,11,4,5,7,12,7,11,11,11
"89",14,10,13,14,14,6,12,14,11,13,5,10,10,14,12,12,9,12,11
"90",14,9,11,11,15,14,12,9,15,4,11,16,14,3,10,10,9,11,12
"91",13,9,10,12,9,11,6,10,6,7,8,4,6,3,4,9,12,15,2
"92",11,13,12,13,11,14,15,12,10,13,13,14,15,14,14,15,13,12,13
"93",2,3,5,8,6,4,3,2,9,3,2,8,6,7,2,5,7,11,3
"94",3,3,2,5,1,1,7,3,3,4,2,6,4,10,2,1,3,1,10
"95",15,14,16,15,15,16,16,16,15,14,15,15,15,14,14,12,16,14,14
"96",8,11,15,10,14,10,11,14,13,11,16,14,10,4,15,6,10,12,5
"97",3,2,2,3,4,2,1,2,6,1,1,2,2,4,3,1,1,1,1
"98",15,12,14,11,12,13,10,15,15,8,14,11,16,15,9,14,12,6,9
"99",6,7,4,5,2,9,3,9,5,9,3,2,1,2,4,6,2,9,6
"100",9,4,8,2,10,7,2,4,8,4,9,4,3,4,4,3,4,1,6
"101",1,1,4,1,4,1,3,1,3,3,8,5,1,2,4,3,10,4,2
"102",6,6,8,7,6,9,4,6,3,5,4,7,8,5,11,7,7,6,8
"103",7,7,9,13,10,9,12,12,7,14,9,12,13,8,5,9,12,13,4
"104",8,8,12,16,4,8,12,9,10,12,7,11,11,13,11,12,10,9,9
"105",15,16,15,14,16,11,10,6,9,12,16,8,14,6,15,10,12,14,15
"106",11,7,13,12,8,6,11,11,11,7,7,12,14,5,13,15,10,14,6
"107",8,12,11,10,10,5,6,12,5,3,7,4,14,9,4,9,15,15,5
"108",10,8,6,8,7,12,8,10,12,15,11,15,2,9,7,7,15,9,3
"109",16,15,12,6,7,11,7,8,13,13,8,12,6,15,11,11,14,11,14
"110",4,4,9,4,6,3,4,7,8,3,9,5,6,4,10,4,6,6,2
"111",15,14,14,7,13,16,10,14,10,12,10,13,12,13,15,14,10,14,14
"112",11,2,6,3,8,9,3,8,8,9,12,8,7,12,6,6,1,4,7
"113",11,15,16,16,9,16,16,13,13,14,15,16,16,14,15,16,16,16,14
"114",5,14,9,12,12,11,4,6,10,11,8,7,10,4,14,14,6,3,3
"115",2,1,3,3,2,3,2,2,4,3,3,1,2,1,3,12,3,2,8
"116",10,13,11,12,14,12,10,9,13,13,8,12,14,13,11,9,15,9,8
"117",9,7,12,9,13,13,14,13,9,12,16,4,10,9,12,15,7,10,16
"118",8,7,6,13,5,7,13,10,12,12,13,8,10,12,5,8,4,7,11
"119",7,11,8,8,7,3,12,5,14,6,9,4,13,9,8,7,8,9,11
"120",2,6,2,4,1,3,5,8,6,4,2,4,5,9,3,1,2,3,6
"121",11,8,15,13,9,8,12,8,15,11,13,7,11,5,12,7,10,6,13
"122",5,6,11,2,13,11,6,6,14,1,2,8,9,7,15,9,8,14,7
"123",16,16,16,13,16,15,16,16,15,14,14,15,16,12,16,16,16,15,10
"124",6,6,10,3,1,4,5,10,6,1,6,7,2,4,1,8,5,4,2
"125",1,4,6,4,6,1,1,2,4,3,2,6,3,2,14,6,8,6,2
"126",6,10,8,2,6,4,12,10,12,8,5,8,11,7,5,5,5,9,7
"127",16,16,15,14,16,16,15,15,15,16,16,7,9,13,16,15,14,16,16
"128",4,4,5,2,4,5,6,1,3,2,4,1,4,1,3,2,6,8,6
"129",6,5,4,5,2,4,8,8,5,5,3,9,10,4,10,10,5,10,6
"130",2,1,5,3,3,3,1,1,1,3,2,3,1,2,1,3,1,3,3
"131",13,11,14,8,10,11,6,14,10,15,11,10,12,14,11,12,9,7,9
"132",8,4,3,11,2,11,6,4,11,6,4,9,9,3,10,15,5,8,2
"133",10,6,6,7,9,7,10,3,3,7,8,8,15,13,4,2,8,10,9
"134",7,7,10,9,14,6,4,8,10,8,10,12,8,4,6,7,12,6,5
"135",13,16,15,16,16,12,15,13,15,16,16,16,16,15,15,15,14,13,15
"136",12,8,8,3,5,11,12,7,5,11,6,6,8,6,2,7,5,3,8
"137",9,7,3,6,1,6,5,2,4,6,5,7,7,9,2,1,1,5,7
"138",15,16,11,15,13,11,16,15,12,15,13,15,12,14,6,14,9,10,16
"139",6,5,8,7,2,8,6,5,3,5,2,2,3,3,5,2,4,3,2
"140",15,13,7,6,9,10,7,11,10,10,14,12,7,14,14,11,5,12,13
"141",4,2,2,10,4,1,4,7,3,3,4,3,2,4,1,5,7,2,2
"142",7,12,12,15,13,7,12,10,7,11,12,12,8,15,15,14,8,6,10
"143",5,3,6,4,4,2,13,2,6,6,1,8,5,3,3,1,9,5,2
