"","x"
"1",9
"2",7
"3",16
"4",15
"5",16
"6",16
"7",14
"8",8
"9",11
"10",7
"11",14
"12",2
"13",16
"14",3
"15",3
"16",16
"17",9
"18",15
"19",4
"20",9
"21",7
"22",13
"23",16
"24",15
"25",11
"26",7
"27",1
"28",16
"29",14
"30",1
"31",2
"32",3
"33",7
"34",9
"35",14
"36",10
"37",13
"38",14
"39",13
"40",2
"41",9
"42",16
"43",2
"44",1
"45",12
"46",3
"47",10
"48",16
"49",11
"50",12
"51",4
"52",8
"53",2
"54",14
"55",8
"56",3
"57",6
"58",7
"59",11
"60",7
"61",9
"62",7
"63",16
"64",9
"65",16
"66",1
"67",1
"68",7
"69",1
"70",15
"71",3
"72",1
"73",15
"74",1
"75",12
"76",14
"77",1
"78",9
"79",10
"80",15
"81",15
"82",2
"83",13
"84",16
"85",12
"86",3
"87",16
"88",7
"89",14
"90",10
"91",6
"92",15
"93",4
"94",1
"95",15
"96",10
"97",1
"98",14
"99",1
"100",5
"101",1
"102",1
"103",12
"104",13
"105",13
"106",13
"107",9
"108",9
"109",11
"110",2
"111",14
"112",5
"113",16
"114",7
"115",2
"116",14
"117",15
"118",7
"119",2
"120",1
"121",12
"122",6
"123",16
"124",1
"125",2
"126",9
"127",16
"128",2
"129",7
"130",1
"131",14
"132",4
"133",8
"134",12
"135",16
"136",3
"137",2
"138",14
"139",3
"140",14
"141",1
"142",15
"143",4
"144",12
"145",4
"146",16
"147",2
"148",11
"149",6
"150",7
"151",7
"152",7
"153",6
"154",8
"155",4
"156",4
"157",12
"158",2
"159",16
"160",15
"161",15
"162",2
"163",9
"164",2
"165",15
"166",11
"167",1
"168",10
"169",8
"170",15
"171",1
"172",9
"173",3
"174",13
"175",8
"176",4
"177",3
"178",16
"179",5
"180",15
"181",6
"182",1
"183",15
"184",16
"185",15
"186",2
"187",3
"188",9
"189",2
"190",1
"191",16
"192",1
"193",15
"194",10
"195",15
"196",11
"197",7
"198",5
"199",16
"200",7
"201",13
"202",15
"203",12
"204",12
"205",11
"206",3
"207",16
"208",1
"209",14
"210",1
"211",14
"212",8
"213",7
"214",11
"215",15
"216",16
"217",12
"218",3
"219",9
"220",5
"221",16
"222",5
"223",8
"224",12
"225",13
"226",9
"227",9
"228",15
"229",4
"230",3
"231",15
"232",7
"233",14
"234",15
"235",3
"236",8
"237",8
"238",16
"239",3
"240",6
"241",12
"242",1
"243",3
"244",14
"245",4
"246",15
"247",11
"248",15
"249",1
"250",9
"251",14
"252",6
"253",15
"254",15
"255",13
"256",15
"257",16
"258",10
"259",2
"260",7
"261",10
"262",9
"263",15
"264",8
"265",9
"266",1
"267",11
"268",3
"269",13
"270",1
"271",16
"272",14
"273",15
"274",1
"275",3
"276",4
"277",15
"278",4
"279",14
"280",7
"281",9
"282",1
"283",9
"284",16
"285",6
"286",9
"287",8
"288",9
"289",1
"290",1
"291",7
"292",12
"293",9
"294",10
"295",16
"296",1
"297",5
"298",2
"299",6
"300",8
"301",1
"302",1
"303",14
"304",7
"305",11
"306",9
"307",2
"308",15
"309",5
"310",13
"311",9
"312",4
"313",15
"314",2
"315",9
"316",6
"317",16
"318",9
"319",14
"320",15
"321",16
"322",1
"323",16
"324",2
"325",15
"326",12
"327",13
"328",2
"329",3
"330",15
"331",5
"332",7
"333",12
"334",1
"335",1
"336",12
"337",16
"338",8
"339",1
"340",3
"341",9
"342",16
"343",2
"344",8
"345",10
"346",9
"347",4
"348",1
"349",1
"350",1
"351",4
"352",11
"353",15
"354",14
"355",6
"356",9
"357",16
"358",11
"359",4
"360",1
"361",4
"362",2
"363",9
"364",16
"365",7
"366",15
"367",7
"368",2
"369",16
"370",5
"371",16
"372",15
"373",16
"374",8
"375",13
"376",1
"377",15
"378",15
"379",15
"380",15
"381",12
"382",2
"383",13
"384",13
"385",1
"386",7
"387",6
"388",4
"389",12
"390",11
"391",4
"392",7
"393",2
"394",1
"395",13
"396",14
"397",1
"398",13
"399",7
"400",9
"401",10
"402",2
"403",1
"404",16
"405",15
"406",9
"407",4
"408",1
"409",14
"410",13
"411",15
"412",2
"413",1
"414",11
"415",2
"416",1
"417",14
"418",1
"419",16
"420",9
"421",7
"422",11
"423",16
"424",2
"425",4
"426",14
"427",13
"428",11
"429",16
"430",1
"431",7
"432",12
"433",1
"434",3
"435",3
"436",3
"437",15
"438",11
"439",7
"440",10
"441",12
"442",2
"443",4
"444",9
"445",1
"446",1
"447",5
"448",14
"449",12
"450",7
"451",2
"452",14
"453",2
"454",3
"455",9
"456",16
"457",16
"458",14
"459",4
"460",6
"461",9
"462",4
"463",15
"464",13
"465",1
"466",6
"467",9
"468",9
"469",1
"470",4
"471",12
"472",15
"473",16
"474",7
"475",3
"476",9
"477",9
"478",3
"479",11
"480",11
"481",7
"482",11
"483",16
"484",15
"485",1
"486",1
"487",2
"488",9
"489",11
"490",16
"491",13
"492",12
"493",5
"494",1
"495",14
"496",2
"497",7
"498",1
"499",15
"500",4
"501",1
"502",15
"503",8
"504",16
"505",11
"506",16
"507",16
"508",16
"509",3
"510",14
"511",3
"512",1
"513",1
"514",16
"515",13
"516",14
"517",7
"518",16
"519",16
"520",9
"521",11
"522",9
"523",10
"524",2
"525",16
"526",3
"527",13
"528",2
"529",13
"530",1
"531",13
"532",4
"533",8
"534",7
"535",7
"536",14
"537",1
"538",9
"539",1
"540",5
"541",12
"542",7
"543",12
"544",1
"545",4
"546",11
"547",2
"548",15
"549",16
"550",4
"551",1
"552",1
"553",7
"554",15
"555",16
"556",15
"557",2
"558",1
"559",13
"560",14
"561",4
"562",16
"563",5
"564",2
"565",16
"566",5
"567",2
"568",2
"569",13
"570",1
"571",15
"572",6
"573",4
"574",16
"575",2
"576",12
"577",7
"578",16
"579",7
"580",4
"581",8
"582",16
"583",9
"584",3
"585",9
"586",9
"587",5
"588",4
"589",14
"590",3
"591",16
"592",7
"593",13
"594",11
"595",1
"596",4
"597",12
"598",9
"599",14
"600",7
"601",1
"602",7
"603",10
"604",15
"605",1
"606",5
"607",16
"608",5
"609",1
"610",1
"611",2
"612",14
"613",8
"614",15
"615",15
"616",6
"617",10
"618",2
"619",16
"620",2
"621",13
"622",16
"623",15
"624",16
"625",11
"626",13
"627",4
"628",9
"629",15
"630",1
"631",16
"632",3
"633",2
"634",15
"635",7
"636",1
"637",7
"638",8
"639",7
"640",11
"641",7
"642",5
"643",1
"644",13
"645",9
"646",4
"647",1
"648",16
"649",16
"650",11
"651",15
"652",9
"653",16
"654",9
"655",15
"656",7
"657",16
"658",14
"659",2
"660",4
"661",1
"662",15
"663",1
"664",2
"665",2
"666",6
"667",1
"668",7
"669",16
"670",2
"671",10
"672",5
"673",14
"674",16
"675",1
"676",16
"677",13
"678",1
"679",14
"680",4
"681",12
"682",9
"683",16
"684",12
"685",6
"686",14
"687",7
"688",15
"689",9
"690",15
"691",8
"692",3
"693",13
"694",14
"695",13
"696",15
"697",13
"698",14
"699",8
"700",16
"701",2
"702",1
"703",2
"704",12
"705",9
"706",12
"707",1
"708",1
"709",6
"710",9
"711",7
"712",1
"713",1
"714",8
"715",4
"716",1
"717",15
"718",3
"719",7
"720",16
"721",9
"722",16
"723",1
"724",16
"725",14
"726",2
"727",16
"728",13
"729",11
"730",2
"731",2
"732",3
"733",15
"734",2
"735",4
"736",7
"737",9
"738",1
"739",7
"740",6
"741",16
"742",16
"743",9
"744",8
"745",1
"746",1
"747",3
"748",15
"749",9
"750",16
"751",7
"752",15
"753",9
"754",6
"755",7
"756",12
"757",7
"758",15
"759",7
"760",16
"761",16
"762",7
"763",3
"764",7
"765",6
"766",10
"767",3
"768",12
"769",2
"770",1
"771",15
"772",4
"773",16
"774",16
"775",12
"776",11
"777",6
"778",6
"779",16
"780",3
"781",1
"782",1
"783",2
"784",1
"785",1
"786",6
"787",2
"788",5
"789",1
"790",9
"791",15
"792",11
"793",1
"794",1
"795",6
"796",2
"797",9
"798",13
"799",16
"800",14
"801",10
"802",7
"803",1
"804",9
"805",15
"806",15
"807",15
"808",7
"809",3
"810",11
"811",1
"812",9
"813",13
"814",7
"815",3
"816",8
"817",13
"818",6
"819",15
"820",1
"821",3
"822",2
"823",6
"824",6
"825",9
