"","x"
"1",11
"2",7
"3",16
"4",16
"5",15
"6",15
"7",13
"8",9
"9",9
"10",8
"11",14
"12",3
"13",14
"14",4
"15",4
"16",16
"17",4
"18",15
"19",3
"20",6
"21",4
"22",15
"23",15
"24",15
"25",12
"26",7
"27",1
"28",15
"29",14
"30",1
"31",4
"32",6
"33",5
"34",9
"35",15
"36",10
"37",14
"38",14
"39",11
"40",4
"41",9
"42",16
"43",7
"44",2
"45",14
"46",7
"47",13
"48",16
"49",11
"50",13
"51",4
"52",7
"53",4
"54",12
"55",9
"56",3
"57",6
"58",8
"59",15
"60",3
"61",8
"62",10
"63",16
"64",8
"65",16
"66",2
"67",1
"68",3
"69",3
"70",11
"71",2
"72",3
"73",15
"74",2
"75",12
"76",13
"77",2
"78",12
"79",8
"80",15
"81",12
"82",4
"83",13
"84",15
"85",12
"86",6
"87",16
"88",13
"89",14
"90",12
"91",5
"92",16
"93",6
"94",3
"95",15
"96",10
"97",1
"98",13
"99",2
"100",5
"101",2
"102",5
"103",13
"104",11
"105",13
"106",11
"107",9
"108",9
"109",10
"110",4
"111",12
"112",5
"113",16
"114",9
"115",1
"116",11
"117",13
"118",9
"119",5
"120",2
"121",9
"122",7
"123",16
"124",4
"125",3
"126",9
"127",16
"128",1
"129",7
"130",2
"131",13
"132",7
"133",7
"134",11
"135",16
"136",4
"137",5
"138",16
"139",2
"140",12
"141",2
"142",11
"143",3
"144",13
"145",4
"146",16
"147",4
"148",8
"149",6
"150",5
"151",9
"152",8
"153",5
"154",7
"155",7
"156",9
"157",14
"158",4
"159",16
"160",15
"161",15
"162",2
"163",9
"164",4
"165",15
"166",9
"167",1
"168",11
"169",10
"170",13
"171",1
"172",5
"173",3
"174",15
"175",6
"176",6
"177",1
"178",15
"179",5
"180",13
"181",6
"182",1
"183",12
"184",16
"185",15
"186",3
"187",4
"188",8
"189",4
"190",3
"191",16
"192",5
"193",15
"194",9
"195",14
"196",11
"197",6
"198",5
"199",15
"200",6
"201",9
"202",16
"203",11
"204",12
"205",12
"206",3
"207",16
"208",5
"209",10
"210",6
"211",14
"212",6
"213",5
"214",10
"215",12
"216",15
"217",10
"218",4
"219",6
"220",4
"221",16
"222",4
"223",7
"224",14
"225",13
"226",14
"227",11
"228",13
"229",6
"230",7
"231",14
"232",9
"233",12
"234",13
"235",5
"236",11
"237",7
"238",16
"239",2
"240",8
"241",8
"242",1
"243",5
"244",12
"245",7
"246",13
"247",10
"248",16
"249",2
"250",12
"251",13
"252",6
"253",12
"254",12
"255",15
"256",12
"257",16
"258",9
"259",4
"260",9
"261",14
"262",8
"263",15
"264",7
"265",10
"266",1
"267",10
"268",3
"269",12
"270",2
"271",16
"272",15
"273",15
"274",4
"275",3
"276",4
"277",11
"278",8
"279",13
"280",10
"281",9
"282",4
"283",14
"284",16
"285",9
"286",7
"287",10
"288",10
"289",6
"290",3
"291",6
"292",13
"293",10
"294",14
"295",16
"296",2
"297",2
"298",4
"299",8
"300",6
"301",1
"302",2
"303",16
"304",7
"305",12
"306",7
"307",3
"308",14
"309",4
"310",9
"311",13
"312",7
"313",16
"314",2
"315",11
"316",7
"317",16
"318",11
"319",14
"320",13
"321",15
"322",2
"323",16
"324",5
"325",16
"326",10
"327",15
"328",3
"329",3
"330",13
"331",4
"332",8
"333",11
"334",1
"335",1
"336",11
"337",16
"338",8
"339",3
"340",3
"341",5
"342",15
"343",5
"344",9
"345",9
"346",12
"347",5
"348",1
"349",1
"350",1
"351",6
"352",10
"353",11
"354",12
"355",10
"356",10
"357",15
"358",14
"359",7
"360",1
"361",3
"362",3
"363",7
"364",16
"365",10
"366",14
"367",10
"368",4
"369",14
"370",3
"371",16
"372",15
"373",16
"374",9
"375",13
"376",3
"377",12
"378",14
"379",15
"380",15
"381",9
"382",5
"383",13
"384",10
"385",5
"386",7
"387",7
"388",6
"389",10
"390",10
"391",6
"392",6
"393",5
"394",1
"395",12
"396",15
"397",2
"398",13
"399",6
"400",9
"401",10
"402",3
"403",1
"404",16
"405",16
"406",9
"407",4
"408",1
"409",16
"410",15
"411",12
"412",5
"413",6
"414",9
"415",3
"416",1
"417",13
"418",4
"419",15
"420",7
"421",3
"422",10
"423",16
"424",4
"425",6
"426",12
"427",9
"428",8
"429",15
"430",3
"431",9
"432",12
"433",1
"434",2
"435",5
"436",6
"437",13
"438",13
"439",10
"440",13
"441",9
"442",3
"443",6
"444",9
"445",4
"446",2
"447",6
"448",14
"449",15
"450",5
"451",1
"452",13
"453",4
"454",5
"455",11
"456",15
"457",15
"458",11
"459",5
"460",7
"461",9
"462",1
"463",16
"464",12
"465",3
"466",7
"467",6
"468",10
"469",1
"470",6
"471",9
"472",15
"473",16
"474",5
"475",3
"476",7
"477",11
"478",7
"479",13
"480",8
"481",9
"482",10
"483",16
"484",15
"485",5
"486",1
"487",3
"488",8
"489",13
"490",16
"491",12
"492",12
"493",9
"494",3
"495",13
"496",1
"497",8
"498",1
"499",15
"500",5
"501",1
"502",14
"503",12
"504",16
"505",11
"506",16
"507",16
"508",15
"509",4
"510",12
"511",4
"512",1
"513",1
"514",16
"515",12
"516",15
"517",7
"518",16
"519",16
"520",13
"521",12
"522",5
"523",14
"524",5
"525",15
"526",6
"527",11
"528",2
"529",13
"530",7
"531",14
"532",6
"533",10
"534",7
"535",10
"536",13
"537",1
"538",7
"539",3
"540",5
"541",9
"542",7
"543",10
"544",2
"545",4
"546",10
"547",3
"548",15
"549",16
"550",6
"551",3
"552",1
"553",9
"554",13
"555",16
"556",13
"557",3
"558",6
"559",13
"560",15
"561",5
"562",15
"563",5
"564",3
"565",15
"566",10
"567",2
"568",5
"569",11
"570",1
"571",16
"572",8
"573",5
"574",14
"575",5
"576",11
"577",5
"578",16
"579",4
"580",5
"581",8
"582",15
"583",8
"584",3
"585",8
"586",8
"587",7
"588",4
"589",15
"590",5
"591",14
"592",5
"593",10
"594",12
"595",1
"596",2
"597",10
"598",10
"599",14
"600",7
"601",2
"602",6
"603",10
"604",15
"605",3
"606",9
"607",16
"608",5
"609",4
"610",1
"611",6
"612",10
"613",6
"614",13
"615",13
"616",9
"617",10
"618",5
"619",16
"620",1
"621",13
"622",16
"623",15
"624",13
"625",10
"626",15
"627",6
"628",9
"629",16
"630",3
"631",15
"632",3
"633",2
"634",15
"635",9
"636",3
"637",5
"638",13
"639",8
"640",12
"641",7
"642",7
"643",4
"644",15
"645",4
"646",5
"647",2
"648",16
"649",14
"650",12
"651",16
"652",8
"653",14
