"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,2,1,2,1,2,1,3,2,1,2,1,2,1,1,2,3,1
"2",2,1,2,1,2,2,2,2,2,2,1,2,3,2,2,1,2,2,1
"3",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"4",2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,2,2,1
"5",1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,3
"6",2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1
"7",1,2,1,1,2,2,2,2,2,2,1,3,3,2,1,2,1,2,3
"8",1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,1,1,2,2
"9",1,2,2,2,3,2,1,1,1,2,2,2,6,3,2,1,2,3,2
"10",1,1,1,1,1,2,3,1,2,2,2,1,1,3,2,2,1,1,1
"11",1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1
"13",1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1
"14",1,1,1,1,1,1,2,2,1,1,2,1,1,3,1,1,1,2,1
"15",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2
"16",1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3
"18",3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3
"19",1,1,1,1,1,3,3,1,6,2,1,1,3,3,3,2,1,2,2
"20",1,2,2,1,3,2,1,2,2,2,2,2,2,2,3,1,1,2,2
"21",1,2,1,1,1,1,1,1,3,1,1,2,3,1,1,1,3,1,2
"22",1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,2,3,2
"23",2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1
"25",1,3,1,2,2,1,1,3,1,1,3,2,1,1,1,2,2,1,2
"26",1,1,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"27",3,3,1,1,1,2,3,2,1,2,1,2,2,2,3,2,1,2,2
"28",1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1
"30",1,1,2,1,1,3,2,1,1,1,1,2,1,3,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1
