"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2
"2",2,2,1,1,2,2,2,2,2,3,2,1,2,2,1,2,1,2,2
"3",2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2
"4",3,2,1,2,2,1,2,2,2,1,2,1,2,2,2,3,2,2,2
"5",1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2
"6",2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"7",1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2
"8",1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,2,2
"9",2,2,2,1,3,3,2,1,2,1,1,2,3,3,2,1,2,1,1
"10",1,1,1,1,2,1,1,3,1,1,1,2,1,1,2,1,2,2,3
"11",1,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1
"12",1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2
"13",1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
"14",1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2
"15",1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2
"16",1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2
"18",3,3,1,1,1,1,1,1,1,1,3,2,1,1,3,1,1,1,2
"19",1,1,1,3,3,3,1,3,6,2,2,3,3,3,1,2,1,3,3
"20",1,2,3,2,1,2,3,2,2,1,2,2,1,2,1,3,1,1,1
"21",1,1,1,1,2,1,1,2,1,1,3,1,3,1,2,1,1,2,1
"22",1,1,3,1,3,1,1,1,1,2,1,1,3,3,3,2,1,1,1
"23",1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,2,1,1,1
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1
"25",1,3,1,1,3,3,1,1,1,1,2,2,2,2,3,1,1,2,2
"26",1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1
"27",3,3,1,1,3,1,2,1,3,2,1,2,2,1,2,2,2,2,2
"28",1,1,1,2,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
"30",1,2,1,3,3,2,1,2,1,1,1,2,3,2,1,1,1,2,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"32",1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1
"33",1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"34",1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2
"36",3,1,2,1,1,2,3,3,1,3,1,1,1,1,2,2,2,2,2
"37",1,3,3,1,1,2,1,1,3,2,6,2,1,1,2,2,1,2,3
"38",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2
"39",1,3,1,3,1,1,1,1,1,1,6,1,1,1,3,1,1,3,2
"40",1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2
"41",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1
"42",1,1,1,3,1,1,1,3,3,2,3,2,2,1,1,2,1,1,3
"43",1,1,1,1,1,1,1,1,3,1,3,1,1,1,2,1,2,3,1
"44",1,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3
"45",1,3,3,1,2,1,6,2,1,1,2,2,2,2,2,1,3,3,2
"46",3,1,2,1,3,1,2,1,1,2,6,1,1,1,2,3,1,1,1
"47",1,3,1,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,6
"48",1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,3
"49",1,6,3,1,2,1,1,1,3,1,1,3,3,3,2,1,3,3,2
"50",1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,2,1,1,3
"51",3,2,3,3,1,1,1,2,3,1,1,2,1,1,1,3,1,2,2
"52",1,1,2,2,6,1,1,1,3,3,5,2,1,1,1,1,1,1,2
"53",1,1,2,1,6,1,1,3,2,1,1,1,1,1,1,1,1,1,1
"54",1,1,2,2,2,1,3,3,1,1,2,1,1,1,1,1,1,1,1
"55",2,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1
"56",2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2
"57",1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1
"58",1,2,2,1,1,2,2,2,3,1,3,2,1,2,2,2,1,2,1
"59",3,1,2,1,3,2,2,1,2,2,3,1,2,2,1,1,2,1,2
"60",3,1,3,2,3,2,2,1,3,3,1,2,2,2,1,3,1,6,3
"61",1,1,1,1,2,2,1,6,2,3,2,1,2,3,2,2,3,2,2
"62",1,1,1,1,3,1,1,1,1,2,1,1,3,1,3,1,6,1,1
"63",3,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,1,1
"64",1,1,1,1,1,1,1,3,1,1,3,2,1,3,1,3,1,6,1
"65",1,1,1,1,1,1,1,3,6,1,3,3,1,3,1,1,1,1,1
"66",1,1,1,1,1,1,1,1,2,1,1,1,3,2,2,1,1,1,3
"67",1,1,1,1,1,1,1,1,2,1,1,1,3,2,2,1,1,1,3
"68",1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,1,3,6
"69",1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,3,2,1,1
"70",2,1,1,2,2,2,3,2,1,1,2,2,1,2,3,2,2,3,1
"71",1,2,2,2,2,1,3,6,2,2,1,2,2,1,1,3,1,1,3
"72",2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2
"73",2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
"74",2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1
"75",2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2
"76",2,2,2,2,2,3,3,2,2,2,1,2,1,2,1,2,2,1,2
"77",2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,1
"78",1,2,1,2,2,2,2,2,1,1,2,2,2,3,2,1,2,1,1
"79",2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2
"80",2,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"81",2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2
