"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,2,2,1,2
"2",2,1,2,1,2,2,2,1,3,2,3,3,2,1,2,1,3,2,1
"3",2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,2
"4",1,2,1,2,2,2,2,1,3,2,2,3,1,3,3,1,1,1,1
"5",1,1,1,1,1,1,2,3,1,2,1,1,1,2,1,1,3,2,1
"6",1,2,1,2,1,2,2,1,1,3,2,1,2,1,2,2,1,1,2
"7",1,1,1,1,1,2,1,2,3,1,1,1,1,1,3,2,1,2,1
"8",1,1,1,1,1,1,3,1,1,2,1,2,1,2,1,1,1,1,1
"9",1,3,2,2,1,2,2,3,2,2,2,1,2,2,2,3,1,2,3
"10",3,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
"11",1,1,2,2,2,2,1,1,2,2,1,3,1,1,1,2,1,2,3
"12",1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,2
"13",1,2,1,2,1,1,2,2,1,1,2,3,1,2,1,2,1,2,3
"14",1,1,1,2,1,2,1,2,2,1,3,1,2,1,2,2,2,2,1
"15",1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,2,1
"16",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,1
"17",1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,3
"18",3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,2
"19",1,1,1,1,1,1,1,3,2,2,3,2,3,5,5,1,3,2,3
"20",2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1
"21",1,1,1,2,3,2,2,2,1,1,2,1,3,2,2,2,2,2,2
"22",1,3,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1
"23",1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2
"24",1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,2
"25",1,1,3,1,3,2,2,1,1,1,3,3,2,1,1,2,3,2,1
"26",1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,3,1,2,1
"27",1,1,1,2,2,2,3,2,3,1,2,2,1,1,1,2,2,2,1
"28",1,1,1,3,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2
"29",1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,3,2,2
"30",1,1,1,1,1,1,1,2,2,1,3,1,1,1,3,1,1,2,2
"31",1,1,2,1,1,1,1,2,1,3,2,1,2,2,2,2,2,1,2
"32",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1
"33",2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2
"36",3,3,3,2,3,2,3,1,1,2,2,1,2,1,1,2,1,1,1
"37",1,1,1,3,1,3,2,2,2,1,3,1,1,2,2,1,1,1,5
"38",1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,3,2,1
"39",3,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1
"40",1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,2,1
"42",1,1,1,1,1,1,2,2,1,2,1,3,2,1,3,1,1,1,2
"43",3,1,1,1,1,3,1,1,1,2,6,1,1,1,1,1,1,1,2
"44",2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,3,2,2,2
"45",3,2,3,1,2,2,1,2,2,1,1,3,1,3,2,1,2,1,2
"46",2,2,2,1,1,1,1,2,2,3,2,2,2,3,2,2,2,2,1
"47",1,1,1,1,1,2,1,1,3,2,1,1,6,1,1,2,1,1,1
"48",1,1,1,1,3,1,1,3,1,2,1,1,1,1,1,1,2,1,1
"49",2,1,3,3,2,2,2,2,1,1,1,1,1,3,2,1,1,2,3
"50",1,1,1,1,1,1,1,3,1,1,3,3,1,2,2,1,2,3,1
"51",2,1,2,2,2,1,1,3,2,1,2,2,1,2,1,1,1,2,1
"52",1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,3,2,1,3
"53",1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,2,1
"54",3,1,1,1,1,2,1,1,3,1,2,1,1,1,2,1,2,1,1
"55",2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2
"56",1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,3,2,1
"57",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,3
"58",1,1,1,2,2,1,1,1,2,1,1,1,3,1,2,1,1,2,3
"59",3,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1
