"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,1,2,1,6,3,2,2,2,1,3,1,3,3,3,1
"2",2,1,1,3,3,2,2,1,2,2,1,2,2,3,1,2,2,2,2
"3",2,2,2,2,3,1,1,1,1,2,3,1,2,3,2,2,2,3,2
"4",2,2,2,1,1,2,3,2,2,2,3,2,2,2,1,1,1,2,2
"5",1,1,1,2,1,3,1,1,2,2,2,1,1,2,2,3,2,2,1
"6",2,2,2,2,1,2,1,2,1,2,2,3,2,1,1,2,2,1,1
"7",1,1,1,1,3,2,1,1,2,3,1,1,3,1,1,1,3,2,2
"8",1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1
"9",1,2,1,2,1,1,2,1,2,1,3,2,2,2,5,3,2,2,3
"10",1,1,2,1,1,2,2,2,1,2,2,1,3,1,2,2,2,2,2
"11",2,2,2,1,2,1,1,1,2,2,2,3,1,2,1,2,2,1,2
"12",1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,3
"13",2,2,2,2,1,1,1,1,2,2,1,2,2,1,3,2,2,2,1
"14",1,2,1,2,2,1,1,1,1,2,1,2,3,2,2,2,2,1,3
"15",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,1,2
"16",1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,2
"17",1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,3,2,3
"18",3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,6
"19",1,1,2,1,2,1,3,2,3,3,1,3,3,1,1,1,1,2,5
"20",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,3
"21",1,1,3,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2
"22",1,1,3,1,1,3,1,1,1,3,1,1,2,1,1,1,1,1,5
"23",1,2,1,1,1,1,3,1,1,1,2,2,2,1,2,2,1,1,1
"24",1,1,1,1,1,1,1,1,3,2,1,1,2,2,1,2,1,1,1
"25",3,2,1,1,2,1,1,3,1,3,3,1,1,2,1,1,1,1,2
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
"27",1,2,2,2,2,2,2,2,2,3,2,1,3,2,2,1,1,2,3
"28",1,1,3,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1
"29",1,1,1,1,1,1,2,2,2,1,3,2,2,2,1,2,2,2,2
"30",1,1,1,1,1,2,1,3,1,1,2,2,1,3,1,1,1,2,3
"31",1,1,2,1,2,1,2,3,2,1,2,1,2,3,1,2,2,2,2
"32",1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1
"33",2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2
"34",2,1,2,1,1,1,2,2,1,1,1,1,2,3,1,1,1,2,2
"35",1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,2
"36",3,3,3,2,1,1,2,3,2,2,2,1,2,1,1,1,2,1,1
"37",1,1,2,1,1,2,2,5,2,2,2,5,2,3,2,1,2,3,2
"38",1,1,1,1,2,1,1,1,1,3,1,1,2,2,2,2,1,1,1
"39",3,1,1,3,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3
"40",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,3
"41",1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
"42",1,2,1,2,2,1,1,2,1,2,3,1,2,1,1,3,2,3,2
"43",3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,2
"44",2,2,2,1,1,1,2,1,2,1,2,3,1,2,2,1,1,2,2
"45",1,3,2,3,1,2,2,2,1,1,2,2,5,1,1,1,3,1,3
"46",2,2,2,1,1,1,2,2,1,1,3,2,1,2,2,2,2,2,2
"47",2,6,1,2,1,1,1,1,1,2,1,1,1,1,3,2,1,1,2
"48",1,1,1,1,5,3,1,1,2,1,1,1,1,1,1,1,2,1,2
"49",1,2,2,2,2,2,1,1,2,3,2,1,1,2,1,2,3,3,2
"50",1,1,1,3,1,2,2,1,1,2,3,2,1,2,1,6,1,1,1
"51",2,1,2,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,2
"52",1,1,1,1,1,3,1,1,2,1,1,2,2,3,3,2,2,1,1
"53",2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,3,1
"54",2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1
"55",2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,3,2,2
"56",1,2,1,1,2,3,2,2,2,1,1,1,1,2,2,2,2,1,2
"57",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,2
"58",1,1,2,1,2,1,1,3,1,1,1,1,3,2,2,1,1,2,2
"59",3,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,3
"60",3,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2
"61",2,1,1,2,2,4,2,2,5,1,3,2,3,2,2,2,1,1,2
"62",1,1,1,1,2,2,1,1,2,1,3,1,1,2,1,1,1,1,1
"63",3,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,6,2,1
"64",1,1,1,1,1,6,1,1,1,1,1,1,1,2,5,2,1,1,1
"65",1,1,1,1,1,1,1,1,3,1,6,2,1,1,1,2,2,3,5
"66",1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1
"67",1,1,3,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1
"68",1,1,1,1,3,1,1,2,2,2,2,2,1,1,1,2,1,1,2
"69",1,1,1,1,1,3,6,2,1,5,1,3,1,1,1,1,1,1,2
"70",1,1,1,1,2,1,2,2,2,3,5,1,6,3,2,3,1,1,2
"71",2,2,2,2,1,2,1,2,1,2,1,3,2,1,1,1,1,2,1
"72",2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,1,1,3
"73",2,2,2,2,2,2,2,2,3,1,1,2,1,2,3,2,2,3,3
"74",2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1,3,2,1
"75",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,1,2
"76",2,2,3,2,1,1,1,3,3,2,2,2,1,2,2,3,2,2,2
"77",2,2,2,2,2,2,3,2,2,2,1,1,1,2,1,3,3,1,1
"78",2,1,3,2,1,2,2,3,1,2,1,1,2,2,2,2,2,1,1
"79",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"80",2,2,2,2,2,2,3,2,2,2,2,2,1,2,3,2,2,3,2
"81",2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,3,1,2,1
"82",3,3,1,1,1,1,3,1,1,1,2,2,2,1,2,2,2,2,2
"83",1,1,1,2,1,3,1,2,2,2,2,2,2,3,1,2,1,1,1
"84",2,2,1,2,2,2,2,3,2,2,2,3,2,1,2,3,3,2,2
"85",2,2,3,1,2,2,3,2,2,2,2,1,2,2,1,1,2,1,3
"86",2,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1
"87",2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1
"88",2,2,2,2,2,2,2,2,2,1,3,2,1,2,1,2,3,2,2
"89",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"90",2,1,2,2,2,2,1,3,1,2,2,2,2,1,1,1,1,1,2
"91",2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3
"92",1,1,2,2,1,1,1,2,1,3,2,2,1,2,2,2,2,1,2
"93",2,2,2,2,2,2,1,2,2,1,2,2,1,2,3,1,2,3,1
"94",2,2,2,2,1,2,1,3,2,1,1,1,1,1,1,1,2,1,2
"95",2,3,3,2,1,1,1,2,1,2,2,2,3,2,1,1,1,1,3
"96",1,1,1,2,3,2,2,1,1,1,1,2,3,2,2,2,1,2,2
"97",1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2
"98",2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1
"99",1,1,1,1,1,1,1,3,1,1,1,2,2,1,2,1,1,1,3
"100",2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2
"101",2,1,1,3,1,1,3,1,1,1,2,2,2,1,2,1,3,1,1
"102",2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,3,1,3,2
"103",2,1,1,1,1,1,1,1,1,3,3,1,2,1,2,2,4,4,1
"104",1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,5,1
"105",4,1,4,1,1,2,1,1,1,2,1,1,1,2,2,2,3,1,2
"106",6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,4,6
"107",2,2,2,2,2,2,4,1,4,1,1,2,4,1,1,6,2,4,1
"108",2,5,4,2,4,2,5,4,2,5,5,5,4,1,1,1,6,2,4
"109",5,1,1,1,5,4,2,2,2,1,1,3,3,3,2,1,5,1,2
"110",2,4,4,4,4,2,2,2,1,4,1,4,2,1,2,1,1,2,5
"111",2,4,4,4,4,2,2,2,1,2,4,1,2,4,1,2,1,2,1
"112",2,2,4,2,4,4,2,2,4,2,2,4,5,2,5,4,1,1,5
"113",2,2,1,1,1,1,2,1,3,2,1,3,2,2,1,1,2,2,2
"114",1,2,2,1,2,1,1,2,3,1,1,2,1,3,1,2,1,1,3
"115",2,1,2,2,1,2,3,1,1,3,2,1,1,2,2,3,3,2,2
"116",2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2
"117",2,3,2,2,3,1,2,1,2,1,3,3,2,1,2,2,1,2,3
"118",2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2
"119",2,3,2,1,1,1,1,2,3,2,2,3,2,1,3,2,2,2,2
"120",2,2,1,2,1,1,3,1,3,2,3,2,1,1,1,2,1,3,2
"121",1,1,1,2,3,1,1,2,1,2,2,2,1,1,2,2,1,1,2
"122",2,2,2,2,3,2,2,1,2,1,2,1,1,2,1,3,2,2,2
"123",2,2,2,2,2,2,2,1,1,3,2,1,3,2,1,2,3,2,2
"124",6,5,1,1,1,5,1,1,2,1,2,5,2,2,1,3,1,2,1
"125",2,1,1,1,1,3,3,1,1,3,1,2,1,2,2,2,2,2,2
"126",3,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,2
"127",2,2,2,3,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1
"128",2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,3,3,1,1
"129",2,2,1,1,1,3,1,3,1,2,2,1,1,1,2,1,2,2,1
"130",4,2,4,4,4,5,5,2,1,1,1,5,1,2,3,6,1,2,3
"131",4,2,2,4,2,2,2,5,4,5,1,2,1,1,1,1,2,5,1
"132",1,2,2,2,1,1,1,1,2,3,1,2,2,2,2,1,1,3,3
"133",2,1,3,2,2,2,2,2,3,2,1,1,1,1,1,1,2,1,2
"134",1,1,1,1,1,1,1,2,2,2,3,2,2,2,3,1,1,1,1
"135",2,2,2,2,2,1,2,1,2,1,3,1,2,3,2,1,1,2,2
"136",1,1,1,2,1,3,1,2,1,1,2,2,2,2,2,2,1,2,2
"137",2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2
"138",2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,3,1
"139",2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
"140",2,2,2,2,1,2,2,2,3,2,1,2,3,3,2,2,1,1,3
"141",2,1,2,1,1,2,2,2,3,2,2,2,1,1,1,2,2,2,1
"142",1,1,1,1,2,1,2,2,1,2,3,2,1,2,2,2,1,2,2
"143",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"144",1,2,1,2,1,1,1,2,2,1,1,2,2,2,3,2,1,3,2
"145",1,2,1,2,1,1,3,2,1,2,2,2,3,2,1,1,1,2,2
"146",1,1,1,2,3,2,2,1,1,3,1,1,1,2,2,1,1,3,1
"147",2,3,3,1,2,2,2,1,2,2,2,1,3,2,1,2,1,2,1
"148",2,2,1,2,2,1,2,1,2,1,2,1,2,3,2,1,1,2,3
"149",1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2
"150",1,2,2,3,1,2,2,3,2,1,1,1,1,2,1,2,2,1,2
"151",1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1
"152",1,1,1,1,1,1,1,2,5,1,1,3,1,1,1,1,2,2,1
"153",2,1,3,1,3,1,2,1,1,2,2,1,2,1,1,1,2,2,1
"154",2,1,1,1,1,2,1,1,2,2,1,2,1,1,3,2,2,1,1
"155",1,1,1,1,1,1,1,2,1,1,2,1,1,3,2,2,1,1,1
"156",3,1,1,1,2,2,1,2,1,1,3,2,1,2,2,2,2,1,2
"157",1,1,3,1,1,1,1,1,1,1,1,2,1,2,2,2,5,3,1
"158",2,1,2,2,2,2,2,2,2,2,3,1,3,1,3,2,2,5,5
"159",2,2,2,2,2,2,2,2,1,1,1,3,1,1,3,2,1,3,2
"160",2,1,2,2,3,2,3,2,2,2,2,2,3,2,2,1,1,2,2
"161",1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2
"162",2,2,2,2,1,1,3,2,1,2,1,2,2,1,1,2,2,1,1
"163",6,6,6,6,6,2,6,6,6,6,6,6,6,6,2,2,2,6,6
"164",3,3,1,3,2,2,1,1,1,1,1,3,1,1,1,3,1,1,1
"165",4,4,2,4,2,1,2,3,1,1,1,1,1,1,1,1,2,1,1
"166",4,2,4,1,1,2,2,4,1,1,1,2,1,2,3,1,1,1,1
"167",4,4,4,5,5,5,5,2,4,1,1,4,6,2,2,2,2,6,2
"168",4,4,4,5,6,4,6,6,6,2,5,2,1,5,1,1,2,2,2
"169",4,4,5,2,4,4,4,5,2,6,5,5,2,6,2,6,6,2,6
"170",2,4,2,4,2,5,4,5,2,2,2,5,2,5,5,2,5,2,2
"171",4,6,6,4,6,2,4,4,6,2,2,2,2,2,2,2,2,2,2
"172",4,6,6,4,2,4,6,2,2,2,1,2,2,2,2,2,2,1,2
"173",2,4,4,2,5,4,5,2,2,2,5,4,2,5,2,4,2,4,5
"174",2,1,2,2,3,1,1,1,3,1,2,2,2,2,1,1,1,2,2
"175",2,1,2,2,1,2,2,3,1,2,2,1,1,2,1,3,1,1,2
"176",5,1,1,1,1,3,1,3,1,1,1,3,1,2,2,1,1,1,1
"177",1,1,1,3,3,5,2,1,1,1,1,1,3,1,1,2,5,3,1
"178",5,5,5,1,1,1,5,3,1,1,2,1,3,1,1,3,2,2,3
"179",5,5,3,3,2,1,3,1,3,3,3,1,5,2,2,1,1,1,2
"180",6,6,6,2,1,6,6,2,2,2,2,6,2,1,4,1,1,1,2
"181",5,5,5,5,6,6,6,5,2,2,6,6,6,6,2,2,2,3,2
"182",5,4,6,6,6,4,6,4,5,6,5,6,4,2,6,6,4,1,1
"183",2,2,2,5,4,2,1,1,5,2,5,5,2,2,2,2,1,3,2
"184",6,6,6,6,5,6,5,2,6,5,6,6,6,5,5,2,6,6,1
"185",6,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2
"186",6,1,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,2,6
"187",2,1,1,1,1,1,5,1,1,3,1,4,1,1,1,1,5,1,1
"188",2,1,1,1,1,2,2,3,2,1,1,1,1,1,3,3,1,1,4
"189",6,6,6,2,2,1,1,2,1,2,1,2,2,2,1,2,5,2,1
"190",6,6,2,2,2,1,2,1,2,1,2,1,2,1,1,2,4,1,2
"191",6,6,6,6,6,6,6,6,6,6,5,6,5,5,2,5,5,6,6
"192",6,6,6,6,6,6,6,6,6,4,4,5,2,2,5,4,6,2,6
"193",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
"194",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2
"195",6,6,6,6,6,6,6,6,6,5,6,4,4,6,4,6,6,6,6
"196",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,5
"197",6,6,6,6,6,6,6,6,6,5,5,5,5,4,6,6,2,6,6
"198",6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,4,6,6,2
"199",6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,4,2
"200",6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,6,6,6,6
"201",2,2,2,6,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2
"202",6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,5,6,2
"203",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6
"204",6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,2,2,6,6
"205",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
"206",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1
"207",6,6,6,6,6,6,6,6,6,4,6,6,1,6,6,6,6,6,6
"208",6,6,6,6,6,6,6,6,6,5,6,4,6,5,6,6,2,6,6
"209",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,2
"210",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
"211",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"212",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
"213",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6
