"","x"
"1",2
"2",1
"3",3
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",3
"14",1
"15",1
"16",1
"17",1
"18",3
"19",3
"20",1
"21",3
"22",3
"23",1
"24",3
"25",1
"26",3
"27",3
"28",3
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",3
"36",1
"37",1
"38",3
"39",1
"40",1
"41",1
"42",1
"43",1
"44",3
"45",3
"46",1
"47",2
"48",1
"49",3
"50",3
"51",3
"52",1
"53",2
"54",2
"55",2
"56",3
"57",1
"58",1
"59",1
"60",3
"61",4
"62",1
"63",5
"64",3
"65",1
"66",1
"67",1
"68",1
"69",3
"70",2
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",3
"81",1
"82",1
"83",1
"84",5
"85",3
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",3
"93",1
"94",1
"95",3
"96",1
"97",1
"98",1
"99",1
"100",2
"101",2
"102",1
"103",2
"104",5
"105",2
"106",4
"107",4
"108",2
"109",5
"110",5
"111",4
"112",2
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",3
"124",1
"125",1
"126",1
"127",2
"128",2
"129",2
"130",5
"131",4
"132",3
"133",3
"134",1
"135",1
"136",1
"137",3
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",3
"146",3
"147",1
"148",1
"149",1
"150",3
"151",5
"152",3
"153",1
"154",1
"155",1
"156",3
"157",1
"158",3
"159",1
"160",1
"161",1
"162",1
"163",6
"164",2
"165",2
"166",2
"167",5
"168",2
"169",5
"170",5
"171",5
"172",5
"173",5
"174",2
"175",2
"176",5
"177",5
"178",5
"179",5
"180",5
"181",5
"182",5
"183",5
"184",4
"185",4
"186",4
"187",1
"188",5
"189",6
"190",5
"191",6
"192",6
"193",6
"194",6
"195",6
"196",6
"197",6
"198",6
"199",6
"200",5
"201",5
"202",6
"203",5
"204",6
"205",5
"206",5
"207",5
"208",6
"209",6
"210",5
"211",5
"212",5
"213",5
