"","x"
"1",2
"2",2
"3",2
"4",1
"5",2
"6",1
"7",2
"8",2
"9",2
"10",2
"11",2
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",2
"19",2
"20",2
"21",1
"22",1
"23",1
"24",2
"25",1
"26",2
"27",2
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",2
"35",1
"36",1
"37",2
"38",2
"39",1
"40",1
"41",1
"42",2
"43",1
"44",1
"45",1
"46",2
"47",4
"48",1
"49",1
"50",1
"51",1
"52",2
"53",2
"54",2
"55",2
"56",1
"57",2
"58",2
"59",2
"60",2
"61",2
"62",1
"63",1
"64",2
"65",2
"66",1
"67",1
"68",1
"69",1
"70",2
"71",1
"72",2
"73",2
"74",2
"75",2
"76",1
"77",1
"78",2
"79",2
"80",2
"81",2
"82",1
"83",1
"84",3
"85",2
"86",2
"87",1
"88",1
"89",2
"90",1
"91",1
"92",1
"93",1
"94",2
"95",1
"96",1
"97",1
"98",2
"99",2
"100",2
"101",1
"102",1
"103",1
"104",2
"105",2
"106",4
"107",2
"108",4
"109",2
"110",1
"111",1
"112",1
"113",2
"114",1
"115",2
"116",1
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",3
"124",6
"125",2
"126",1
"127",2
"128",4
"129",2
"130",2
"131",4
"132",1
"133",1
"134",2
"135",1
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",1
"145",1
"146",1
"147",1
"148",2
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",6
"164",3
"165",1
"166",2
"167",5
"168",4
"169",5
"170",5
"171",2
"172",4
"173",1
"174",4
"175",6
"176",4
"177",2
"178",2
"179",5
"180",5
"181",6
"182",6
"183",2
"184",6
"185",2
"186",6
"187",2
"188",4
"189",4
"190",5
"191",6
"192",6
"193",6
"194",6
"195",6
"196",6
"197",6
"198",6
"199",6
"200",6
"201",5
"202",6
"203",6
"204",6
"205",6
"206",6
"207",6
"208",6
"209",6
"210",6
"211",6
"212",6
"213",6
