"","x"
"1",1
"2",2
"3",2
"4",2
"5",2
"6",2
"7",1
"8",1
"9",3
"10",1
"11",2
"12",1
"13",2
"14",1
"15",1
"16",1
"17",1
"18",3
"19",1
"20",2
"21",2
"22",1
"23",1
"24",1
"25",1
"26",1
"27",2
"28",1
"29",2
"30",3
"31",1
"32",1
"33",1
"34",1
"35",1
"36",3
"37",3
"38",1
"39",3
"40",1
"41",1
"42",3
"43",1
"44",1
"45",3
"46",1
"47",1
"48",1
"49",3
"50",3
"51",3
"52",1
"53",1
"54",1
"55",2
"56",1
"57",1
"58",1
"59",1
"60",3
"61",6
"62",3
"63",3
"64",1
"65",1
"66",1
"67",1
"68",3
"69",1
"70",2
"71",3
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",1
"91",2
"92",1
"93",2
"94",2
"95",3
"96",1
"97",1
"98",2
"99",2
"100",2
"101",2
"102",1
"103",2
"104",2
"105",4
"106",6
"107",2
"108",5
"109",5
"110",2
"111",2
"112",2
"113",2
"114",1
"115",2
"116",2
"117",2
"118",2
"119",2
"120",3
"121",1
"122",2
"123",2
"124",1
"125",2
"126",1
"127",2
"128",2
"129",4
"130",2
"131",2
"132",2
"133",2
"134",2
"135",1
"136",1
"137",2
"138",2
"139",2
"140",2
"141",1
"142",1
"143",2
"144",1
"145",1
"146",1
"147",3
"148",3
"149",1
"150",2
"151",1
"152",1
"153",3
"154",1
"155",1
"156",3
"157",1
"158",3
"159",3
"160",3
"161",1
"162",1
"163",6
"164",4
"165",4
"166",4
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",2
"174",2
"175",4
"176",5
"177",5
"178",5
"179",5
"180",5
"181",5
"182",5
"183",2
"184",5
"185",2
"186",6
"187",3
"188",2
"189",6
"190",6
"191",6
"192",6
"193",6
"194",6
"195",6
"196",6
"197",6
"198",6
"199",6
"200",6
"201",2
"202",6
"203",6
"204",6
"205",6
"206",6
"207",6
"208",6
"209",6
"210",6
"211",6
"212",6
"213",6
