"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,6,5,2,2,3,7,1,6,5,3,2,7,7,8,5,2,1,2
"2",1,1,4,2,1,1,3,1,1,4,4,2,4,2,2,1,2,2,1
"3",4,3,5,3,7,5,6,1,7,8,4,8,1,1,1,6,8,3,8
"4",2,6,1,2,3,4,2,6,1,6,8,4,6,7,3,2,4,1,6
"5",1,3,1,1,3,7,1,1,2,1,3,5,7,6,7,1,1,5,3
"6",1,1,1,1,1,1,1,2,1,6,3,2,1,2,2,1,3,3,1
"7",6,1,3,1,4,4,1,3,5,5,2,2,2,5,3,3,2,5,2
"8",7,6,7,8,8,7,6,6,5,8,4,5,7,8,6,5,5,6,6
"9",2,5,1,4,2,1,4,6,6,1,1,5,3,4,3,5,5,6,7
"10",6,5,5,4,3,2,4,4,4,7,4,5,3,5,4,5,5,4,6
"11",6,3,4,7,7,6,6,3,6,2,1,3,4,8,5,7,5,3,5
"12",5,3,1,5,6,7,5,2,3,2,4,4,5,3,4,2,4,7,4
"13",2,3,4,2,4,3,4,1,4,7,5,6,2,4,3,1,5,1,3
"14",6,5,7,5,1,6,3,4,7,7,6,7,7,7,7,6,7,5,5
"15",6,8,8,6,8,7,8,5,8,5,8,8,4,2,3,8,7,3,2
"16",5,8,6,7,5,7,8,5,6,7,8,7,7,7,5,8,6,4,8
"17",8,8,8,8,8,8,8,6,8,6,8,8,8,8,8,8,8,8,8
"18",4,6,1,5,3,6,6,4,6,5,5,6,3,3,4,6,7,6,5
"19",6,3,4,6,6,7,5,6,8,5,2,4,2,5,5,5,7,5,4
"20",2,5,6,6,5,3,5,4,4,8,7,8,4,5,6,4,2,5,5
"21",1,1,2,2,3,2,2,1,1,1,1,1,1,1,3,1,1,2,1
"22",8,8,8,7,8,8,5,8,8,8,8,8,7,8,7,7,6,8,8
"23",7,5,6,8,6,7,2,5,8,8,7,8,6,5,6,2,5,7,4
"24",3,7,3,5,7,2,2,6,1,5,1,3,1,2,2,1,4,3,6
"25",8,8,8,8,8,8,8,8,8,8,7,6,6,8,8,7,8,7,7
"26",8,8,7,8,6,7,8,6,7,8,1,8,6,8,7,4,4,5,7
"27",6,6,6,4,6,5,4,6,5,4,7,5,7,6,1,7,7,3,2
"28",7,3,8,4,1,1,2,3,1,3,3,1,7,2,3,2,2,5,4
"29",5,2,3,5,6,5,1,2,6,1,1,7,1,3,3,5,2,2,7
"30",3,2,2,5,3,6,4,1,2,6,6,5,1,1,6,3,2,2,1
"31",3,2,2,1,2,2,2,2,2,2,3,3,2,3,3,2,4,5,1
"32",8,6,5,6,7,5,7,7,7,6,8,8,7,6,6,7,8,7,7
"33",7,8,6,7,7,3,2,6,6,7,6,3,6,4,7,7,8,4,6
"34",1,1,1,2,4,6,1,1,5,3,1,1,1,4,3,1,2,2,4
"35",8,7,8,7,7,4,3,8,6,8,8,7,6,6,5,5,7,7,8
"36",4,4,3,4,4,5,3,3,3,1,3,4,3,6,3,6,4,4,4
"37",7,1,6,4,5,6,5,6,7,7,7,6,5,7,6,6,2,7,1
"38",6,6,6,7,8,5,4,1,8,5,5,8,5,7,7,8,8,4,7
"39",8,8,8,8,8,8,7,4,8,6,7,6,2,8,8,7,2,8,8
"40",3,5,2,7,2,8,7,6,4,6,2,5,4,2,5,7,7,4,1
"41",6,4,5,5,3,2,7,2,2,3,6,4,3,3,6,5,3,5,6
"42",1,2,1,1,1,1,3,3,2,2,3,2,1,3,2,4,1,1,4
"43",8,7,3,7,7,7,3,7,3,6,5,8,8,6,8,7,5,6,7
"44",6,7,8,7,8,8,6,7,8,4,8,7,6,8,8,8,5,7,7
"45",8,8,8,7,8,8,8,7,8,8,8,8,8,7,6,5,8,7,8
"46",8,6,8,8,8,8,8,8,8,3,3,8,2,8,8,8,6,6,8
"47",5,4,5,5,4,4,2,2,3,4,4,4,5,5,4,6,4,5,5
"48",2,1,1,2,2,1,1,2,2,5,2,1,2,2,1,2,3,1,2
"49",6,2,1,3,1,5,3,1,1,5,7,4,2,5,5,2,1,4,4
"50",7,8,7,8,3,5,5,8,8,7,7,8,8,8,8,4,7,8,8
"51",1,1,1,2,1,1,1,1,1,1,1,1,2,5,6,2,1,2,1
"52",1,1,3,1,2,3,1,3,1,3,4,6,7,3,3,3,6,2,1
"53",8,8,7,8,4,8,5,8,7,8,8,8,8,8,8,8,8,3,8
"54",2,2,5,7,5,3,3,3,4,1,5,4,4,2,2,4,2,1,3
"55",4,1,1,7,3,2,1,3,1,1,2,1,1,1,6,2,4,3,3
"56",6,8,3,4,1,3,3,6,4,7,2,8,4,5,2,6,4,6,7
"57",3,5,4,6,3,5,4,4,6,4,5,2,5,4,7,5,3,5,4
"58",7,4,6,3,1,2,4,4,4,5,4,6,6,5,4,5,2,5,7
"59",7,8,6,7,5,6,7,5,6,5,6,4,7,8,8,6,7,6,8
"60",1,3,8,4,6,2,1,2,4,8,5,5,7,5,8,2,6,7,3
"61",4,3,3,2,5,5,5,3,4,4,1,4,5,3,5,5,4,2,5
"62",7,6,5,2,7,5,4,4,3,4,8,3,7,7,4,7,6,4,5
"63",3,2,2,6,1,4,3,2,3,5,7,3,4,3,1,2,6,6,4
"64",8,6,5,5,7,4,5,6,6,7,7,7,7,7,4,4,7,5,5
"65",3,4,2,2,3,1,3,1,5,1,3,4,2,1,1,3,4,1,2
"66",8,8,7,8,8,5,7,7,6,4,6,6,5,5,4,5,3,6,5
"67",3,1,1,5,1,1,3,2,5,1,3,3,3,1,2,4,1,3,2
"68",7,7,5,8,8,4,7,6,6,6,7,5,8,8,2,8,3,6,4
"69",6,3,2,4,2,2,5,6,1,5,5,6,6,2,2,3,5,7,7
"70",4,2,2,3,3,2,1,1,2,1,1,1,3,4,5,1,4,1,1
"71",2,3,1,3,4,2,4,1,3,1,2,3,4,4,1,5,2,2,4
"72",7,7,4,7,4,5,6,6,7,3,5,7,7,7,3,3,6,7,3
"73",8,8,3,1,1,8,1,8,8,6,7,6,6,7,8,1,4,1,4
"74",1,1,2,1,4,1,1,3,2,2,1,4,3,1,2,1,1,2,3
"75",7,7,7,5,7,7,5,7,8,8,8,8,8,5,6,7,6,8,7
"76",5,3,3,6,5,6,5,5,5,5,5,4,5,4,3,5,6,6,3
"77",1,2,2,4,4,3,5,2,3,5,4,8,2,4,5,6,2,3,4
"78",1,3,1,1,2,6,1,3,1,4,4,5,1,2,2,1,1,1,2
"79",1,3,5,3,5,4,3,5,7,5,2,2,4,4,6,4,2,5,5
"80",7,4,8,4,6,7,2,3,6,8,8,1,3,4,3,3,2,6,3
"81",5,4,4,3,4,5,2,1,5,4,3,2,5,5,5,2,3,6,4
"82",5,5,3,8,6,8,7,6,8,1,6,7,8,8,5,6,6,4,4
"83",1,1,1,4,1,1,7,6,2,3,5,1,7,4,3,1,6,5,1
"84",2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3
"85",2,5,1,3,5,1,2,4,3,3,3,1,1,5,2,4,5,5,2
"86",5,2,3,3,6,1,4,5,2,5,3,3,4,1,1,4,2,7,1
"87",7,7,8,3,8,4,8,5,8,8,6,7,3,8,4,8,8,8,8
"88",8,8,8,8,6,5,6,6,6,7,7,6,7,8,7,5,6,8,6
"89",7,7,5,1,1,6,6,2,5,5,6,8,2,8,1,7,8,1,8
"90",4,6,6,2,2,1,5,2,1,5,5,1,2,2,6,3,1,5,6
"91",3,2,3,5,3,2,1,2,3,2,6,2,3,2,6,2,3,5,6
