"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,3,6,4,1,1,1,5,1,1,3,1,7,7,1,2,1,2,2
"2",2,4,1,4,4,1,2,2,1,5,2,4,2,2,2,2,2,3,5
"3",4,7,1,1,1,7,2,3,3,4,7,2,1,1,4,2,6,4,3
"4",4,5,2,6,7,6,5,1,1,6,5,5,6,4,3,4,7,5,5
"5",1,1,3,1,5,5,1,6,3,3,3,2,1,1,2,5,8,3,3
"6",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1
"7",1,3,4,4,6,2,3,2,3,3,4,2,6,2,3,4,6,3,2
"8",6,7,7,8,8,8,7,8,6,6,7,8,5,7,7,8,6,8,6
"9",1,2,3,2,6,2,2,7,4,3,4,4,3,3,5,2,2,3,4
"10",3,4,4,3,7,5,7,7,3,3,3,6,4,3,4,1,5,2,5
"11",3,7,3,4,5,6,5,7,2,2,6,8,3,5,6,7,5,4,4
"12",6,5,3,2,7,3,4,5,5,4,4,3,6,4,5,3,4,3,4
"13",3,7,3,5,7,3,5,4,2,3,3,6,4,4,2,6,5,4,5
"14",6,1,4,3,5,7,4,7,7,4,7,7,6,2,7,6,7,7,2
"15",7,6,6,8,6,8,8,8,8,8,4,7,8,6,8,8,8,8,8
"16",5,7,8,5,8,6,8,6,6,5,7,8,7,8,6,8,4,6,7
"17",8,8,8,6,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8
"18",6,4,5,4,4,5,7,4,6,6,1,5,6,7,3,6,2,3,2
"19",5,7,3,6,6,6,5,5,7,3,4,5,2,8,7,7,3,7,6
"20",5,6,6,4,4,4,4,2,8,3,5,4,3,4,5,5,6,7,5
"21",3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,3,1
"22",8,8,5,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8
"23",3,7,8,8,4,2,7,1,6,7,5,2,5,6,8,4,2,6,8
"24",1,3,3,3,3,2,4,7,2,2,5,4,1,3,6,2,1,5,2
"25",8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8
"26",8,8,6,5,3,7,6,7,7,4,7,7,5,4,8,8,7,8,8
"27",5,6,4,4,5,4,5,6,6,5,6,7,7,7,6,5,2,5,8
"28",7,3,5,6,1,3,3,4,1,3,6,2,3,2,1,2,1,1,7
"29",4,1,7,6,2,2,7,5,3,5,5,4,6,4,5,4,7,8,1
"30",2,3,3,3,2,6,3,6,6,1,2,1,7,6,6,6,4,3,6
"31",1,2,2,2,2,3,3,2,3,3,4,2,2,1,2,1,1,3,1
"32",8,6,6,6,7,7,7,7,7,7,7,6,6,8,8,6,8,8,6
"33",2,8,5,7,7,7,7,4,7,7,6,6,8,6,7,6,4,7,8
"34",1,3,1,4,2,1,1,6,2,1,1,2,4,7,5,1,5,2,1
"35",7,7,8,8,8,8,7,4,7,8,6,8,6,4,6,7,7,6,5
"36",5,4,6,3,4,5,5,4,4,5,4,3,5,6,6,4,2,6,4
"37",5,1,7,5,4,6,1,2,4,6,6,4,5,6,5,5,3,6,5
"38",4,6,5,7,6,5,6,3,3,5,5,1,8,7,1,7,7,7,6
"39",8,8,8,8,8,4,8,8,6,7,8,8,7,8,8,7,8,7,8
"40",6,5,7,2,4,4,5,3,4,2,8,1,6,4,4,3,7,3,5
"41",3,5,4,5,6,3,6,7,2,2,7,3,6,2,5,6,6,7,4
"42",1,3,1,1,1,2,1,1,1,2,2,3,4,1,4,3,4,2,1
"43",7,7,3,6,3,7,4,3,6,7,7,5,8,8,7,6,2,7,6
"44",7,8,7,5,8,6,4,8,7,6,8,8,7,7,6,7,7,7,8
"45",8,8,8,8,8,8,8,8,8,7,8,8,7,8,7,8,1,8,7
"46",8,8,8,3,8,8,2,7,3,5,7,7,8,8,6,8,8,5,6
"47",4,4,4,5,3,4,5,5,4,5,4,3,4,4,5,5,2,5,4
"48",2,1,2,2,2,2,3,1,1,1,3,2,2,2,5,1,2,2,1
"49",7,1,1,1,5,4,3,2,4,5,6,3,4,2,5,7,5,4,2
"50",8,7,7,7,8,8,7,8,6,7,8,8,7,8,8,6,7,8,8
