"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,6,2,1,5,5,3,2,7,6,7,2,7,2,2,6,1,1
"2",4,1,2,1,1,4,3,1,2,4,2,1,2,2,1,2,2,4,1
"3",1,1,3,7,7,3,5,4,1,8,3,1,1,6,8,6,2,1,1
"4",5,6,2,5,6,7,5,1,5,8,6,4,5,1,4,3,6,5,5
"5",1,3,1,7,3,6,1,6,2,1,1,3,5,2,1,5,3,3,3
"6",1,1,1,1,1,1,2,2,1,1,5,1,1,6,1,1,2,3,1
"7",3,6,1,6,4,5,2,1,3,6,2,5,4,2,5,3,5,2,4
"8",7,8,8,8,6,6,7,8,8,7,6,5,7,7,6,5,5,8,6
"9",7,2,1,4,3,5,2,1,4,4,6,1,5,4,3,5,4,7,1
"10",3,6,4,4,7,4,3,5,5,6,4,5,4,5,2,4,2,5,6
"11",7,3,4,6,4,5,5,3,6,3,6,5,2,8,7,4,5,1,5
"12",5,5,3,5,2,5,2,7,4,5,5,1,3,3,4,6,3,2,4
"13",5,2,2,4,5,7,4,3,4,5,2,3,4,4,6,5,3,7,3
"14",5,6,6,3,7,6,7,2,5,7,2,7,4,7,7,2,8,1,4
"15",6,7,8,6,8,8,8,8,8,4,2,8,8,5,8,4,7,7,1
"16",5,5,8,5,6,7,8,7,5,5,6,7,8,6,8,5,6,7,6
"17",8,8,8,6,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8
"18",6,4,3,5,6,6,4,3,5,1,4,5,3,4,5,6,6,3,5
"19",3,6,7,7,5,5,8,2,4,7,6,6,4,7,7,3,6,7,6
"20",2,6,3,4,4,8,5,3,6,5,6,7,8,5,4,5,6,4,5
"21",3,2,1,1,2,1,1,1,1,3,2,1,1,1,1,4,1,2,1
"22",8,8,8,8,7,6,8,5,8,8,8,8,8,7,7,8,6,8,7
"23",7,8,7,2,6,6,5,2,6,4,5,7,7,7,6,5,7,4,6
"24",1,3,5,2,7,3,3,3,2,4,2,4,1,2,3,2,1,3,4
"25",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8
"26",8,8,7,8,6,7,7,7,4,7,7,7,5,3,8,4,8,6,4
"27",6,6,6,5,6,4,5,5,4,7,5,6,3,4,6,4,6,2,8
"28",7,8,4,3,2,1,1,6,1,3,3,1,2,3,5,6,3,1,1
"29",5,5,5,1,7,2,6,2,6,6,4,3,2,5,7,6,3,5,5
"30",2,3,3,3,6,6,6,1,4,2,1,3,5,6,1,6,3,4,1
"31",2,2,2,1,1,2,2,1,2,5,4,3,1,3,4,1,1,2,3
"32",8,6,7,6,5,6,7,8,6,7,7,7,7,8,5,6,7,6,6
"33",7,2,7,7,7,6,3,6,6,8,7,2,6,5,6,4,3,7,6
"34",1,4,1,2,3,1,5,1,1,6,1,1,3,2,1,2,1,5,4
"35",8,7,8,7,6,8,7,8,8,7,4,5,8,8,6,7,8,6,7
"36",4,5,3,3,4,6,4,4,3,1,3,4,5,4,6,5,4,8,1
"37",1,4,7,5,6,7,6,6,5,5,7,6,6,7,4,7,6,6,6
"38",6,6,5,4,5,1,8,5,6,6,4,4,3,6,6,8,7,8,7
