"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,3,4,1,1,2,4,1,1,5,3,1,7,7,6,2,1,1
"2",4,2,1,4,1,4,2,2,1,5,2,4,3,2,1,4,2,5,2
"3",7,1,1,7,2,3,3,4,2,1,1,4,1,6,8,5,3,3,8
"4",4,5,7,2,6,5,5,3,1,1,6,5,5,6,3,2,7,4,5
"5",1,1,3,1,5,5,4,1,1,6,3,3,2,4,3,3,7,8,5
"6",1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,5,3
"7",1,3,4,4,6,1,2,3,3,3,3,4,2,3,3,4,2,1,3
"8",6,7,8,8,8,6,7,8,6,6,8,7,5,7,7,7,8,4,8
"9",4,2,2,3,2,6,2,5,2,4,7,4,4,2,5,3,3,3,2
"10",4,3,3,4,3,7,5,7,7,3,3,3,4,1,4,5,2,3,6
"11",3,3,5,6,5,2,2,2,6,1,8,4,5,3,5,7,4,4,2
"12",6,5,2,3,7,3,4,5,4,4,3,4,6,4,5,3,3,7,4
"13",3,7,2,3,5,7,5,4,3,2,6,5,4,3,4,5,2,6,5
"14",6,1,3,4,5,7,4,7,7,4,7,7,2,2,6,7,7,2,3
"15",7,6,6,8,8,6,8,8,8,8,4,7,8,8,6,7,8,3,8
"16",5,7,8,5,6,8,7,6,5,6,5,7,8,8,4,6,6,8,7
"17",8,8,8,8,6,8,8,7,8,8,8,8,8,8,8,8,8,8,8
"18",6,3,4,5,7,5,4,6,6,5,1,7,3,6,4,2,7,2,3
"19",5,7,6,6,6,5,7,3,4,5,2,2,7,8,7,3,7,5,6
"20",5,8,6,6,4,3,4,4,4,4,2,4,3,5,4,5,6,2,5
"21",3,2,1,1,2,1,2,1,1,4,1,1,2,1,1,1,1,1,2
"22",8,8,7,8,8,5,8,8,8,8,8,8,8,8,7,6,6,8,8
"23",3,7,5,8,6,8,4,2,1,6,7,5,2,5,5,6,6,5,8
"24",1,3,3,3,3,2,2,4,7,2,2,2,3,6,1,2,4,5,1
"25",8,8,8,8,8,8,8,7,8,8,8,7,8,8,8,8,8,8,8
"26",7,5,6,7,7,7,7,7,4,6,8,8,7,8,6,5,8,8,7
"27",6,5,6,6,4,6,4,5,4,5,6,5,6,8,7,7,7,6,7
"28",7,8,2,3,1,1,3,4,3,1,3,6,3,2,3,2,1,1,7
"29",4,7,2,2,7,5,5,3,5,6,4,3,7,8,5,1,5,6,4
"30",2,3,2,3,3,6,6,6,1,2,1,2,6,6,4,2,6,5,3
"31",1,2,2,3,2,3,3,4,2,2,1,2,1,3,4,1,1,4,3
"32",8,6,6,6,7,6,7,7,7,7,6,8,6,6,6,6,8,8,8
"33",2,8,7,5,7,7,4,7,7,7,8,6,8,6,2,2,7,6,4
"34",4,1,3,3,1,2,1,6,1,2,1,1,4,4,2,7,5,5,2
"35",7,7,6,6,8,7,8,7,4,8,7,8,6,4,6,7,7,2,6
"36",5,4,3,6,4,4,4,4,5,5,4,4,4,6,5,4,6,4,2
"37",5,6,7,5,4,6,2,1,4,6,4,6,4,5,5,6,5,3,6
"38",4,6,5,7,6,6,3,3,5,5,1,7,1,7,7,6,6,7,8
"39",8,8,8,8,6,8,4,8,8,8,7,8,8,8,8,7,7,7,8
"40",5,2,4,7,3,5,4,2,3,8,5,6,5,4,7,7,3,4,4
