"","x"
"1",3
"2",1
"3",2
"4",2
"5",2
"6",1
"7",3
"8",8
"9",3
"10",5
"11",4
"12",3
"13",3
"14",4
"15",8
"16",7
"17",8
"18",3
"19",4
"20",4
"21",1
"22",8
"23",6
"24",2
"25",8
"26",7
"27",6
"28",3
"29",6
"30",3
"31",2
"32",8
"33",6
"34",1
"35",8
"36",4
"37",6
"38",3
"39",8
"40",6
"41",4
"42",1
"43",7
"44",7
"45",8
"46",8
"47",5
"48",1
"49",3
"50",8
"51",1
"52",1
"53",8
"54",4
"55",1
"56",6
"57",5
"58",4
"59",7
"60",5
"61",3
"62",6
"63",2
"64",6
"65",2
"66",7
"67",3
"68",8
"69",4
"70",2
"71",2
"72",6
"73",5
"74",1
"75",8
"76",4
"77",3
"78",3
"79",4
"80",6
"81",4
"82",7
"83",1
"84",1
"85",1
"86",2
"87",8
"88",8
"89",6
"90",2
"91",3
"92",8
"93",5
"94",4
"95",1
"96",5
"97",6
"98",8
"99",8
"100",3
"101",1
"102",6
"103",4
"104",3
"105",4
"106",4
"107",6
"108",2
"109",5
"110",7
"111",8
"112",4
"113",3
"114",6
"115",8
"116",4
"117",8
"118",4
"119",7
"120",1
"121",6
"122",5
"123",3
"124",8
"125",2
"126",3
"127",7
"128",8
"129",6
"130",4
"131",2
"132",8
"133",8
"134",1
"135",6
"136",4
"137",7
"138",2
"139",4
"140",3
"141",5
"142",4
"143",2
"144",2
"145",6
"146",2
"147",8
"148",8
"149",7
"150",3
"151",5
"152",8
"153",4
"154",8
"155",4
"156",5
"157",7
"158",3
"159",5
"160",5
"161",7
"162",7
"163",3
"164",5
"165",4
"166",3
"167",8
"168",2
"169",2
"170",6
"171",6
"172",8
"173",7
"174",1
"175",1
"176",1
"177",5
"178",4
"179",5
"180",3
"181",6
"182",3
"183",8
"184",8
"185",4
"186",8
"187",3
"188",1
"189",2
"190",8
"191",6
"192",1
"193",2
"194",5
"195",1
"196",2
"197",2
"198",3
"199",6
"200",2
"201",3
"202",8
"203",6
"204",4
"205",8
"206",4
"207",6
"208",5
"209",2
"210",4
"211",6
"212",2
"213",4
"214",7
"215",1
"216",8
"217",6
"218",5
"219",7
"220",2
"221",2
"222",7
"223",4
"224",5
"225",2
"226",5
"227",6
"228",2
"229",7
"230",3
"231",2
"232",7
"233",7
"234",2
"235",4
"236",6
"237",3
"238",3
"239",3
"240",1
"241",2
"242",3
"243",1
"244",2
"245",5
"246",8
"247",7
"248",7
"249",3
"250",7
"251",7
"252",5
"253",4
"254",7
"255",6
"256",4
"257",3
"258",6
"259",3
"260",3
"261",4
"262",6
"263",2
"264",6
"265",4
"266",4
"267",7
"268",7
"269",1
"270",7
"271",5
"272",8
"273",3
"274",2
"275",8
"276",2
"277",7
"278",5
"279",7
"280",4
"281",7
"282",5
"283",1
"284",1
"285",4
"286",2
"287",5
"288",2
"289",6
"290",6
"291",4
"292",8
"293",8
"294",6
"295",4
"296",1
"297",4
"298",8
"299",8
"300",5
"301",8
"302",5
"303",6
"304",4
"305",4
"306",3
"307",6
"308",6
"309",5
"310",3
"311",5
"312",3
"313",2
"314",2
"315",8
"316",7
"317",7
"318",2
"319",3
"320",8
"321",5
"322",7
"323",8
"324",7
"325",5
"326",6
"327",4
"328",8
"329",2
"330",5
"331",4
"332",8
"333",5
"334",8
"335",5
"336",2
"337",7
"338",6
"339",5
"340",3
"341",7
"342",7
"343",5
"344",5
"345",5
"346",2
"347",8
"348",3
"349",5
"350",7
"351",7
"352",7
"353",1
"354",7
"355",3
"356",4
"357",5
"358",4
"359",8
"360",8
"361",7
"362",6
"363",5
"364",2
"365",6
"366",3
"367",6
"368",3
"369",8
"370",6
