"","x"
"1",1
"2",3
"3",1
"4",6
"5",1
"6",1
"7",1
"8",5
"9",1
"10",1
"11",7
"12",4
"13",1
"14",2
"15",8
"16",7
"17",8
"18",4
"19",6
"20",5
"21",1
"22",8
"23",7
"24",1
"25",8
"26",8
"27",6
"28",1
"29",4
"30",2
"31",2
"32",6
"33",6
"34",4
"35",7
"36",4
"37",4
"38",7
"39",8
"40",5
"41",2
"42",1
"43",8
"44",8
"45",8
"46",8
"47",3
"48",3
"49",6
"50",8
"51",1
"52",7
"53",8
"54",1
"55",1
"56",7
"57",7
"58",4
"59",6
"60",8
"61",3
"62",1
"63",7
"64",1
"65",2
"66",7
"67",1
"68",8
"69",7
"70",1
"71",4
"72",3
"73",8
"74",1
"75",7
"76",4
"77",1
"78",1
"79",6
"80",3
"81",4
"82",8
"83",1
"84",1
"85",2
"86",4
"87",8
"88",8
"89",7
"90",1
"91",2
"92",8
"93",3
"94",4
"95",1
"96",8
"97",7
"98",8
"99",8
"100",1
"101",3
"102",7
"103",2
"104",1
"105",7
"106",3
"107",5
"108",1
"109",5
"110",5
"111",8
"112",8
"113",1
"114",1
"115",7
"116",1
"117",8
"118",4
"119",8
"120",1
"121",7
"122",1
"123",4
"124",8
"125",1
"126",7
"127",2
"128",7
"129",8
"130",4
"131",6
"132",7
"133",7
"134",6
"135",5
"136",1
"137",7
"138",7
"139",8
"140",1
"141",1
"142",1
"143",1
"144",1
"145",5
"146",1
"147",8
"148",8
"149",8
"150",1
"151",6
"152",8
"153",5
"154",8
"155",1
"156",1
"157",6
"158",1
"159",8
"160",5
"161",7
"162",6
"163",1
"164",5
"165",3
"166",1
"167",6
"168",1
"169",1
"170",2
"171",3
"172",8
"173",5
"174",5
"175",1
"176",1
"177",7
"178",7
"179",7
"180",1
"181",6
"182",6
"183",7
"184",8
"185",1
"186",8
"187",2
"188",1
"189",8
"190",8
"191",4
"192",1
"193",6
"194",1
"195",1
"196",6
"197",1
"198",8
"199",7
"200",2
"201",3
"202",8
"203",8
"204",1
"205",8
"206",4
"207",6
"208",6
"209",3
"210",8
"211",5
"212",2
"213",4
"214",7
"215",1
"216",8
"217",6
"218",8
"219",3
"220",1
"221",1
"222",8
"223",5
"224",5
"225",3
"226",1
"227",6
"228",1
"229",7
