"","x"
"1",4
"2",4
"3",4
"4",7
"5",4
"6",2
"7",2
"8",6
"9",1
"10",2
"11",5
"12",3
"13",4
"14",4
"15",8
"16",7
"17",8
"18",5
"19",7
"20",6
"21",1
"22",8
"23",6
"24",2
"25",8
"26",8
"27",5
"28",3
"29",3
"30",2
"31",1
"32",6
"33",5
"34",6
"35",8
"36",4
"37",4
"38",7
"39",8
"40",4
"41",3
"42",2
"43",8
"44",8
"45",8
"46",8
"47",3
"48",3
"49",6
"50",7
"51",1
"52",8
"53",7
"54",1
"55",2
"56",6
"57",5
"58",3
"59",6
"60",8
"61",5
"62",3
"63",5
"64",3
"65",1
"66",6
"67",2
"68",8
"69",7
"70",4
"71",5
"72",5
"73",8
"74",1
"75",8
"76",5
"77",4
"78",2
"79",5
"80",4
"81",1
"82",7
"83",2
"84",1
"85",2
"86",2
"87",8
"88",8
"89",6
"90",1
"91",3
"92",6
"93",4
"94",5
"95",1
"96",7
"97",4
"98",8
"99",8
"100",5
"101",5
"102",6
"103",2
"104",2
"105",6
"106",2
"107",6
"108",1
"109",4
"110",5
"111",8
"112",7
"113",1
"114",1
"115",7
"116",1
"117",8
"118",3
"119",7
"120",2
"121",6
"122",5
"123",3
"124",8
"125",5
"126",5
"127",4
"128",6
"129",8
"130",6
"131",6
"132",7
"133",6
"134",7
"135",3
"136",1
"137",6
"138",5
"139",8
"140",1
"141",1
"142",2
"143",1
"144",1
"145",4
"146",1
"147",8
"148",7
"149",7
"150",1
"151",5
"152",7
"153",4
"154",8
"155",1
"156",4
"157",5
"158",1
"159",7
"160",6
"161",6
"162",5
"163",2
"164",5
"165",3
"166",1
"167",6
"168",1
"169",1
"170",2
"171",1
"172",8
"173",6
"174",7
"175",1
"176",1
"177",7
"178",6
"179",8
"180",2
"181",8
"182",6
"183",7
"184",8
"185",1
"186",8
"187",3
"188",1
"189",8
"190",8
"191",6
"192",2
"193",3
"194",2
"195",1
"196",6
"197",3
"198",5
"199",6
"200",1
"201",3
"202",8
"203",8
"204",1
"205",8
"206",4
"207",5
"208",5
"209",2
"210",7
"211",5
"212",1
"213",5
"214",8
"215",1
"216",8
"217",6
"218",8
"219",6
"220",3
"221",1
"222",7
"223",3
"224",4
"225",2
"226",5
"227",7
"228",1
"229",7
"230",3
"231",3
"232",8
"233",7
"234",6
"235",4
"236",5
"237",3
"238",1
"239",1
"240",1
"241",8
"242",7
"243",3
"244",1
"245",5
"246",6
"247",7
"248",4
"249",7
"250",6
"251",7
"252",2
"253",6
"254",8
"255",5
"256",5
"257",2
"258",7
"259",7
"260",1
"261",5
"262",7
"263",5
"264",5
"265",1
"266",7
"267",6
"268",5
"269",3
"270",4
"271",7
"272",8
"273",1
"274",4
"275",3
"276",1
"277",8
"278",2
"279",8
"280",2
"281",2
"282",4
"283",1
"284",1
"285",2
"286",2
"287",7
"288",5
"289",7
"290",8
"291",8
"292",8
"293",7
"294",6
"295",6
"296",1
"297",2
"298",7
