"","x"
"1",1
"2",1
"3",8
"4",4
"5",7
"6",1
"7",2
"8",8
"9",5
"10",6
"11",4
"12",3
"13",3
"14",7
"15",8
"16",8
"17",8
"18",5
"19",6
"20",6
"21",1
"22",8
"23",6
"24",2
"25",8
"26",8
"27",7
"28",1
"29",1
"30",7
"31",3
"32",7
"33",6
"34",1
"35",8
"36",4
"37",6
"38",8
"39",8
"40",3
"41",4
"42",3
"43",8
"44",8
"45",8
"46",8
"47",4
"48",2
"49",5
"50",8
"51",1
"52",1
"53",8
"54",2
"55",1
"56",7
"57",6
"58",6
"59",7
"60",8
"61",4
"62",3
"63",2
"64",6
"65",1
"66",7
"67",1
"68",8
"69",6
"70",1
"71",3
"72",5
"73",8
"74",1
"75",8
"76",5
"77",4
"78",1
"79",4
"80",7
"81",4
"82",8
"83",1
"84",1
"85",4
"86",3
"87",8
"88",8
"89",7
"90",2
"91",5
"92",8
"93",3
"94",4
"95",1
"96",8
"97",6
"98",8
"99",8
"100",6
"101",3
"102",4
"103",5
"104",4
"105",4
"106",5
"107",4
"108",4
"109",4
"110",7
"111",8
"112",7
"113",1
"114",2
"115",8
"116",4
"117",8
"118",4
"119",8
"120",1
"121",7
"122",4
"123",5
"124",8
"125",8
"126",2
"127",8
"128",7
"129",8
"130",4
"131",4
"132",8
"133",8
"134",4
"135",5
"136",4
"137",7
"138",7
"139",8
"140",3
"141",5
"142",6
"143",1
"144",1
"145",5
"146",1
"147",8
"148",7
"149",6
"150",3
"151",4
"152",8
"153",6
"154",8
"155",4
"156",6
"157",7
"158",1
"159",7
"160",5
"161",7
"162",7
"163",4
"164",6
"165",6
"166",1
"167",7
"168",1
"169",2
"170",5
"171",3
"172",8
"173",8
"174",6
"175",1
"176",1
"177",7
"178",6
"179",6
"180",1
"181",8
"182",4
"183",8
"184",8
"185",2
"186",6
"187",6
"188",1
"189",8
"190",8
"191",7
"192",1
"193",4
"194",4
"195",1
"196",2
"197",1
"198",4
"199",7
"200",2
"201",4
"202",8
"203",8
"204",3
"205",8
"206",4
"207",7
"208",6
"209",2
"210",7
"211",6
"212",4
"213",5
"214",4
"215",1
"216",8
"217",8
"218",8
"219",8
"220",7
"221",1
"222",8
"223",6
"224",4
"225",3
"226",7
"227",8
"228",1
"229",7
"230",6
"231",4
"232",8
"233",8
"234",4
"235",4
"236",6
"237",5
"238",4
"239",2
"240",1
"241",8
"242",3
"243",1
"244",2
"245",7
"246",7
"247",8
"248",7
"249",5
"250",8
"251",8
"252",3
"253",8
"254",8
"255",6
"256",4
"257",3
"258",7
"259",4
"260",2
"261",3
"262",8
"263",4
"264",7
"265",2
"266",2
"267",7
"268",6
"269",3
"270",8
"271",8
"272",8
"273",1
"274",5
"275",7
"276",1
"277",8
"278",4
"279",8
"280",4
"281",6
"282",5
"283",1
"284",1
"285",4
"286",3
"287",8
"288",4
"289",7
"290",7
"291",8
"292",8
"293",8
"294",6
"295",7
"296",1
"297",6
"298",7
"299",8
"300",5
"301",7
"302",7
"303",7
"304",5
"305",6
"306",5
"307",6
"308",6
"309",7
"310",3
"311",4
"312",6
"313",4
"314",3
"315",8
"316",8
"317",8
"318",8
"319",6
"320",8
"321",3
"322",5
"323",8
"324",5
"325",6
"326",7
"327",6
"328",8
"329",5
"330",5
"331",8
"332",7
"333",8
"334",8
"335",8
"336",2
"337",7
"338",8
"339",4
"340",4
"341",8
"342",7
"343",6
"344",6
"345",8
"346",3
"347",8
"348",7
"349",5
"350",6
"351",7
"352",8
"353",4
"354",6
"355",3
"356",8
"357",7
"358",3
"359",8
"360",8
"361",8
"362",7
"363",6
"364",1
"365",6
"366",2
"367",8
"368",4
"369",8
"370",8
"371",5
"372",1
"373",6
"374",4
"375",8
"376",8
"377",8
"378",3
"379",6
"380",4
"381",1
"382",1
"383",3
"384",2
"385",6
"386",1
"387",4
"388",6
"389",8
"390",7
"391",5
"392",7
"393",6
"394",4
"395",4
"396",4
"397",6
"398",1
"399",8
"400",1
"401",5
"402",7
"403",7
"404",4
"405",8
"406",1
"407",8
"408",8
"409",1
"410",8
"411",3
"412",2
"413",8
"414",4
"415",5
"416",4
"417",5
"418",8
"419",8
"420",7
"421",4
"422",6
"423",8
"424",8
"425",6
"426",3
"427",3
"428",2
"429",7
"430",6
"431",5
"432",5
"433",1
"434",5
"435",4
"436",8
"437",8
"438",8
"439",3
"440",8
"441",5
"442",8
"443",6
"444",2
"445",3
"446",1
"447",1
"448",1
"449",4
"450",4
"451",5
"452",5
"453",6
"454",8
"455",3
"456",2
"457",5
"458",4
"459",8
"460",6
"461",8
"462",1
"463",7
"464",5
"465",4
"466",5
"467",4
"468",8
"469",8
"470",1
"471",6
"472",7
"473",3
"474",8
"475",7
"476",6
"477",5
"478",8
"479",8
"480",1
"481",5
