"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,1,1,1,6,8,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,2,1,2,1,1,1,3,2,2,6,2,3,2,3,3,3,1
"5",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"7",1,1,1,1,1,1,2,1,1,1,1,6,8,1,1,1,1,1,1
"8",1,1,1,1,2,1,4,1,2,1,2,2,2,1,3,2,1,1,1
"9",2,1,1,2,1,1,1,1,3,2,1,2,2,1,1,1,1,2,1
"10",1,1,4,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
"11",1,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
"12",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"13",2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
"14",2,2,3,2,1,2,2,2,3,1,2,2,2,3,1,1,1,2,2
"15",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2
"19",2,1,2,2,3,2,3,1,1,1,3,2,2,2,3,3,3,2,3
"20",2,1,1,2,1,2,2,2,2,6,3,1,1,1,1,3,3,2,2
"21",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"22",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",2,2,1,2,1,2,2,1,1,1,1,1,1,1,3,1,1,1,2
"24",1,2,1,2,2,1,2,2,1,1,1,1,1,3,1,1,2,2,2
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1
"27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2
"29",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,2,1,1,1,6,8,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,2,6,8,1,1,1,1,1,1,1,1
"37",2,1,2,2,2,2,3,2,1,1,1,2,2,3,1,1,1,1,2
"38",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,2,2,2,1,2,2,1,3,2,1,1,2,2,1,1,1,1,2
"40",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1,6,1,8,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",1,3,1,2,3,2,1,2,2,2,3,1,2,3,2,2,3,3,3
"44",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6,8,1
"45",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1
"51",1,4,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"52",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56",1,1,3,1,1,1,1,1,2,2,2,1,3,2,2,2,1,2,3
"57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"58",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",3,1,1,1,1,2,2,2,2,1,1,3,1,2,2,2,1,1,1
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65",2,2,2,2,1,2,3,2,2,2,1,1,2,1,1,2,1,1,2
"66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"67",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"68",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70",2,2,1,3,2,1,2,2,2,1,1,3,1,1,1,1,1,2,1
"71",1,1,1,1,2,2,1,2,1,2,1,2,3,2,1,2,2,1,3
"72",1,1,1,1,2,2,1,2,2,2,1,3,2,1,2,1,2,3,2
"73",1,1,1,1,2,2,1,2,2,2,1,3,2,1,2,1,2,3,2
"74",2,1,2,2,3,2,3,1,1,3,1,2,2,2,3,3,3,2,3
"75",2,2,2,1,3,2,3,1,1,2,3,1,3,3,2,2,3,2,3
"76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"77",2,1,1,2,2,3,2,3,2,1,1,2,2,3,1,1,1,1,2
"78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79",2,2,1,3,2,1,1,2,2,1,2,1,2,3,3,2,1,1,1
"80",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81",1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,1,1,1
"82",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",2,1,1,2,1,1,1,2,1,3,1,2,1,2,2,1,2,1,1
"84",2,1,3,1,2,2,2,2,1,3,2,1,3,2,1,1,1,2,1
"85",1,3,1,2,1,2,2,1,3,2,2,2,2,1,1,3,2,1,3
"86",2,3,2,2,2,2,2,1,1,1,3,2,2,3,2,3,2,3,1
"87",2,2,3,3,3,3,2,1,1,1,2,1,2,3,2,6,1,1,1
"88",3,1,1,2,2,2,2,3,1,2,2,2,1,1,3,1,1,1,1
"89",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,8,1,1
"90",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"91",1,3,1,2,2,2,2,1,2,3,3,2,2,2,1,1,1,2,2
"92",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"94",3,1,1,2,2,2,1,1,1,2,1,2,2,3,6,2,1,3,2
"95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"96",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"97",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101",2,1,1,2,1,1,2,1,1,2,1,3,1,2,2,1,1,1,1
"102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"103",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"104",2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1
"105",1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2
"106",1,2,1,2,3,1,2,1,3,2,2,2,1,1,2,1,2,1,1
"107",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108",3,1,2,1,1,2,1,2,1,3,1,2,1,1,1,1,2,1,2
"109",1,1,2,1,2,1,2,3,2,1,1,1,1,3,2,1,1,1,1
"110",1,2,1,1,1,2,1,3,2,1,2,1,3,2,1,2,2,3,1
"111",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,2,1,3,2,1,2,2,2,3,1,2,2,2,1,1,3,2,1
"114",2,1,1,1,1,2,1,3,2,3,2,1,1,1,1,2,1,1,2
"115",1,1,1,1,2,2,3,2,2,6,3,1,1,1,1,3,3,2,2
"116",2,2,1,1,1,2,1,3,1,2,1,3,2,1,1,1,1,1,1
"117",1,1,1,1,2,2,1,2,1,2,3,1,1,2,2,2,2,3,1
"118",1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3
"119",2,1,1,1,2,1,3,2,1,3,1,1,1,1,2,1,1,2,1
"120",2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,3
"121",1,1,1,2,2,1,2,1,3,2,3,1,2,1,1,1,1,2,1
"122",2,3,1,1,3,1,1,2,2,2,2,1,3,1,1,2,2,1,1
"123",1,2,1,1,2,1,3,2,1,1,1,2,3,2,1,1,1,1,1
"124",3,1,2,2,1,2,1,3,1,2,1,2,2,2,2,1,1,1,2
"125",2,2,2,1,1,1,1,2,3,6,1,1,2,2,3,3,3,3,2
"126",2,2,2,1,2,3,3,1,1,2,2,1,3,3,2,3,2,3,3
"127",1,2,1,1,1,2,3,2,1,1,1,1,2,1,1,2,3,2,1
"128",3,3,2,2,3,3,2,1,1,1,1,2,2,3,2,6,1,1,4
"129",2,1,3,2,1,2,2,2,1,3,2,1,3,2,1,1,2,1,1
"130",1,2,1,1,1,2,3,2,2,6,3,1,1,1,2,3,1,3,3
"131",1,1,2,2,1,1,2,3,2,6,1,1,3,2,3,3,2,3,2
"132",1,2,1,2,2,1,1,1,3,3,2,1,1,1,1,1,1,2,2
"133",2,1,3,3,2,3,2,3,3,5,1,1,1,1,2,2,3,2,2
"134",3,2,1,2,3,3,3,3,2,5,2,1,2,2,1,2,1,2,2
"135",3,2,2,2,1,2,3,1,1,2,3,3,3,2,2,3,1,3,2
"136",3,3,2,3,2,3,2,3,2,1,2,1,1,1,6,2,1,1,2
"137",3,4,5,3,3,3,2,3,3,2,1,3,2,5,2,2,1,2,2
"138",1,1,2,1,1,2,1,2,3,1,1,2,2,2,1,2,1,3,2
"139",1,1,1,2,3,2,2,1,1,2,2,2,1,2,3,1,1,1,1
"140",1,3,1,2,1,2,2,1,1,2,3,1,1,2,2,2,3,3,3
"141",2,1,2,3,2,1,3,2,1,1,2,2,1,1,1,1,2,1,1
"142",1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,1,2
"143",5,4,3,2,4,3,3,2,3,3,2,1,1,2,2,1,1,2,3
"144",3,3,3,2,3,2,2,2,1,3,2,1,1,1,6,2,1,1,2
"145",1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1
"146",5,5,5,4,2,3,1,3,2,3,2,3,3,2,5,5,4,3,3
"147",1,1,2,2,1,2,1,1,1,2,3,6,2,2,3,3,3,3,2
"148",2,2,2,3,2,1,1,2,2,1,3,1,1,2,1,1,1,1,1
"149",2,6,1,2,2,1,2,1,2,2,3,1,1,1,3,2,3,3,2
"150",3,3,5,7,8,6,4,5,6,8,6,5,7,5,5,9,9,8,9
"151",4,3,5,7,8,4,5,6,7,8,6,5,9,5,4,9,8,9,9
"152",3,2,2,3,3,3,2,1,1,1,1,2,2,3,2,6,1,1,1
"153",2,3,3,3,3,1,2,2,3,5,1,2,2,1,2,1,2,6,2
"154",2,5,3,4,3,3,3,2,2,1,3,3,2,5,2,1,2,1,1
"155",3,2,3,3,2,3,3,1,2,2,5,2,1,2,2,3,1,2,1
"156",2,3,3,3,2,3,3,1,2,5,2,3,1,2,1,1,1,6,2
"157",1,1,2,1,2,1,1,2,3,3,2,1,1,1,1,1,2,1,2
"158",1,1,1,2,1,2,1,3,2,2,1,1,2,1,3,1,2,1,1
"159",4,5,5,5,9,2,7,8,3,7,4,5,3,6,4,5,4,5,3
"160",1,2,2,1,1,2,1,1,3,2,2,1,2,3,2,1,2,2,1
"161",2,3,3,3,3,1,2,2,3,2,5,2,2,2,1,3,2,3,1
"162",2,1,2,1,2,1,2,2,2,1,1,3,2,3,2,3,1,3,3
"163",5,3,4,7,8,4,5,6,6,7,8,5,9,5,4,9,9,8,9
"164",1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2
"165",6,7,6,7,6,5,9,8,3,3,3,4,8,9,10,3,5,5,3
"166",3,3,5,7,8,6,4,5,6,8,7,6,5,5,5,4,9,8,9
"167",3,5,3,4,2,3,1,3,2,3,3,2,3,5,1,2,1,1,2
"168",2,5,3,4,2,3,3,3,2,3,3,1,5,2,2,3,1,2,1
"169",3,5,5,3,5,3,6,4,5,6,7,7,3,6,2,4,9,3,3
"170",6,7,6,7,6,5,9,8,3,3,3,4,8,9,10,3,5,5,3
"171",3,5,3,3,3,2,3,2,1,3,3,2,5,5,4,3,3,1,2
"172",5,3,3,5,3,3,3,2,3,2,8,2,3,1,1,2,5,2,1
"173",3,3,2,4,3,3,2,2,3,3,1,2,3,2,5,1,2,1,2
"174",5,4,3,3,3,3,3,3,1,2,3,2,2,5,3,1,2,1,2
"175",3,3,3,3,2,2,6,2,3,1,1,2,2,1,1,2,1,1,4
"176",7,8,7,6,4,5,9,8,3,5,3,3,4,7,9,9,9,4,10
"177",3,3,4,3,8,6,7,6,7,5,6,9,5,5,8,9,10,3,3
