"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"2",1,1,1,1,1,1,1,1,1,6,8,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"4",1,3,2,2,1,1,6,2,2,1,2,3,1,5,3,2,3,3,2
"5",1,2,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1
"6",2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1
"8",2,4,2,1,1,1,2,1,1,2,3,1,3,2,2,2,1,2,3
"9",2,2,1,1,3,2,2,1,1,2,3,1,1,2,1,1,1,2,1
"10",4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"11",4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"13",2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,2,2,1,1,1,3,2,1,1,1,2,3,1,3,2,2,2
"15",1,1,1,1,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,2,2,1,2,3,3,2,2,1,3,1,1,2,1,2
"19",2,1,1,2,2,6,2,1,1,3,1,3,1,5,3,2,3,3,2
"20",2,1,1,2,2,6,2,1,1,3,1,3,1,5,3,2,3,3,2
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",2,2,1,1,1,1,1,2,1,2,1,2,3,3,2,2,2,2,1
"24",1,2,2,1,1,1,2,1,2,1,1,2,3,3,2,2,2,2,1
"25",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",2,2,2,1,1,1,1,2,2,1,2,2,1,1,3,1,1,2,1
"27",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"28",2,1,1,1,2,1,1,2,3,3,2,2,1,3,1,1,2,1,2
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"31",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",1,6,8,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"36",1,6,8,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"37",2,1,1,1,3,3,1,2,2,5,2,1,2,2,2,1,3,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",2,1,1,1,3,3,1,2,2,5,2,1,2,2,2,1,3,1,1
