"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"2",2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,2
"5",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1
"9",2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1
"10",1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"11",1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
"12",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"14",2,3,3,2,2,3,5,3,3,3,2,5,3,3,1,2,5,1,2
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
"16",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"18",1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,3
"19",2,1,1,2,3,2,2,2,1,1,1,1,2,1,2,2,2,2,1
"20",1,2,1,2,3,2,2,1,2,1,1,2,1,2,1,2,2,2,1
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"23",1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
"26",2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1
"28",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1
"33",1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"37",1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
"38",1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
"39",2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1
"40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,3,1
"43",1,1,2,2,2,3,2,1,1,3,1,2,1,2,1,1,1,1,1
"44",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
"48",1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1
"49",1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"51",1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"54",1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1
"55",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
"57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"61",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"63",1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
"65",2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,1
"66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"67",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"68",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"69",1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
"70",1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1
"71",1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1
"72",1,1,1,2,1,1,2,2,3,1,2,1,1,2,2,1,1,2,1
"73",1,1,2,1,2,1,2,1,2,1,2,3,3,1,2,2,1,2,1
"74",1,2,1,1,2,2,1,2,2,1,2,2,3,2,1,2,1,2,2
"75",2,1,3,3,3,2,1,2,1,2,3,3,2,2,2,1,2,5,1
"76",1,2,2,1,2,2,1,1,1,4,3,1,1,1,1,1,3,1,3
"77",1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1
"78",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"79",2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
"80",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"82",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"83",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"85",1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2
"86",1,1,2,1,1,1,2,1,2,1,1,1,2,1,3,2,2,2,1
"87",1,2,1,2,1,1,1,1,3,2,2,2,2,2,2,1,1,2,3
"88",3,2,3,5,3,3,2,5,3,5,2,5,3,2,3,1,4,3,2
"89",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"90",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"91",3,1,1,2,1,2,2,1,2,1,2,2,2,2,1,3,3,3,2
"92",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"93",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
"94",2,2,3,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2
"95",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
