"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
"2",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
"3",2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"4",2,1,2,2,2,1,2,2,3,2,1,1,2,1,3,3,5,3,3
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3
"9",1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
"10",1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2
"11",2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
"12",2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
"13",2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1
"14",1,3,3,3,1,1,2,2,3,5,3,1,1,1,1,2,1,2,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
"18",1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
"19",1,2,1,3,2,1,2,2,2,3,1,1,2,3,1,2,1,1,1
"20",2,1,2,2,3,1,1,2,1,1,2,2,3,2,2,3,3,2,3
"21",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"23",1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1
"24",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"26",2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2
"27",1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
"28",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"29",1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1
"33",1,1,1,1,1,1,2,2,2,2,1,2,1,1,3,1,1,1,1
"34",1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"37",1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,2,1,2,1
"38",1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"39",2,1,2,2,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1
"40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"41",2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
"42",2,2,1,1,2,3,3,2,1,1,1,1,1,5,1,3,1,2,1
"43",1,2,2,1,3,2,4,2,3,6,5,6,1,1,4,3,1,1,5
"44",2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
"45",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
"46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1
"48",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"49",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
