"","x"
"1",1
"2",1
"3",1
"4",2
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",3
"15",1
"16",1
"17",1
"18",1
"19",2
"20",2
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",2
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",2
"73",2
"74",2
"75",2
"76",4
"77",2
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",2
"86",2
"87",2
"88",7
"89",1
"90",1
"91",2
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",2
"102",1
"103",1
"104",1
"105",2
"106",1
"107",1
"108",3
"109",1
"110",2
"111",1
"112",1
"113",3
"114",1
"115",2
"116",1
"117",1
"118",1
"119",2
"120",1
"121",1
"122",2
"123",1
"124",2
"125",2
"126",2
"127",2
"128",2
"129",1
"130",2
"131",2
"132",2
"133",2
"134",2
"135",3
"136",3
"137",3
"138",1
"139",1
"140",2
"141",2
"142",1
"143",5
"144",3
"145",3
"146",5
"147",2
"148",3
"149",3
"150",9
"151",4
"152",3
"153",2
"154",7
"155",3
"156",3
"157",2
"158",7
"159",7
"160",2
"161",2
"162",2
"163",7
"164",8
"165",9
"166",3
"167",9
"168",5
"169",9
"170",9
"171",3
"172",5
"173",7
"174",3
"175",7
"176",6
"177",7
"178",9
"179",9
"180",3
"181",9
"182",7
"183",6
"184",9
"185",8
"186",9
"187",9
"188",9
"189",7
"190",9
"191",9
"192",9
"193",9
"194",9
"195",8
"196",8
"197",9
"198",10
"199",7
