"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",2
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",2
"73",1
"74",1
"75",2
"76",1
"77",2
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",2
"89",1
"90",1
"91",2
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",2
"106",1
"107",1
"108",2
"109",1
"110",2
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",2
"118",1
"119",2
"120",1
"121",1
"122",1
"123",1
"124",2
"125",2
"126",2
"127",2
"128",3
"129",1
"130",2
"131",1
"132",2
"133",2
"134",2
"135",1
"136",3
"137",2
"138",1
"139",1
"140",1
"141",2
"142",2
"143",5
"144",2
"145",1
"146",5
"147",2
"148",2
"149",3
"150",3
"151",4
"152",1
"153",3
"154",2
"155",2
"156",5
"157",2
"158",2
"159",2
"160",2
"161",3
"162",3
"163",1
"164",1
"165",6
"166",3
"167",3
"168",3
"169",5
"170",6
"171",3
"172",3
"173",3
"174",3
"175",3
"176",3
"177",3
"178",5
"179",1
"180",3
"181",4
"182",7
"183",6
"184",6
"185",5
"186",9
"187",1
"188",6
"189",5
"190",10
"191",10
"192",3
"193",10
"194",9
"195",10
"196",9
"197",9
"198",10
"199",10
