"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,7,5,6,5,4,5,4,5,7,4,6,6,6,4,6,7,6,6
"2",6,5,5,5,6,3,4,3,6,5,5,5,5,5,7,5,6,6,4
"3",2,1,1,3,2,3,4,2,4,2,3,2,3,4,4,4,3,3,3
"4",3,5,5,5,5,4,5,5,3,3,5,4,4,3,4,5,5,3,4
"5",4,6,4,4,5,6,4,5,4,4,4,3,4,5,5,5,3,4,4
"6",2,2,1,2,2,1,3,2,3,1,3,1,3,4,2,1,2,1,1
"7",3,1,3,2,2,2,3,4,3,1,2,2,6,3,2,1,1,3,2
"8",3,5,3,3,5,6,5,5,4,6,5,6,5,6,5,5,5,5,5
"9",4,7,6,5,6,6,4,3,6,6,4,7,6,4,6,5,5,5,5
"10",6,6,6,5,6,4,5,4,6,5,6,5,3,5,6,5,6,5,6
"11",3,6,5,5,6,5,5,5,5,5,5,7,5,5,6,6,5,4,7
"12",3,4,5,1,4,1,3,4,3,4,3,4,3,3,4,5,3,2,3
"13",5,3,3,5,3,4,4,2,5,4,3,4,5,4,2,2,4,5,5
"14",4,6,5,4,5,3,5,3,4,3,5,3,4,3,5,5,6,4,5
"15",6,5,5,6,5,3,5,5,5,5,7,5,5,6,6,5,4,7,4
"16",2,3,6,5,5,6,4,5,5,6,4,4,5,5,6,6,6,6,6
"17",4,4,5,2,6,3,5,6,4,4,6,5,5,6,6,4,6,6,6
"18",5,5,5,6,5,5,2,4,5,2,3,3,4,4,6,3,4,5,5
"19",5,3,4,4,3,5,4,5,5,5,5,4,4,3,5,5,3,5,2
"20",4,6,5,5,5,5,5,5,6,6,6,3,6,5,4,6,4,6,3
"21",4,5,6,6,3,5,4,5,5,5,5,5,5,6,5,5,4,5,4
"22",5,5,4,3,6,5,4,5,6,3,4,4,6,6,6,6,5,5,6
"23",4,4,5,5,6,5,5,3,5,5,4,4,6,6,5,5,4,4,5
"24",3,4,5,4,3,4,4,4,4,5,3,3,4,6,3,5,3,2,5
"25",6,5,6,4,7,5,6,5,6,6,6,6,7,6,4,5,4,4,6
"26",6,5,4,4,6,4,3,4,5,5,4,4,4,4,5,5,6,6,5
"27",7,6,5,7,5,6,6,6,4,6,4,3,7,7,6,4,5,7,6
"28",3,5,4,5,4,4,3,5,3,4,4,3,5,3,4,6,5,2,3
"29",6,5,4,6,2,5,6,6,4,5,2,5,5,5,4,3,4,6,4
"30",5,5,5,5,5,4,3,4,4,4,4,3,3,5,4,5,5,5,2
"31",2,2,3,2,4,1,2,4,2,4,4,2,3,2,4,2,4,2,1
"32",3,1,1,3,1,3,3,2,4,4,2,2,3,2,2,4,1,2,2
"33",5,5,4,5,6,5,5,5,5,6,4,5,6,5,4,6,4,5,5
"34",5,6,4,4,5,4,6,6,6,5,7,4,5,5,4,3,5,5,6
"35",4,5,5,4,5,5,4,4,5,4,4,3,4,3,4,3,4,4,3
"36",5,6,4,4,6,6,6,1,6,5,5,5,5,6,5,5,6,4,5
"37",3,1,4,2,2,2,3,4,3,3,4,3,3,3,3,2,3,3,2
"38",2,4,3,2,3,3,3,3,2,3,5,4,4,3,4,2,2,4,4
"39",5,4,4,4,6,5,4,6,5,5,4,5,6,4,3,3,5,5,5
"40",1,2,4,4,4,2,4,3,3,2,2,2,4,2,4,2,1,1,3
"41",1,4,3,2,3,2,3,3,4,1,5,4,2,3,3,3,2,3,2
"42",5,6,3,4,5,5,6,6,2,5,4,5,6,5,5,5,5,5,5
"43",5,4,5,4,3,5,4,5,4,5,5,4,4,5,4,1,4,6,3
"44",2,4,2,3,3,2,4,2,1,2,4,3,5,3,5,3,3,2,2
"45",6,6,5,6,5,5,4,5,4,4,5,6,4,5,5,5,5,5,4
"46",4,5,5,6,5,5,3,6,6,4,6,4,5,4,6,6,3,5,4
"47",3,5,4,3,4,5,2,6,5,3,3,6,4,5,3,4,3,3,3
"48",1,2,1,1,1,3,2,2,1,4,2,1,2,4,1,1,2,1,1
"49",6,6,5,4,6,6,6,6,6,6,6,5,6,6,5,4,4,5,5
"50",4,5,3,4,1,4,2,1,4,3,3,5,4,3,4,2,3,4,2
"51",2,2,2,4,5,3,4,4,3,3,1,4,2,3,4,2,1,4,2
"52",3,2,3,2,2,2,4,3,3,2,4,2,4,3,2,3,3,2,4
"53",4,7,5,6,4,6,6,6,6,6,7,6,5,5,5,6,4,5,4
"54",3,3,5,4,3,5,5,4,5,5,3,4,3,6,5,5,2,2,4
"55",4,3,2,3,2,3,4,2,3,2,3,4,3,4,2,5,1,4,5
"56",5,5,5,6,5,6,5,6,4,5,3,5,3,5,5,3,4,4,5
"57",3,3,2,1,2,3,3,4,1,4,2,1,4,3,2,2,2,3,2
"58",6,6,5,6,5,5,6,5,6,6,6,6,5,7,5,6,6,5,5
"59",6,6,5,5,3,4,4,5,5,5,6,4,3,5,4,5,5,4,6
"60",3,3,4,4,2,4,3,4,3,2,4,2,4,3,3,1,3,2,5
"61",6,4,4,2,4,4,4,3,4,3,3,3,2,5,2,4,4,5,4
"62",5,4,3,4,4,4,5,4,4,3,3,6,4,4,6,4,4,3,5
"63",4,3,4,3,4,2,3,5,3,4,4,4,4,1,1,2,4,3,5
"64",3,3,4,4,2,3,4,4,3,4,5,3,1,3,4,4,2,3,6
"65",6,5,4,6,4,6,5,5,6,5,6,6,6,5,5,6,6,6,4
"66",3,6,4,5,5,5,3,6,1,4,5,5,4,5,3,4,6,5,5
"67",6,4,3,6,4,6,6,5,5,5,6,5,5,4,6,5,6,5,5
"68",4,4,4,6,4,5,5,4,4,3,4,4,4,6,6,4,6,4,4
"69",3,3,4,3,1,3,4,4,4,1,4,3,3,2,2,4,5,5,1
"70",6,6,6,5,6,6,6,5,5,4,4,6,4,6,6,6,6,4,6
"71",6,6,5,4,6,6,5,5,6,6,4,5,6,6,5,6,4,6,6
"72",4,4,3,2,5,1,4,3,4,2,2,3,3,2,4,3,3,6,1
"73",2,6,4,3,2,3,4,5,4,5,5,4,2,4,6,5,5,6,4
"74",4,3,4,4,3,3,4,4,6,5,6,4,4,4,4,4,2,5,5
"75",6,4,5,6,6,6,5,6,6,5,3,6,5,6,6,6,6,6,5
"76",3,3,3,3,4,4,5,4,3,4,5,2,4,2,4,4,5,2,6
"77",5,5,4,2,3,4,5,4,6,5,2,4,4,5,4,2,6,5,2
"78",5,4,4,4,3,5,6,4,4,5,5,4,4,3,5,4,4,5,6
"79",4,2,4,2,2,4,5,5,5,4,5,3,3,2,5,4,4,6,5
"80",5,3,4,4,5,4,4,4,5,1,2,2,2,4,5,6,3,3,5
"81",5,4,5,5,6,4,4,6,5,5,5,5,5,2,5,4,4,5,5
"82",6,5,4,4,6,6,3,4,6,4,5,5,5,5,5,3,7,5,5
"83",5,4,5,4,6,4,4,3,5,4,4,4,4,2,4,5,3,5,2
"84",3,3,4,5,3,4,3,3,3,3,2,3,3,5,5,1,4,6,3
"85",3,2,2,2,2,4,2,4,2,3,4,3,2,3,3,3,2,4,3
"86",4,5,6,5,6,4,4,5,5,4,5,5,4,6,5,5,5,3,4
"87",6,4,4,4,5,4,5,4,5,6,5,5,6,4,4,4,3,4,4
"88",4,4,4,4,3,4,3,6,4,4,4,4,5,4,6,6,4,3,6
"89",3,5,5,4,5,5,4,4,5,4,3,5,5,4,5,4,5,2,5
"90",7,6,6,6,6,5,5,6,5,5,6,6,6,6,5,5,6,7,6
"91",5,5,3,5,4,6,5,5,5,4,4,5,6,4,5,3,5,4,5
"92",5,5,6,4,5,4,6,5,4,6,6,6,6,6,6,5,6,6,4
"93",6,6,6,5,6,6,6,5,6,5,6,6,6,5,6,3,6,6,6
"94",6,6,6,6,6,5,6,6,4,6,6,6,6,5,6,6,6,6,6
"95",6,5,6,5,6,6,6,4,6,6,6,5,6,6,4,5,4,5,4
"96",2,5,3,3,2,3,3,3,3,4,5,5,4,3,4,3,4,3,4
"97",5,5,6,6,6,6,6,5,5,6,6,6,5,6,5,6,4,6,4
"98",3,4,3,2,2,3,3,3,3,5,5,2,2,2,4,2,3,4,3
"99",3,3,4,3,2,3,3,2,3,4,3,3,3,3,4,5,4,3,4
"100",3,3,3,4,5,4,3,4,3,5,3,5,5,6,3,5,3,5,2
"101",4,5,5,5,6,5,4,5,5,6,3,4,6,5,5,5,5,4,6
"102",2,3,3,6,4,4,4,5,5,4,3,2,3,2,6,3,5,5,2
"103",3,5,4,6,4,4,4,2,4,5,4,4,5,3,3,6,5,3,4
"104",5,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,4,6
"105",6,5,6,6,5,6,6,7,6,6,7,6,6,5,6,5,6,5,6
"106",6,5,5,6,5,5,5,5,6,5,4,6,5,4,6,4,6,5,5
"107",2,2,2,3,4,1,4,2,1,2,4,4,3,4,4,2,2,2,4
"108",4,5,4,4,5,6,3,4,4,6,6,4,3,5,5,5,3,4,5
"109",5,5,5,6,4,6,6,6,5,5,5,6,5,5,6,3,7,6,6
"110",3,2,4,3,3,3,3,4,2,5,4,4,4,4,2,5,2,6,6
"111",6,6,6,5,6,5,6,6,5,5,6,4,5,4,6,6,3,4,5
"112",6,5,6,4,6,6,3,4,4,6,7,6,6,6,6,7,5,6,5
"113",5,3,4,5,4,5,6,4,3,4,4,5,4,5,5,4,5,4,5
"114",4,4,5,4,4,4,6,5,4,6,5,4,5,3,6,5,5,6,4
"115",5,4,2,5,4,5,2,3,5,4,5,5,3,4,6,4,5,4,5
"116",6,5,6,5,6,6,6,4,5,4,6,4,6,6,6,4,5,5,6
"117",4,5,4,6,5,6,3,3,6,4,4,6,6,6,5,6,6,5,4
"118",6,4,6,6,6,5,3,5,6,1,5,5,7,3,5,6,6,6,3
"119",5,3,4,5,4,4,3,6,2,5,4,4,2,2,6,4,5,3,4
"120",6,5,5,6,3,6,6,6,7,6,6,7,6,6,5,6,6,4,6
"121",5,3,5,6,6,5,5,5,4,5,5,6,3,6,4,5,6,6,4
"122",2,2,4,1,3,4,4,3,4,1,3,4,2,3,3,2,4,3,4
"123",5,4,3,4,6,6,5,5,6,3,4,6,4,5,5,4,5,3,6
"124",5,6,5,5,6,6,5,5,5,5,4,6,4,6,6,6,5,4,5
"125",3,5,6,5,5,3,5,5,4,3,4,4,2,4,4,4,4,4,5
"126",4,6,4,4,4,5,4,4,5,5,5,5,6,3,6,4,5,5,5
"127",4,6,6,5,5,5,6,5,4,6,5,5,5,3,6,5,5,4,6
"128",3,3,2,2,3,2,1,1,4,2,2,3,4,4,2,3,2,1,2
"129",4,5,6,5,5,4,2,4,5,6,6,6,4,3,3,4,4,4,5
"130",3,1,2,4,1,1,2,2,1,2,2,2,2,4,1,4,3,3,3
"131",3,2,2,4,4,4,3,5,3,3,4,3,3,2,4,3,4,4,3
"132",6,4,4,6,4,5,3,5,5,4,5,4,5,5,4,4,3,5,4
"133",2,5,5,6,6,6,4,6,4,5,5,6,5,6,4,6,4,6,5
"134",3,2,6,4,4,6,2,3,4,2,6,1,2,5,3,4,4,5,6
"135",5,3,3,4,3,4,3,5,2,3,4,4,4,2,5,6,5,4,3
"136",2,4,4,4,3,3,3,3,4,3,4,2,5,4,3,4,5,6,5
"137",3,4,1,3,1,4,4,3,3,4,2,2,3,2,4,2,4,1,2
"138",5,4,5,6,4,6,5,6,6,6,4,5,4,5,4,4,5,6,5
"139",2,3,2,2,2,1,2,4,2,3,4,2,2,3,2,4,1,1,4
"140",1,1,1,2,2,1,2,1,1,1,4,1,2,2,2,3,3,3,1
"141",4,5,4,5,4,5,6,6,4,5,6,4,3,5,6,6,6,5,4
"142",3,3,6,6,4,6,5,5,6,6,6,4,5,5,6,4,6,5,5
"143",6,6,6,6,5,4,4,4,6,5,5,6,3,4,4,4,5,3,4
"144",6,6,4,7,4,5,6,3,5,5,4,5,6,6,5,5,6,5,3
