"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,7,5,4,5,4,7,5,6,4,7,6,6,6,3,4,5,7
"2",6,5,5,3,5,3,4,5,7,5,5,6,5,5,6,4,5,7,4
"3",1,2,4,3,4,4,3,4,3,5,4,1,3,2,3,3,4,2,3
"4",5,4,6,5,5,5,3,5,3,3,2,3,4,6,4,2,4,3,2
"5",5,4,4,5,7,6,5,4,4,4,4,5,4,5,5,4,4,5,4
"6",2,2,3,2,2,2,1,1,2,3,1,3,4,1,1,1,2,1,2
"7",3,1,3,2,2,4,2,2,3,3,2,3,2,3,1,2,4,1,3
"8",3,5,5,5,6,5,6,4,6,5,5,5,6,5,5,6,4,5,4
"9",4,5,7,5,6,4,4,7,6,6,6,7,6,4,6,6,5,6,6
"10",6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,6,5,5
"11",5,5,6,5,6,4,5,5,5,5,6,5,5,6,4,5,4,7,4
"12",4,3,3,3,3,5,3,4,1,4,3,3,3,3,3,4,2,1,2
"13",3,5,2,4,1,3,4,2,3,3,4,4,4,5,2,3,4,3,3
"14",6,4,5,6,4,5,5,4,3,4,3,5,4,4,4,4,4,5,6
"15",5,3,5,3,6,4,6,5,7,5,5,5,4,5,4,7,4,6,6
"16",6,5,2,5,6,3,4,5,4,5,6,4,6,6,4,6,5,6,6
"17",6,4,5,6,5,4,5,6,6,4,6,6,6,6,4,6,6,6,6
"18",6,5,5,2,5,5,2,4,5,3,4,3,4,5,3,5,5,4,4
"19",3,4,2,5,5,3,5,4,6,4,4,5,3,4,5,2,5,3,4
"20",4,5,4,5,6,6,5,6,6,6,5,4,5,6,7,6,6,2,6
"21",4,4,5,6,6,3,6,5,5,6,4,5,5,5,5,4,6,5,4
"22",5,5,4,6,5,5,4,3,4,6,3,6,5,6,3,4,5,5,6
"23",4,5,3,5,5,6,6,5,5,5,3,6,4,5,6,4,5,4,5
"24",4,5,4,4,4,4,3,4,2,4,3,3,4,3,4,4,4,5,3
"25",4,5,7,6,6,6,4,5,6,6,6,5,6,6,4,5,6,6,4
"26",4,4,5,6,5,5,4,5,4,4,5,5,5,4,6,5,5,6,5
"27",6,7,5,7,6,6,6,5,7,7,7,5,6,4,6,5,5,6,5
"28",4,5,3,4,4,2,3,5,3,3,2,4,3,3,4,4,5,3,3
"29",6,2,5,4,5,4,5,6,5,5,4,6,5,4,5,4,4,6,3
"30",4,5,5,5,5,4,5,4,5,3,5,4,4,4,4,6,4,3,4
"31",2,3,4,2,4,2,4,4,1,1,4,2,3,2,4,4,1,2,2
