"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",6,5,4,5,5,3,6,5,6,4,6,3,4,5,3,6,6,5,6
"2",2,4,5,5,4,5,5,6,6,7,4,4,4,4,6,6,5,5,4
"3",4,3,3,2,5,2,2,4,4,4,3,2,4,6,4,4,4,3,2
"4",4,4,4,6,3,4,3,5,3,4,5,5,5,4,4,4,5,4,5
"5",5,4,5,4,4,2,5,4,3,5,5,4,4,2,5,4,4,4,2
"6",3,2,3,2,3,2,1,3,1,4,1,3,1,4,1,1,2,3,4
"7",1,1,1,3,1,2,2,4,1,3,2,3,2,2,3,1,3,1,4
"8",6,6,6,6,6,6,6,7,6,6,6,7,6,6,5,6,5,6,5
"9",4,4,5,4,5,6,3,3,5,6,5,6,3,5,3,5,5,5,4
"10",5,5,3,4,2,6,4,4,4,2,5,6,6,6,5,5,6,2,3
"11",3,4,4,5,4,6,4,6,4,4,5,5,5,5,6,3,3,4,4
"12",5,4,5,4,4,4,4,3,3,4,2,5,5,2,3,4,3,5,3
"13",5,3,3,3,3,4,3,3,2,4,3,4,5,5,4,4,4,4,4
"14",4,4,2,4,2,2,3,2,2,3,2,4,3,4,3,4,2,3,3
"15",6,5,6,5,6,6,4,5,5,5,6,5,6,5,5,6,5,5,5
"16",2,4,4,4,3,3,4,5,5,2,5,4,2,2,6,2,3,4,3
"17",4,2,2,4,3,3,2,3,3,2,4,4,4,1,3,2,2,3,5
"18",6,6,5,3,5,6,5,6,6,6,4,5,5,5,5,6,5,6,7
"19",4,5,3,4,3,4,6,4,5,6,5,4,5,5,4,4,5,5,6
"20",6,4,6,6,6,5,5,1,6,6,6,6,3,6,5,5,4,1,6
"21",6,5,4,5,3,4,5,6,6,6,5,3,5,5,5,6,6,6,3
"22",5,4,4,5,5,5,5,4,6,6,5,6,5,3,4,5,3,4,4
"23",2,2,2,2,4,3,2,4,3,3,2,3,3,2,2,5,4,5,3
"24",4,6,2,5,4,3,5,3,4,2,4,4,4,6,3,3,4,4,3
"25",6,6,5,5,5,4,3,5,6,5,6,5,6,6,4,4,3,5,4
"26",3,5,5,4,6,4,3,5,4,5,5,3,6,5,4,6,3,5,6
"27",6,5,4,7,6,6,6,5,6,6,6,6,5,6,6,6,6,6,4
"28",4,2,4,3,2,5,3,4,4,3,5,4,4,3,3,4,3,3,2
"29",4,4,5,4,6,3,3,5,4,6,6,4,5,4,5,5,4,4,5
"30",4,6,6,6,5,5,5,3,4,6,5,6,5,5,6,6,5,6,5
"31",4,4,3,4,3,4,3,1,4,2,2,3,4,4,3,4,3,1,4
"32",3,1,4,3,3,1,2,2,2,4,3,3,1,1,3,2,3,3,2
"33",5,4,4,6,4,4,3,5,5,5,3,4,4,4,6,3,5,3,5
"34",6,6,4,6,7,5,5,5,5,6,7,6,6,5,5,5,6,3,6
"35",4,6,4,5,4,2,4,4,4,3,5,4,5,2,3,5,4,5,4
"36",5,5,6,6,6,6,6,6,6,6,5,7,4,6,5,5,6,6,6
"37",2,4,3,3,4,1,2,2,3,3,1,2,1,3,2,1,3,5,3
"38",2,2,4,3,2,3,2,3,4,2,5,2,1,3,5,2,1,1,4
"39",3,4,5,4,4,5,5,5,6,3,3,5,4,5,6,5,5,3,5
"40",4,5,4,1,3,4,5,3,2,3,2,4,5,4,2,4,3,1,2
"41",2,2,2,3,3,4,4,4,2,3,3,1,5,2,2,1,3,4,4
"42",5,5,4,5,5,5,4,6,5,5,5,6,5,5,5,5,3,3,4
"43",5,5,4,3,4,5,6,5,3,5,5,5,5,4,4,5,5,5,6
"44",3,2,3,3,1,3,3,2,2,1,4,1,2,3,2,3,3,3,3
"45",3,3,4,6,6,3,4,4,4,5,4,5,5,4,4,1,2,5,6
"46",5,5,4,5,3,4,4,3,4,4,2,4,6,5,3,5,6,4,5
"47",3,2,1,5,3,3,3,5,6,2,4,2,3,5,3,3,3,2,3
"48",1,1,1,2,2,3,2,4,2,4,3,2,3,3,4,2,5,2,2
"49",5,5,3,6,5,6,4,4,6,6,5,6,6,5,6,4,5,4,5
"50",4,2,3,4,3,3,3,3,4,2,4,3,2,4,3,1,3,1,4
"51",4,5,4,4,4,2,3,3,4,4,4,3,4,4,5,5,5,4,4
"52",4,5,5,3,5,3,4,6,4,3,1,5,5,4,2,6,2,5,3
"53",5,5,6,6,3,4,6,5,5,6,6,5,6,5,5,5,6,6,4
"54",5,4,4,4,4,1,3,3,2,2,3,5,4,4,4,2,2,4,1
"55",4,5,4,3,4,4,4,2,5,3,3,4,4,1,6,4,2,2,2
"56",2,6,4,5,5,5,5,5,5,4,6,3,3,4,1,4,7,4,5
"57",2,2,2,3,3,3,4,3,1,4,3,2,4,1,2,3,3,4,4
"58",6,6,5,4,6,4,4,5,6,5,6,6,6,5,5,5,6,5,5
"59",4,5,3,6,3,6,6,4,2,6,6,4,4,6,4,4,5,5,3
"60",5,6,4,5,4,5,4,4,3,3,3,4,4,6,4,5,4,3,4
"61",4,4,3,4,3,3,3,6,4,4,3,6,3,3,3,4,3,5,5
"62",5,4,4,4,4,5,6,5,5,4,4,4,5,6,6,4,5,3,4
"63",2,4,2,3,1,2,3,5,3,3,6,2,3,3,2,3,4,3,3
"64",1,4,2,4,4,5,3,6,3,4,5,6,3,6,3,3,6,4,4
"65",5,5,5,6,6,6,6,6,6,5,6,6,4,5,6,4,5,6,5
