"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,5,5,3,5,4,4,5,6,6,4,3,6,5,4,5,4,5
"2",6,6,5,5,6,6,5,4,6,4,5,6,3,4,6,6,4,4,5
"3",4,4,3,4,2,4,5,4,3,4,4,6,3,4,3,5,5,3,3
"4",5,3,4,4,4,3,4,5,5,5,3,3,3,4,4,4,5,4,5
"5",4,4,4,5,3,5,4,6,4,5,3,4,4,5,4,5,5,3,4
"6",3,2,1,2,3,2,2,3,2,1,3,1,1,4,1,3,2,4,3
"7",1,1,1,3,2,3,3,1,2,2,1,1,3,4,2,1,1,3,4
"8",6,6,6,5,5,5,6,6,6,5,6,5,5,7,5,6,5,6,6
"9",5,2,4,4,5,5,4,5,4,4,5,6,4,5,3,3,5,3,4
"10",5,4,4,6,2,6,6,4,4,6,5,3,3,6,6,6,5,6,5
"11",6,4,4,5,3,5,4,6,4,4,5,4,5,6,3,6,6,6,3
"12",3,3,5,4,4,5,4,3,3,3,5,2,5,4,5,2,4,4,5
"13",3,5,4,5,5,3,2,4,3,3,3,4,4,4,3,3,3,5,4
"14",1,2,2,1,4,3,4,3,5,5,2,3,4,2,4,1,4,2,3
"15",6,5,5,5,6,6,6,6,5,6,4,5,5,6,6,6,4,5,6
"16",2,4,5,5,3,5,4,3,2,4,4,4,4,3,4,2,3,1,4
"17",1,4,2,2,4,2,5,3,6,2,2,3,4,3,3,4,3,2,4
"18",6,6,5,6,3,6,6,5,6,5,5,5,5,6,7,4,5,5,5
"19",5,4,3,6,4,5,4,4,2,5,2,3,6,3,5,6,3,4,4
"20",3,6,4,6,4,3,6,6,5,6,4,6,5,6,5,6,3,4,6
"21",6,5,5,6,6,2,6,3,6,3,6,4,6,4,6,5,4,5,5
"22",4,5,5,4,4,6,3,5,4,2,5,4,3,4,3,2,5,5,4
"23",2,4,2,3,2,5,3,2,3,4,4,4,4,4,4,4,3,2,4
"24",4,5,5,4,3,4,4,4,5,3,5,5,5,5,5,4,4,3,3
"25",4,5,6,6,6,6,5,6,6,5,6,4,6,6,5,6,6,4,5
"26",5,5,5,3,5,5,5,5,6,4,5,6,3,5,3,5,5,4,6
"27",5,6,6,5,5,6,7,6,6,6,6,6,5,5,5,5,5,4,6
"28",3,5,3,4,2,2,6,4,5,4,5,3,4,2,6,1,3,4,4
"29",6,4,6,4,5,5,4,5,6,5,5,3,4,4,4,3,1,5,5
"30",4,6,7,6,4,6,5,4,6,5,4,5,6,6,5,5,5,4,5
"31",2,5,3,4,4,3,4,4,3,4,5,4,4,3,2,5,3,4,3
"32",3,1,3,3,4,2,4,3,3,1,3,1,4,4,1,3,3,2,2
"33",4,4,3,4,6,5,6,6,5,6,6,4,5,3,5,5,3,6,4
"34",6,4,5,3,4,4,7,6,6,6,6,6,4,5,5,6,2,3,4
"35",5,4,5,5,3,4,2,4,4,2,4,5,4,4,3,3,4,5,4
"36",5,6,5,5,6,6,4,6,4,5,6,6,5,2,6,5,6,4,5
"37",4,2,2,3,3,3,1,3,3,2,3,3,4,2,5,5,3,4,1
"38",3,4,3,3,2,5,2,2,2,5,3,1,3,2,1,3,4,1,4
"39",3,4,4,4,5,6,4,5,2,4,5,4,3,3,6,6,6,4,5
"40",4,4,4,5,3,4,2,5,3,5,2,4,4,4,2,2,4,3,4
"41",3,2,3,1,3,4,4,5,4,2,3,3,3,5,4,6,3,2,1
"42",4,5,5,5,4,3,6,4,6,6,5,4,5,5,5,5,4,6,4
"43",5,5,6,5,5,6,3,4,3,4,2,5,6,5,6,5,4,4,4
"44",5,5,3,6,4,4,6,4,5,6,5,3,4,6,5,6,5,6,4
"45",3,4,4,6,2,5,2,6,3,4,5,2,3,5,5,5,6,4,4
"46",5,5,3,6,4,6,4,5,2,6,6,3,5,3,2,4,5,5,4
"47",3,3,3,3,3,5,5,3,3,3,5,3,2,4,2,4,4,3,5
"48",1,2,3,4,4,3,2,5,5,1,4,4,3,4,4,4,5,2,3
"49",5,6,6,3,5,6,5,6,6,5,6,5,5,5,4,4,5,6,5
"50",3,4,2,3,4,4,2,3,1,3,4,3,2,3,3,1,6,3,5
"51",4,4,3,4,4,4,5,3,4,4,3,4,3,4,5,4,3,4,4
"52",5,5,3,3,1,5,5,4,6,2,3,4,3,3,4,4,5,5,6
"53",5,6,4,3,3,7,6,6,6,5,5,6,3,5,6,6,5,2,5
"54",4,4,4,3,4,5,4,3,5,4,3,4,5,4,5,5,3,2,4
"55",4,5,4,4,1,3,4,4,3,2,2,6,4,4,4,4,3,6,2
"56",5,5,5,4,5,4,6,6,4,3,6,3,3,6,6,3,5,6,5
"57",2,1,2,3,1,2,4,2,2,4,2,3,2,5,1,2,3,4,2
"58",5,6,5,5,6,4,5,5,4,4,5,6,5,6,6,4,6,4,5
"59",5,6,4,6,5,3,3,5,5,5,4,5,4,3,5,3,6,3,5
"60",5,5,1,4,4,6,5,3,5,6,5,4,3,3,7,3,4,5,3
"61",3,4,4,4,6,6,6,5,4,4,2,6,5,2,1,5,5,6,3
"62",4,4,5,5,4,4,4,4,5,2,3,4,6,4,4,5,5,3,6
"63",4,5,6,2,6,4,4,4,5,3,3,4,4,3,6,4,5,2,5
"64",4,3,3,4,4,4,6,6,3,2,2,4,6,5,4,3,5,4,5
"65",5,5,5,5,6,5,6,6,5,2,6,5,6,6,4,6,6,3,6
"66",6,4,7,5,5,6,5,5,5,4,5,4,6,6,6,4,4,6,5
"67",5,6,4,2,6,2,5,5,5,6,5,4,5,3,6,3,3,6,5
"68",6,2,3,4,3,2,2,3,3,5,4,4,3,2,5,4,2,3,4
"69",4,1,4,2,5,3,1,2,3,2,5,2,3,4,1,1,3,1,2
"70",5,6,2,6,5,7,5,6,6,5,7,5,4,5,5,5,7,6,5
"71",6,6,6,6,5,5,3,5,6,6,5,4,5,5,5,6,6,6,4
"72",1,4,4,3,3,4,5,4,5,3,3,5,4,4,4,4,4,5,5
"73",2,2,4,3,4,3,1,2,3,1,3,1,3,3,3,4,2,5,2
"74",6,4,5,3,4,2,4,2,5,4,6,6,5,2,2,5,6,5,5
"75",6,6,5,5,6,6,6,1,6,6,6,6,6,6,5,6,6,5,5
"76",5,4,2,3,3,4,4,2,4,4,4,6,3,3,4,4,4,3,5
"77",4,3,3,4,3,4,4,2,4,1,3,2,5,3,3,3,3,3,3
"78",5,6,6,4,5,5,5,5,6,6,4,5,6,5,6,5,5,4,5
"79",4,4,5,2,1,3,4,4,2,3,4,4,4,4,1,5,5,5,3
"80",3,4,2,3,2,3,5,2,3,3,2,4,1,3,3,3,2,1,4
"81",5,5,5,4,6,4,4,3,2,5,4,4,4,5,3,4,5,2,4
"82",6,4,5,4,6,6,3,6,5,3,6,3,6,6,4,4,6,5,3
"83",6,5,5,4,4,5,5,4,5,4,3,3,3,5,4,4,3,3,5
"84",3,4,2,4,1,2,5,1,2,4,4,5,1,3,2,1,1,5,3
"85",2,4,4,3,5,3,2,2,4,1,2,2,1,5,3,2,1,4,2
