"","x"
"1",6
"2",5
"3",2
"4",4
"5",4
"6",1
"7",1
"8",5
"9",5
"10",6
"11",5
"12",3
"13",2
"14",3
"15",5
"16",3
"17",3
"18",6
"19",4
"20",4
"21",6
"22",4
"23",3
"24",4
"25",6
"26",6
"27",6
"28",3
"29",4
"30",6
"31",2
"32",1
"33",4
"34",6
"35",3
"36",6
"37",1
"38",1
"39",4
"40",2
"41",2
"42",6
"43",4
"44",4
"45",4
"46",4
"47",3
"48",2
"49",6
"50",1
"51",3
"52",2
"53",6
"54",3
"55",2
"56",5
"57",1
"58",7
"59",4
"60",4
"61",4
"62",4
"63",4
"64",4
"65",6
"66",6
"67",5
"68",2
"69",1
"70",7
"71",6
"72",4
"73",1
"74",3
"75",6
"76",3
"77",3
"78",6
"79",3
"80",2
"81",4
"82",4
"83",4
"84",1
"85",1
"86",6
"87",4
"88",4
"89",6
"90",6
"91",4
"92",7
"93",6
"94",6
"95",6
"96",2
"97",5
"98",1
"99",2
"100",4
"101",4
"102",2
"103",6
"104",7
"105",6
"106",6
"107",1
"108",2
"109",6
"110",3
"111",6
"112",6
"113",4
"114",6
"115",6
"116",6
"117",4
"118",6
"119",4
"120",7
"121",6
"122",2
"123",6
"124",6
"125",6
"126",4
"127",7
"128",1
"129",4
"130",1
"131",2
"132",6
"133",6
"134",2
"135",2
"136",2
"137",2
"138",4
"139",2
"140",1
"141",6
"142",6
"143",6
"144",6
"145",4
"146",6
"147",4
"148",2
"149",6
"150",6
"151",1
"152",5
"153",4
"154",3
"155",6
"156",4
"157",1
"158",6
"159",3
"160",3
"161",3
"162",6
"163",6
"164",4
"165",4
"166",4
"167",4
"168",1
"169",3
"170",2
"171",6
"172",6
"173",4
"174",4
"175",6
"176",6
"177",4
"178",4
"179",1
"180",4
"181",3
"182",4
"183",4
"184",4
"185",1
"186",4
"187",4
"188",2
"189",2
"190",2
"191",4
"192",2
"193",3
"194",4
"195",6
"196",6
"197",4
"198",1
"199",4
"200",4
"201",4
"202",2
"203",6
"204",4
"205",6
"206",5
"207",3
"208",4
"209",6
"210",5
"211",3
"212",2
"213",6
"214",4
"215",1
"216",2
"217",3
"218",6
"219",5
"220",2
"221",4
"222",4
"223",4
"224",6
"225",1
"226",4
"227",4
"228",1
"229",2
"230",3
"231",2
"232",2
"233",4
"234",2
"235",7
"236",6
"237",6
"238",6
"239",4
"240",4
"241",3
"242",3
"243",6
"244",4
"245",2
"246",6
"247",1
"248",1
"249",3
"250",4
"251",3
"252",3
"253",4
"254",6
"255",3
"256",1
"257",4
"258",1
"259",6
"260",2
"261",1
"262",2
"263",1
"264",1
"265",2
"266",2
"267",2
"268",2
"269",5
"270",4
"271",6
"272",6
"273",4
"274",4
"275",3
"276",2
"277",6
"278",3
"279",6
"280",2
"281",4
"282",4
"283",4
"284",1
"285",2
"286",4
"287",4
"288",4
"289",4
"290",5
"291",4
"292",6
"293",1
"294",4
"295",4
"296",2
"297",3
"298",5
"299",1
"300",2
"301",4
"302",3
"303",2
"304",6
"305",3
"306",4
"307",2
"308",6
"309",1
"310",2
"311",4
"312",2
"313",4
"314",3
"315",4
"316",1
"317",1
"318",4
"319",4
"320",4
"321",6
"322",2
"323",4
"324",4
"325",6
"326",4
"327",1
"328",3
"329",1
"330",6
"331",1
"332",6
"333",2
"334",6
"335",4
"336",6
"337",2
"338",4
"339",5
"340",6
"341",1
"342",1
"343",6
"344",4
"345",1
"346",4
"347",4
"348",2
"349",1
"350",1
"351",6
"352",1
"353",4
"354",3
"355",3
"356",3
"357",2
"358",4
"359",4
"360",1
"361",1
"362",4
"363",4
"364",1
"365",2
"366",2
"367",1
"368",6
"369",4
"370",6
"371",3
"372",2
"373",1
"374",3
"375",3
"376",4
"377",6
"378",1
"379",1
"380",1
"381",4
"382",1
"383",1
"384",4
"385",3
"386",2
"387",2
"388",2
"389",4
"390",6
"391",5
"392",4
"393",4
"394",1
"395",4
"396",4
"397",4
"398",6
"399",3
"400",4
"401",2
"402",3
"403",6
"404",4
"405",6
"406",2
"407",6
"408",4
"409",2
"410",1
"411",1
"412",1
"413",2
"414",3
"415",1
"416",4
"417",6
"418",1
"419",4
"420",6
"421",4
"422",6
"423",4
"424",6
"425",6
"426",2
"427",2
"428",4
"429",6
"430",4
"431",6
"432",1
"433",4
"434",5
"435",5
"436",4
"437",3
"438",2
"439",4
"440",2
"441",1
"442",1
"443",4
"444",4
"445",5
"446",2
"447",1
"448",2
"449",3
"450",4
"451",6
"452",1
"453",6
"454",3
"455",1
"456",2
"457",5
"458",4
"459",3
"460",4
"461",1
"462",4
"463",4
"464",7
"465",6
"466",6
"467",6
"468",2
"469",1
"470",2
"471",1
"472",4
"473",4
"474",1
"475",2
"476",5
"477",1
"478",4
"479",1
"480",4
"481",4
"482",6
"483",6
