"","x"
"1",5
"2",5
"3",4
"4",4
"5",4
"6",1
"7",1
"8",6
"9",5
"10",6
"11",5
"12",4
"13",4
"14",4
"15",5
"16",5
"17",3
"18",5
"19",4
"20",5
"21",5
"22",5
"23",3
"24",4
"25",6
"26",5
"27",6
"28",4
"29",4
"30",6
"31",4
"32",1
"33",6
"34",5
"35",4
"36",6
"37",2
"38",3
"39",5
"40",3
"41",2
"42",5
"43",5
"44",3
"45",4
"46",5
"47",3
"48",2
"49",6
"50",3
"51",4
"52",3
"53",6
"54",4
"55",3
"56",5
"57",3
"58",5
"59",4
"60",4
"61",4
"62",5
"63",3
"64",4
"65",6
"66",4
"67",5
"68",5
"69",4
"70",5
"71",6
"72",4
"73",1
"74",4
"75",6
"76",4
"77",4
"78",5
"79",4
"80",4
"81",4
"82",6
"83",5
"84",2
"85",2
"86",5
"87",5
"88",4
"89",5
"90",6
"91",5
"92",6
"93",6
"94",5
"95",6
"96",4
"97",5
"98",3
"99",3
"100",4
"101",5
"102",4
"103",5
"104",6
"105",6
"106",5
"107",2
"108",4
"109",6
"110",4
"111",6
"112",6
"113",5
"114",5
"115",4
"116",5
"117",5
"118",6
"119",4
"120",6
"121",5
"122",4
"123",4
"124",6
"125",5
"126",4
"127",6
"128",2
"129",4
"130",1
"131",2
"132",5
"133",5
"134",2
"135",4
"136",4
"137",2
"138",5
"139",3
"140",1
"141",5
"142",5
"143",5
"144",6
"145",4
"146",6
"147",5
"148",3
"149",6
"150",6
"151",2
"152",5
"153",4
"154",4
"155",5
"156",4
"157",4
"158",6
"159",4
"160",4
"161",4
"162",6
"163",5
"164",4
"165",5
"166",4
"167",5
"168",3
"169",3
"170",4
"171",6
"172",6
"173",5
"174",4
"175",3
"176",5
"177",5
"178",5
"179",2
"180",4
"181",3
"182",4
"183",5
"184",4
"185",1
"186",5
"187",4
"188",3
"189",4
"190",3
"191",5
"192",4
"193",4
"194",5
"195",6
"196",6
"197",4
"198",5
"199",4
"200",5
"201",5
"202",4
"203",6
"204",4
"205",6
"206",5
"207",4
"208",4
"209",6
"210",6
"211",4
"212",4
"213",6
"214",3
"215",2
"216",4
"217",2
"218",6
"219",6
"220",4
"221",4
"222",4
"223",5
"224",6
"225",2
"226",4
"227",5
"228",1
"229",4
"230",3
"231",3
"232",2
"233",5
"234",4
"235",6
"236",5
"237",6
"238",5
"239",5
"240",5
"241",4
"242",5
"243",4
"244",4
"245",4
"246",5
"247",1
"248",2
"249",3
"250",4
"251",3
"252",4
"253",4
"254",5
"255",4
"256",3
"257",5
"258",2
"259",5
"260",4
"261",3
"262",2
"263",3
"264",1
"265",3
"266",3
"267",2
"268",2
"269",5
"270",5
"271",5
"272",4
"273",5
"274",4
"275",4
"276",2
"277",6
"278",4
"279",6
"280",3
"281",5
"282",4
"283",4
"284",2
"285",4
"286",4
"287",5
"288",4
"289",5
"290",6
"291",4
"292",5
"293",3
"294",5
"295",5
"296",3
"297",3
"298",5
"299",2
"300",3
"301",5
"302",3
"303",4
"304",5
"305",3
"306",6
"307",4
"308",5
"309",2
"310",3
"311",3
"312",4
"313",4
"314",3
"315",4
"316",2
"317",3
"318",4
"319",4
"320",3
"321",6
"322",4
"323",4
"324",4
"325",6
"326",4
"327",2
"328",5
"329",1
"330",5
"331",4
"332",5
"333",3
"334",6
"335",5
"336",6
"337",3
"338",6
"339",5
"340",6
"341",2
"342",1
"343",5
"344",4
"345",3
"346",3
"347",4
"348",3
"349",1
"350",2
"351",6
"352",3
"353",4
"354",4
"355",4
"356",3
"357",4
"358",4
"359",4
"360",2
"361",2
"362",5
"363",6
"364",3
"365",3
"366",3
"367",2
"368",6
"369",4
"370",5
"371",4
"372",4
"373",2
"374",3
"375",4
"376",4
"377",6
"378",2
"379",2
"380",3
"381",4
"382",3
"383",2
"384",2
"385",4
"386",4
"387",5
"388",4
"389",5
"390",5
"391",4
"392",5
"393",4
"394",1
"395",4
"396",5
"397",4
"398",5
"399",4
"400",4
"401",3
"402",4
"403",5
"404",4
"405",5
"406",2
"407",6
"408",4
"409",3
"410",1
"411",4
"412",2
"413",2
"414",3
"415",2
"416",4
"417",5
"418",1
"419",4
"420",5
"421",4
"422",4
"423",4
"424",5
"425",5
"426",3
"427",4
"428",6
"429",5
"430",4
"431",6
"432",3
"433",5
"434",6
"435",5
"436",5
"437",4
"438",4
"439",5
"440",2
"441",2
"442",3
"443",5
"444",4
"445",4
"446",3
"447",3
"448",2
"449",3
"450",5
"451",6
"452",1
"453",5
"454",4
"455",1
"456",4
"457",5
"458",4
"459",5
"460",4
"461",1
"462",5
"463",4
"464",6
"465",6
"466",5
"467",5
"468",2
"469",3
"470",3
"471",1
"472",4
"473",4
"474",4
"475",4
"476",5
"477",1
"478",5
"479",2
"480",4
"481",5
"482",5
"483",5
"484",5
"485",6
"486",2
"487",4
"488",5
"489",5
"490",4
"491",5
"492",5
"493",4
"494",3
"495",4
"496",5
"497",3
"498",5
"499",5
"500",6
"501",4
"502",5
"503",3
"504",4
"505",2
"506",3
"507",4
"508",5
"509",4
"510",5
"511",3
"512",4
"513",5
"514",3
