"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"3",1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1
"4",1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2
"20",1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1
"21",1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2
"22",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1
"24",1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1
"25",1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1
"26",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
"28",1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1
"29",1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1
"30",1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1
"31",1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2
"32",1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2
"33",1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1
"34",1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1
"35",1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1
"36",1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1
"37",2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2
"38",2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1
"39",1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1
"40",1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1
"41",1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,1
"42",1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2
"43",2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2
"44",1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
"45",1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1
"46",1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1
"47",1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1
"48",1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
