"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2
"2",2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1
"3",1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2
"4",1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1
"20",1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1
"21",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"22",1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
"24",1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2
"25",1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
"28",1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2
"30",1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2
"31",1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1
"32",1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2
"33",1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1
"34",1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2
"35",1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1
"36",1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1
"37",2,1,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1
"38",2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1
