"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,5,4,3,4,3,4,4,3,4,3,3,3,3,3,3,3,4,3
"2",3,4,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,2
"3",3,2,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3,4
"4",4,3,4,3,3,3,4,3,3,4,4,4,3,3,4,5,3,3,4
"5",3,3,4,3,4,4,3,4,4,3,3,3,3,3,3,4,4,3,3
"6",3,3,3,3,3,2,3,4,3,3,4,4,4,4,3,4,3,3,4
"7",4,4,5,4,3,4,4,3,4,4,3,4,3,3,4,5,4,3,3
"8",3,3,3,3,4,4,3,4,4,2,4,4,3,5,3,4,3,4,3
"9",3,3,4,4,3,3,3,4,5,3,3,3,4,3,3,3,3,3,4
"10",4,3,4,4,4,3,3,3,3,4,2,3,4,3,3,3,2,3,4
"11",3,3,3,4,3,3,3,4,3,3,4,4,4,4,4,2,3,3,3
"12",3,4,3,3,4,4,4,4,4,3,3,3,3,5,4,5,3,4,4
"13",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"14",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"15",4,5,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3
"16",3,2,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3
"17",4,3,3,3,4,4,3,4,5,4,3,3,4,4,4,4,4,4,3
"18",3,3,4,2,3,3,4,3,3,4,3,3,3,4,3,3,4,5,4
"19",3,3,4,4,3,4,3,4,4,2,4,3,3,3,4,3,4,3,4
"20",4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4
"21",3,3,3,3,3,3,3,4,3,4,5,3,3,4,4,4,4,4,3
"22",2,3,3,3,4,4,3,3,3,3,4,4,3,2,4,3,4,2,4
"23",3,3,4,4,4,4,4,5,3,4,3,4,4,3,3,4,4,4,3
"24",3,2,4,3,3,4,3,3,2,4,3,3,3,3,4,4,3,3,4
"25",3,3,4,4,4,3,4,3,3,4,4,3,3,5,3,2,4,2,3
"26",4,5,4,3,4,4,4,3,4,3,4,4,2,3,3,4,4,4,3
"27",3,4,4,4,3,4,3,5,4,3,4,3,3,4,4,3,3,3,3
"28",4,3,4,4,3,3,3,4,3,3,3,4,4,3,3,4,2,4,4
