"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,3,4,3,4,4,4,4,4,3,5,4,2,3,3,2,3,4,3
"2",3,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,4
"3",2,4,3,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4
"4",4,4,4,4,3,3,4,3,3,3,4,4,3,4,3,3,3,5,4
"5",3,3,4,3,3,3,3,4,4,4,5,3,3,3,3,2,4,3,3
"6",3,3,3,4,4,4,3,3,4,4,4,3,3,3,4,4,2,3,3
"7",4,4,4,3,4,5,2,3,4,4,4,4,5,4,6,2,4,3,3
"8",3,3,4,3,3,4,4,5,3,4,3,4,4,3,3,3,3,4,4
"9",3,5,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3,3,3
"10",4,3,3,4,4,4,3,3,4,3,2,3,4,3,3,2,4,4,4
"11",3,3,3,3,3,4,3,3,4,3,4,3,4,3,4,3,4,2,3
"12",4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4
"13",3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3
"14",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4
"15",3,3,5,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4
"16",4,2,3,4,4,3,3,3,3,3,3,3,4,4,3,3,4,4,3
"17",4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,5,5,3
"18",3,3,3,4,3,2,3,4,3,4,3,5,4,3,4,4,3,3,3
"19",3,4,3,4,4,4,4,5,3,4,3,3,3,4,3,3,3,3,4
"20",4,3,4,3,3,3,4,3,3,4,4,4,3,3,3,4,3,3,3
"21",4,3,3,3,4,3,3,4,4,3,5,4,3,3,3,3,3,4,3
"22",3,4,2,4,3,4,4,4,4,3,4,3,3,3,4,3,3,4,3
"23",3,3,4,4,4,3,3,5,4,4,4,5,4,4,4,4,4,5,5
"24",3,3,2,3,4,4,4,3,3,3,3,3,4,5,5,3,5,5,5
"25",3,3,3,4,4,3,3,3,4,3,3,3,4,4,4,3,3,2,4
"26",3,4,3,4,4,5,4,4,4,4,4,4,3,4,4,5,3,3,3
"27",3,4,3,5,4,4,3,4,3,3,4,4,6,4,3,5,4,3,3
"28",4,3,3,3,3,3,3,3,3,5,3,4,4,3,3,4,3,3,2
"29",4,4,4,3,4,5,3,5,3,3,5,4,3,3,4,4,3,5,4
"30",3,3,3,3,3,3,3,3,3,4,3,3,3,5,4,3,4,3,3
"31",3,3,5,3,3,3,3,4,3,4,3,4,4,5,4,6,4,4,4
