"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,2,4,3,3
"2",3,4,3,3,1,3,3,4,4,3,3,3,3,3,3,4,3,3,4
"3",4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,4
"4",4,3,3,3,5,4,3,4,4,5,4,3,4,3,4,4,3,4,4
"5",3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,4,4
"6",3,4,3,4,3,2,3,3,3,3,4,3,3,3,3,4,3,3,4
"7",3,4,4,4,3,3,2,4,3,3,3,3,4,4,4,3,4,4,4
"8",4,4,4,4,4,3,3,3,3,4,4,4,3,5,3,4,4,3,4
"9",3,3,3,3,5,4,3,3,4,4,2,4,3,4,5,3,3,3,3
"10",3,4,3,3,3,3,3,3,4,3,4,3,3,4,3,2,3,3,3
"11",3,4,2,4,4,4,3,3,3,4,4,4,3,4,3,3,3,3,4
"12",3,3,3,2,3,3,4,3,4,3,3,3,4,4,6,4,4,4,2
"13",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
"14",3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3
"15",3,3,4,3,3,3,5,4,4,2,4,5,4,4,3,4,4,4,4
"16",3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,5,4
"17",4,3,4,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,4
"18",4,3,4,3,3,3,3,3,3,3,3,5,4,4,3,3,3,3,4
"19",4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,2
"20",4,3,3,4,3,4,3,4,4,3,3,3,4,4,2,3,4,3,3
"21",3,3,4,4,5,3,3,4,3,5,3,3,3,3,4,4,3,4,3
"22",3,3,3,3,3,3,2,4,4,4,3,4,3,3,3,3,3,3,3
"23",4,4,4,5,3,4,3,4,4,4,3,4,3,4,3,4,4,4,4
"24",3,3,3,3,4,4,5,4,4,2,3,3,3,3,3,4,4,3,3
"25",3,3,3,3,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3
"26",3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3
"27",5,3,3,3,3,2,3,4,3,3,4,3,5,4,4,4,4,3,4
"28",3,4,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,4
"29",3,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,4,4,4
"30",3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
"31",3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3
"32",3,4,3,4,3,3,3,4,4,3,3,4,3,4,3,3,2,2,3
"33",3,5,1,2,3,3,3,4,3,3,2,2,3,5,3,3,3,3,4
"34",4,3,2,3,3,3,3,3,3,4,3,3,5,4,3,3,4,4,5
"35",4,4,3,4,3,3,3,5,4,4,4,4,4,3,3,4,4,3,5
"36",3,3,4,3,3,2,3,2,4,3,5,3,3,1,3,2,1,1,2
"37",3,3,5,3,3,3,3,2,5,4,4,4,4,3,3,4,4,3,4
"38",3,4,4,4,4,3,4,3,3,2,3,3,4,4,3,3,3,3,3
"39",4,3,4,3,4,3,3,3,3,4,4,3,4,4,3,4,4,3,4
