"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,5,3,4,3
"2",1,4,3,4,3,3,3,3,3,4,3,3,4,3,4,3,4,4,3
"3",3,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,3,3,4
"4",4,3,5,5,4,3,4,5,4,3,4,2,4,3,3,4,4,4,4
"5",3,3,3,3,3,4,3,3,4,4,3,5,3,3,3,3,3,3,4
"6",4,4,3,3,3,3,3,3,2,4,3,4,3,3,3,4,3,3,3
"7",5,3,4,3,3,4,4,4,3,3,3,3,4,4,3,3,4,3,4
"8",4,3,3,4,3,3,3,4,4,4,4,3,4,3,4,3,3,3,4
"9",3,3,4,3,3,3,3,3,3,3,3,4,5,3,3,3,4,3,4
"10",3,3,3,4,4,3,3,3,3,4,3,3,4,4,3,4,3,3,3
"11",4,4,4,4,3,4,4,5,3,3,3,3,3,3,4,4,3,4,3
"12",3,3,4,3,4,4,5,2,6,5,2,3,3,3,5,3,4,5,4
"13",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4
"14",3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,5,3
"15",3,3,4,3,3,3,3,4,5,3,4,3,3,5,3,4,3,4,2
"16",3,3,3,4,4,3,3,4,3,5,4,3,3,3,4,4,4,5,4
"17",3,4,3,3,3,3,5,4,2,4,4,4,3,3,4,3,4,3,4
"18",5,4,4,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,4
"19",4,4,3,4,3,4,3,4,3,4,2,3,3,3,4,4,4,3,3
"20",4,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,4,4,4
"21",3,4,3,4,4,4,4,5,3,6,4,4,3,4,4,3,4,4,4
"22",3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,2
"23",4,3,2,4,3,4,3,4,3,4,4,4,3,4,4,3,4,3,3
"24",3,4,4,3,3,3,4,3,4,3,3,3,5,3,4,3,2,3,3
"25",3,4,4,4,4,3,3,3,4,3,3,3,4,3,5,3,4,3,4
"26",3,3,3,3,3,3,3,3,3,3,4,2,3,3,4,4,2,4,3
"27",5,3,3,3,3,3,3,4,3,4,3,4,3,2,3,3,3,4,3
"28",3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3
"29",3,4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,5,4,5
"30",3,3,3,3,4,3,4,4,4,3,4,3,3,3,3,3,4,3,3
"31",4,3,5,3,4,4,4,3,3,3,3,4,5,3,2,5,3,5,5
"32",3,3,3,5,4,4,3,3,2,4,4,4,4,3,4,3,4,3,4
"33",5,3,4,3,1,2,4,5,3,3,3,3,3,3,3,5,4,3,3
"34",2,3,3,3,3,3,4,4,4,5,3,4,4,4,4,1,3,3,4
"35",3,3,4,3,4,4,4,3,3,4,4,4,4,3,3,4,5,3,3
"36",5,3,3,3,2,2,3,2,4,3,2,3,3,2,3,3,4,3,3
"37",3,4,3,5,3,3,3,4,3,3,3,4,2,3,4,3,3,4,4
"38",3,2,3,4,4,3,5,4,3,3,3,3,4,3,3,4,3,3,4
"39",3,3,4,4,3,4,3,3,4,4,3,3,4,1,5,3,4,4,4
"40",2,4,4,4,4,4,3,3,4,4,5,5,3,3,5,4,5,4,5
"41",3,3,1,4,3,4,2,3,3,3,3,5,5,3,3,4,5,3,4
"42",4,6,4,5,5,4,3,5,2,4,4,3,4,4,4,4,5,4,5
"43",3,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3
"44",3,3,4,3,4,3,5,3,3,4,4,3,3,3,3,4,3,4,4
"45",3,3,3,3,4,5,3,3,3,2,3,4,3,3,4,3,4,3,3
"46",4,4,2,4,3,4,4,3,4,3,3,4,3,3,4,3,4,4,4
"47",3,3,4,3,4,3,3,5,3,3,3,4,3,4,4,3,3,3,4
"48",4,4,3,5,3,5,3,4,3,4,5,4,4,3,4,3,3,4,4
"49",4,4,3,3,5,3,5,5,3,3,4,3,4,3,4,4,4,3,4
"50",3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4
"51",3,4,3,3,3,3,4,3,3,4,3,5,4,3,3,3,3,3,3
"52",3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,4,3
"53",5,3,3,4,4,3,3,3,3,4,4,4,3,4,4,4,5,3,3
"54",3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3
"55",3,5,4,4,3,4,4,3,3,3,3,4,4,3,4,3,3,3,4
"56",3,3,3,3,4,3,3,2,3,3,5,4,3,4,3,4,4,4,3
"57",3,3,3,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4
"58",3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3
"59",3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,3,3,4,3
"60",3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3
"61",4,1,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4
"62",5,3,4,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,3
"63",4,3,3,3,2,5,4,3,4,3,4,4,4,3,4,4,5,3,4
"64",4,4,4,5,4,4,3,3,4,4,5,2,5,4,3,4,3,4,4
"65",5,3,4,4,4,4,4,3,5,3,4,2,3,5,4,4,3,3,4
"66",4,4,4,4,3,4,4,5,4,3,3,2,3,3,3,3,5,3,3
"67",3,4,4,4,3,4,3,3,4,3,4,4,2,3,4,3,3,3,3
"68",3,4,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3
"69",3,4,2,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4
"70",4,5,4,4,4,4,3,4,1,3,3,5,2,4,3,3,4,3,3
"71",3,3,4,4,4,4,5,3,3,4,4,3,3,3,4,4,4,2,5
"72",3,3,3,3,4,3,3,4,3,5,3,3,3,4,3,2,4,4,4
"73",3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,3,4,3
"74",3,3,3,3,4,4,3,4,4,4,5,3,3,4,4,4,3,3,3
"75",3,3,3,3,3,4,4,4,4,3,3,3,3,5,3,4,3,3,4
"76",3,3,3,4,4,4,3,5,3,3,3,4,4,3,3,3,3,2,4
"77",4,3,2,3,4,4,3,2,4,4,4,3,4,3,3,4,5,3,3
"78",3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,3,4
"79",5,4,2,4,3,4,4,4,5,3,3,3,4,4,4,5,3,5,4
"80",4,3,5,3,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4
"81",3,3,4,4,3,3,4,4,4,3,5,2,4,3,3,2,5,3,3
"82",5,3,4,3,4,4,3,4,4,4,4,3,3,3,3,4,4,3,4
"83",3,3,2,3,3,5,3,3,3,3,3,5,4,5,4,4,3,4,4
"84",3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,5,3,3
"85",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
"86",3,3,4,4,3,4,3,4,4,4,3,5,2,3,4,3,3,2,5
"87",3,4,5,3,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4
"88",5,4,4,5,4,4,6,3,4,4,5,4,4,5,5,5,5,3,3
"89",3,3,4,2,4,4,3,4,3,4,4,4,4,3,5,4,4,3,2
"90",3,3,3,4,3,3,4,4,4,3,5,3,3,3,3,3,4,3,3
"91",3,3,3,3,3,3,2,2,4,3,3,3,4,2,3,4,3,3,3
"92",4,5,4,4,3,3,4,4,3,3,3,4,4,3,3,4,4,3,2
"93",4,4,3,2,4,3,3,3,4,3,4,4,5,3,3,3,3,3,4
"94",4,4,3,3,4,3,3,4,4,5,3,4,3,4,4,4,4,4,3
"95",3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,4,3,4
"96",2,3,3,4,4,3,4,3,3,3,3,4,3,4,3,4,4,4,3
"97",3,3,3,3,4,4,4,3,3,3,5,3,4,4,4,3,3,3,3
"98",4,3,4,4,3,3,4,3,3,5,3,3,4,3,4,3,4,4,3
"99",2,4,4,3,3,4,3,3,4,3,3,4,4,4,4,4,4,3,3
"100",3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
"101",3,4,2,3,4,3,5,4,3,4,4,4,3,3,3,3,4,5,4
"102",3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3
"103",3,3,3,3,3,4,3,3,4,4,3,4,3,4,3,4,3,3,3
"104",4,4,5,3,4,3,4,3,3,3,3,4,3,4,4,3,4,3,3
"105",3,4,4,3,5,4,3,4,5,4,4,3,4,4,3,4,4,3,3
"106",2,3,3,5,3,3,4,4,3,4,2,3,4,3,3,4,4,3,4
"107",3,3,5,3,4,4,3,3,2,4,3,3,3,4,3,3,3,3,3
"108",3,3,4,3,5,4,4,4,4,4,4,3,4,3,3,4,4,3,4
"109",3,3,3,3,3,4,3,3,3,3,4,3,4,3,4,3,4,3,3
"110",3,4,4,3,3,3,4,1,3,4,4,3,3,3,4,3,3,4,3
"111",3,3,3,2,3,3,3,4,3,5,3,4,3,3,2,4,4,4,3
"112",3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,5,3,2,3
"113",3,3,4,3,3,3,4,3,4,3,3,3,3,4,3,4,4,3,3
"114",3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,3,4,3
"115",3,2,3,2,1,2,2,1,4,3,2,1,4,1,3,3,4,3,2
"116",3,2,3,2,1,2,2,1,4,3,1,2,4,2,3,3,3,3,4
"117",4,4,4,4,4,4,3,4,5,4,4,3,4,4,3,4,5,4,4
"118",3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,4,3,3,4
"119",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
"120",5,4,4,4,5,5,5,4,5,5,4,6,3,4,4,5,3,4,6
"121",3,3,3,4,4,4,5,4,3,4,4,4,2,3,4,4,3,4,3
"122",3,3,3,1,2,3,4,3,3,3,2,3,3,3,3,2,2,3,2
"123",3,4,3,3,3,3,3,4,4,4,3,3,4,4,3,3,4,3,3
"124",4,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3
"125",3,4,4,3,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4
"126",3,3,4,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,4
"127",3,4,3,4,4,3,3,4,4,3,3,3,3,3,4,3,4,3,4
"128",4,5,5,5,3,6,6,5,4,4,4,3,4,6,4,4,4,4,3
"129",3,4,4,3,4,4,3,3,4,3,3,5,3,3,3,3,3,3,4
"130",3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4
"131",3,4,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3
"132",4,4,3,3,3,1,3,4,4,4,4,3,4,3,4,4,3,4,4
"133",4,4,4,4,3,3,3,3,4,4,4,3,4,4,3,4,3,3,5
