"","x"
"1",3
"2",3
"3",3
"4",4
"5",3
"6",3
"7",5
"8",5
"9",3
"10",3
"11",3
"12",3
"13",3
"14",3
"15",5
"16",3
"17",2
"18",4
"19",4
"20",3
"21",3
"22",3
"23",4
"24",3
"25",3
"26",3
"27",4
"28",3
"29",4
"30",3
"31",4
"32",3
"33",4
"34",4
"35",5
"36",2
"37",3
"38",2
"39",4
"40",3
"41",3
"42",2
"43",3
"44",3
"45",3
"46",3
"47",3
"48",4
"49",4
"50",3
"51",4
"52",3
"53",3
"54",3
"55",3
"56",4
"57",3
"58",3
"59",5
"60",3
"61",3
"62",3
"63",3
"64",3
"65",4
"66",4
"67",3
"68",3
"69",2
"70",3
"71",3
"72",4
"73",3
"74",2
"75",3
"76",3
"77",3
"78",3
"79",4
"80",3
"81",4
"82",3
"83",3
"84",3
"85",3
"86",3
"87",2
"88",4
"89",3
"90",3
"91",3
"92",4
"93",4
"94",4
"95",3
"96",3
"97",3
"98",3
"99",4
"100",3
"101",3
"102",3
"103",3
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",3
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",5
"118",3
"119",3
"120",3
"121",4
"122",4
"123",3
"124",3
"125",3
"126",3
"127",3
"128",4
"129",3
"130",3
"131",3
"132",3
"133",4
"134",4
"135",4
"136",2
"137",3
"138",3
"139",3
"140",3
"141",4
"142",3
"143",2
"144",4
"145",3
"146",3
"147",3
"148",3
"149",2
"150",4
"151",3
"152",2
"153",4
"154",4
"155",3
"156",3
"157",4
"158",3
"159",3
"160",3
"161",3
"162",3
"163",4
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",4
"171",3
"172",3
"173",3
"174",3
"175",4
"176",5
"177",2
"178",5
"179",3
"180",3
"181",3
"182",4
"183",5
"184",3
"185",3
"186",5
"187",4
"188",4
"189",4
"190",3
"191",4
"192",3
"193",3
"194",3
"195",3
"196",3
"197",4
"198",3
"199",3
"200",4
"201",2
"202",4
"203",4
"204",3
"205",3
"206",5
"207",4
"208",4
"209",4
"210",4
"211",4
"212",3
"213",4
"214",4
"215",5
"216",4
"217",3
"218",3
"219",4
"220",4
"221",4
"222",3
"223",3
"224",3
"225",3
"226",3
"227",3
"228",5
"229",3
"230",2
"231",3
"232",3
"233",3
"234",5
"235",2
"236",6
"237",4
"238",4
"239",4
"240",3
"241",3
"242",3
"243",6
"244",5
"245",4
"246",5
"247",3
"248",3
"249",4
"250",4
"251",5
"252",3
"253",3
"254",4
"255",4
"256",4
"257",3
"258",3
"259",3
"260",3
"261",3
"262",4
"263",4
"264",3
"265",3
"266",3
"267",4
"268",3
"269",4
"270",4
"271",4
"272",4
"273",4
"274",3
"275",3
"276",4
"277",3
"278",4
"279",5
"280",3
"281",3
"282",4
"283",4
"284",5
"285",3
"286",4
"287",3
"288",4
"289",4
"290",3
"291",5
"292",5
"293",4
"294",3
"295",4
"296",5
"297",4
"298",4
"299",4
"300",4
"301",3
"302",5
"303",4
"304",4
"305",4
"306",4
"307",4
"308",3
"309",3
"310",4
"311",4
"312",3
"313",5
"314",5
"315",4
"316",3
"317",4
"318",3
"319",3
"320",5
"321",4
"322",3
"323",3
"324",5
"325",3
"326",4
"327",4
"328",3
"329",4
"330",5
"331",4
"332",4
"333",4
"334",4
"335",4
"336",3
"337",4
"338",4
"339",4
"340",4
"341",5
"342",6
"343",3
"344",3
"345",3
"346",5
"347",3
"348",4
"349",3
"350",4
"351",4
"352",4
"353",3
"354",4
"355",4
"356",5
"357",4
"358",2
"359",4
"360",3
"361",3
"362",5
"363",3
"364",3
"365",4
"366",3
"367",4
"368",3
"369",5
"370",5
"371",3
"372",5
"373",4
"374",4
"375",3
"376",4
"377",3
"378",4
"379",3
"380",4
"381",4
"382",4
"383",3
"384",6
"385",4
"386",5
"387",5
"388",5
"389",4
"390",3
"391",3
"392",4
"393",4
"394",4
"395",4
"396",5
"397",3
"398",6
"399",3
"400",3
"401",1
"402",4
"403",3
"404",3
"405",3
"406",4
"407",3
"408",4
"409",4
"410",4
"411",3
"412",3
"413",4
"414",4
"415",3
"416",4
"417",3
"418",3
"419",4
"420",4
"421",3
"422",6
"423",3
"424",3
"425",4
"426",3
"427",4
"428",5
"429",4
"430",4
"431",5
"432",5
"433",4
"434",4
"435",6
"436",4
"437",3
"438",5
"439",5
"440",5
"441",5
"442",5
"443",4
"444",4
"445",5
"446",3
"447",4
"448",5
"449",3
"450",4
"451",1
"452",4
"453",3
"454",4
"455",3
"456",3
"457",3
"458",3
"459",3
"460",4
"461",4
"462",3
"463",4
"464",3
"465",4
"466",4
"467",4
"468",5
"469",3
"470",3
"471",4
"472",3
"473",4
"474",4
"475",3
"476",4
"477",4
"478",4
"479",4
"480",4
"481",4
"482",4
"483",3
"484",3
"485",4
"486",3
"487",4
"488",3
"489",3
"490",3
"491",4
"492",4
