"","x"
"1",3
"2",3
"3",3
"4",4
"5",3
"6",3
"7",4
"8",3
"9",3
"10",3
"11",4
"12",2
"13",3
"14",3
"15",3
"16",2
"17",3
"18",3
"19",3
"20",3
"21",4
"22",3
"23",4
"24",4
"25",3
"26",3
"27",3
"28",3
"29",4
"30",3
"31",2
"32",4
"33",2
"34",4
"35",4
"36",1
"37",5
"38",3
"39",3
"40",3
"41",3
"42",6
"43",3
"44",4
"45",4
"46",3
"47",3
"48",4
"49",4
"50",3
"51",3
"52",3
"53",4
"54",3
"55",3
"56",4
"57",4
"58",3
"59",3
"60",3
"61",2
"62",3
"63",2
"64",4
"65",4
"66",3
"67",3
"68",3
"69",3
"70",3
"71",4
"72",3
"73",3
"74",3
"75",4
"76",2
"77",3
"78",2
"79",4
"80",3
"81",2
"82",4
"83",3
"84",3
"85",3
"86",2
"87",3
"88",6
"89",2
"90",3
"91",3
"92",3
"93",3
"94",4
"95",3
"96",3
"97",2
"98",3
"99",3
"100",3
"101",3
"102",3
"103",3
"104",4
"105",4
"106",4
"107",3
"108",4
"109",3
"110",3
"111",3
"112",3
"113",3
"114",3
"115",1
"116",1
"117",4
"118",4
"119",3
"120",5
"121",4
"122",3
"123",3
"124",3
"125",4
"126",3
"127",3
"128",6
"129",4
"130",3
"131",3
"132",3
"133",4
"134",4
"135",4
"136",6
"137",3
"138",5
"139",3
"140",2
"141",3
"142",3
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",4
"151",2
"152",3
"153",3
"154",4
"155",3
"156",4
"157",4
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",4
"171",3
"172",3
"173",3
"174",3
"175",5
"176",4
"177",1
"178",4
"179",3
"180",3
"181",4
"182",4
"183",5
"184",3
"185",3
"186",5
"187",5
"188",3
"189",5
"190",3
"191",3
"192",3
"193",4
"194",3
"195",3
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",4
"203",2
"204",3
"205",4
"206",4
"207",4
"208",3
"209",2
"210",3
"211",3
"212",3
"213",5
"214",3
"215",5
"216",3
"217",3
"218",3
"219",3
"220",4
"221",3
"222",4
"223",3
"224",3
"225",4
"226",3
"227",6
"228",4
"229",3
"230",3
"231",4
"232",3
"233",4
"234",5
"235",3
"236",5
"237",4
"238",5
"239",3
"240",4
"241",3
"242",4
"243",5
"244",4
"245",4
"246",2
"247",3
"248",3
"249",5
"250",4
"251",4
"252",3
"253",1
"254",4
"255",4
"256",4
"257",4
"258",3
"259",3
"260",4
"261",3
"262",4
"263",4
"264",3
"265",3
"266",3
"267",4
"268",3
"269",3
"270",3
"271",4
"272",3
"273",3
"274",3
"275",4
"276",4
"277",3
"278",3
"279",4
"280",3
"281",3
"282",3
"283",2
"284",4
"285",5
"286",5
"287",4
"288",5
"289",3
"290",4
"291",4
"292",4
"293",5
"294",3
"295",5
"296",4
"297",4
"298",5
"299",4
"300",4
"301",3
"302",4
"303",5
"304",4
"305",3
"306",4
"307",3
"308",3
"309",5
"310",5
"311",4
"312",5
"313",5
"314",5
"315",4
"316",3
"317",3
"318",4
"319",5
"320",4
"321",5
"322",4
"323",3
"324",5
"325",3
"326",4
"327",4
"328",3
"329",5
"330",5
"331",4
"332",6
"333",4
"334",4
"335",5
"336",3
"337",3
"338",3
"339",3
"340",3
"341",4
"342",4
"343",4
"344",3
"345",4
"346",5
"347",3
"348",4
"349",3
"350",4
"351",4
"352",4
"353",3
"354",4
"355",4
"356",5
"357",4
"358",4
"359",3
"360",3
"361",3
"362",5
"363",3
"364",3
"365",5
"366",3
"367",4
"368",3
"369",4
"370",4
"371",3
"372",5
"373",4
"374",3
"375",3
"376",4
"377",3
"378",5
"379",4
"380",5
"381",3
"382",5
"383",3
"384",5
"385",5
"386",5
"387",5
"388",4
"389",3
"390",4
"391",4
"392",3
"393",4
"394",2
"395",3
"396",5
"397",4
"398",5
"399",4
"400",3
"401",4
"402",4
"403",3
"404",5
"405",3
"406",4
"407",4
"408",4
"409",6
"410",4
"411",3
"412",5
"413",4
"414",5
"415",5
"416",4
"417",3
"418",4
"419",5
"420",3
"421",2
"422",5
"423",3
"424",4
"425",5
"426",3
"427",3
"428",4
"429",4
"430",3
"431",5
"432",5
"433",4
"434",5
"435",5
"436",3
"437",3
"438",5
"439",5
"440",4
"441",5
"442",5
"443",4
"444",3
"445",5
"446",4
"447",4
"448",5
"449",3
"450",5
"451",3
"452",5
"453",3
"454",4
"455",4
"456",3
"457",3
"458",3
"459",3
"460",4
"461",3
"462",3
"463",4
"464",4
"465",5
"466",4
"467",4
"468",5
"469",5
"470",3
"471",5
"472",3
"473",4
"474",5
"475",3
"476",3
"477",5
"478",5
"479",3
"480",3
"481",4
"482",4
"483",2
"484",4
"485",4
"486",5
"487",5
"488",4
"489",3
"490",3
"491",4
"492",3
