"","x"
"1",3
"2",3
"3",3
"4",4
"5",3
"6",3
"7",3
"8",3
"9",4
"10",3
"11",3
"12",4
"13",3
"14",3
"15",4
"16",3
"17",3
"18",3
"19",3
"20",3
"21",4
"22",3
"23",3
"24",3
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",3
"34",4
"35",4
"36",3
"37",4
"38",3
"39",3
"40",4
"41",3
"42",4
"43",3
"44",3
"45",3
"46",3
"47",3
"48",3
"49",3
"50",3
"51",3
"52",3
"53",4
"54",3
"55",3
"56",3
"57",3
"58",3
"59",3
"60",3
"61",3
"62",3
"63",3
"64",4
"65",4
"66",3
"67",3
"68",3
"69",3
"70",4
"71",4
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",3
"79",4
"80",3
"81",5
"82",3
"83",4
"84",3
"85",3
"86",5
"87",3
"88",4
"89",3
"90",3
"91",3
"92",3
"93",3
"94",4
"95",3
"96",3
"97",3
"98",3
"99",4
"100",3
"101",3
"102",3
"103",3
"104",4
"105",4
"106",3
"107",3
"108",4
"109",3
"110",2
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",4
"118",3
"119",3
"120",4
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",3
"128",5
"129",3
"130",3
"131",3
"132",3
"133",3
"134",4
"135",4
"136",4
"137",3
"138",4
"139",4
"140",3
"141",3
"142",3
"143",4
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",4
"152",3
"153",3
"154",4
"155",3
"156",3
"157",3
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",3
"171",3
"172",3
"173",3
"174",3
"175",4
"176",4
"177",3
"178",4
"179",4
"180",3
"181",3
"182",3
"183",4
"184",3
"185",3
"186",4
"187",4
"188",3
"189",4
"190",3
"191",3
"192",4
"193",4
"194",3
"195",3
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",4
"203",4
"204",3
"205",4
"206",4
"207",3
"208",4
"209",3
"210",3
"211",3
"212",3
"213",4
"214",3
"215",4
"216",3
"217",3
"218",3
"219",3
"220",4
"221",3
"222",4
"223",3
"224",3
"225",3
"226",3
"227",3
"228",4
"229",3
"230",3
"231",3
"232",3
"233",4
"234",4
"235",3
"236",5
"237",3
"238",4
"239",4
"240",4
"241",3
"242",3
"243",5
"244",4
"245",4
"246",4
"247",3
"248",3
"249",4
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",3
"258",3
"259",3
"260",3
"261",3
"262",4
"263",4
"264",3
"265",3
"266",3
"267",3
"268",3
"269",3
"270",3
"271",3
"272",3
"273",3
"274",3
"275",4
"276",4
"277",3
"278",3
"279",4
"280",3
"281",3
"282",3
"283",3
"284",4
"285",4
"286",4
"287",4
"288",4
"289",3
"290",4
"291",4
"292",4
"293",4
"294",4
"295",4
"296",5
"297",4
"298",4
"299",4
"300",4
"301",3
"302",4
"303",5
"304",4
"305",3
"306",4
"307",3
"308",3
"309",4
"310",4
"311",4
"312",4
"313",4
"314",4
"315",4
"316",3
"317",4
"318",3
"319",4
"320",4
"321",4
"322",3
"323",3
"324",5
"325",3
"326",4
"327",4
"328",3
"329",4
"330",4
"331",4
"332",5
"333",4
"334",4
"335",4
"336",3
"337",3
"338",3
"339",3
"340",3
"341",4
"342",4
"343",3
"344",3
"345",3
"346",4
"347",3
"348",4
"349",3
"350",4
"351",4
"352",4
"353",3
"354",4
"355",4
"356",4
"357",4
"358",3
"359",3
"360",3
"361",3
"362",4
"363",3
"364",3
"365",4
"366",3
"367",4
"368",3
"369",4
"370",4
"371",3
"372",5
"373",4
"374",3
"375",3
"376",3
"377",3
"378",5
"379",3
"380",4
"381",3
"382",4
"383",3
"384",4
"385",4
"386",4
"387",4
"388",4
"389",3
"390",4
"391",4
"392",3
"393",4
"394",3
"395",3
"396",4
"397",4
"398",5
"399",3
"400",3
"401",3
"402",4
"403",3
"404",4
"405",3
"406",4
"407",4
"408",4
"409",5
"410",3
"411",3
"412",4
"413",4
"414",4
"415",4
"416",4
"417",3
"418",4
"419",5
"420",3
"421",4
"422",5
"423",4
"424",4
"425",5
"426",3
"427",3
"428",4
"429",4
"430",3
"431",5
"432",5
"433",4
"434",4
"435",4
"436",3
"437",4
"438",4
"439",5
"440",5
"441",4
"442",5
"443",3
"444",3
"445",4
"446",4
"447",4
"448",4
"449",3
"450",4
"451",3
"452",4
"453",4
"454",4
"455",3
"456",4
"457",3
"458",3
"459",3
"460",4
"461",3
"462",3
"463",4
"464",4
"465",5
"466",3
"467",3
"468",5
"469",4
"470",3
"471",4
"472",3
"473",4
"474",4
"475",3
"476",3
"477",4
"478",4
"479",3
"480",3
"481",4
"482",4
"483",3
"484",4
"485",4
"486",4
"487",4
"488",4
"489",3
"490",3
"491",4
"492",3
