"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,4,3,4,4,3,5,4,4,3,3,3,4,5,4,5,3,4
"2",3,3,3,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,3
"3",4,5,4,4,4,4,6,5,5,5,3,4,5,4,4,4,4,4,5
"4",3,3,3,3,3,4,3,4,3,4,3,3,3,5,6,4,3,3,4
"5",4,5,4,4,4,3,3,3,4,3,5,4,4,4,4,3,3,5,4
"6",3,4,4,6,4,4,4,3,3,4,4,3,5,3,4,4,3,3,5
"7",4,4,3,5,3,3,5,2,3,4,2,4,3,4,3,3,3,2,4
"8",4,3,4,3,4,4,5,3,3,5,3,5,2,5,3,6,4,2,3
"9",3,3,3,4,4,4,6,4,4,4,4,3,3,4,4,3,5,4,4
"10",4,5,4,5,4,4,5,4,4,5,4,3,5,3,3,3,4,4,5
"11",3,3,4,3,4,3,4,5,3,4,4,3,3,3,3,4,4,3,4
"12",3,4,4,4,4,3,5,4,5,4,3,5,4,5,4,5,4,5,4
"13",2,3,4,4,4,4,4,4,6,4,3,5,4,5,3,3,4,4,5
"14",4,6,5,4,4,4,5,5,3,4,4,4,5,4,5,5,4,4,4
"15",3,3,3,4,4,4,4,3,3,4,4,3,3,4,2,4,4,3,4
"16",5,4,4,3,3,4,3,3,3,3,4,4,4,5,4,4,4,4,4
"17",5,4,3,4,3,4,3,5,4,4,3,4,5,3,5,4,4,5,3
"18",5,5,4,5,6,5,4,4,5,5,4,4,3,5,4,3,4,5,5
"19",5,4,4,4,4,2,4,4,3,2,3,4,3,3,5,3,3,3,4
"20",4,4,3,4,3,2,4,3,5,4,4,3,4,3,5,3,6,4,2
"21",4,4,4,4,4,2,4,3,4,4,3,4,3,3,4,4,3,3,3
"22",5,3,4,4,4,4,4,5,3,4,4,3,4,4,3,3,4,4,3
"23",4,4,4,4,4,4,5,3,5,3,3,4,4,5,3,4,3,4,4
"24",3,4,4,5,4,5,4,5,4,3,3,4,4,4,3,3,3,5,4
"25",4,4,6,3,5,2,4,4,5,6,4,5,4,4,4,4,5,5,5
"26",3,4,3,4,4,3,6,3,4,4,4,3,4,4,3,3,3,4,4
"27",3,4,3,2,2,4,2,2,3,2,3,1,4,4,4,3,3,3,3
"28",3,3,5,3,4,5,4,4,4,4,4,4,4,5,4,2,4,4,4
"29",4,5,5,5,5,6,5,4,3,4,3,5,4,3,5,4,4,2,4
"30",4,4,3,3,3,4,3,4,4,5,2,3,5,4,4,3,3,4,3
"31",4,5,5,4,4,3,4,4,3,4,4,4,4,5,3,5,6,5,3
"32",4,4,4,3,3,3,3,4,3,4,3,4,5,4,5,4,3,3,3
"33",5,5,3,5,5,4,5,3,5,5,4,3,5,4,4,4,5,4,4
"34",4,4,3,3,3,6,3,3,3,4,6,3,3,4,3,4,3,4,3
"35",4,3,5,3,4,4,4,4,4,3,3,4,4,5,3,4,3,4,4
"36",4,3,3,5,1,4,3,3,4,4,5,3,3,5,3,3,4,4,4
"37",3,3,3,3,5,4,4,3,6,3,5,4,3,3,5,4,4,5,2
"38",4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,4,3,4,4
"39",4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,2,3,3,3
"40",4,4,3,3,3,4,5,4,3,4,4,4,4,4,3,5,4,3,3
"41",3,4,4,4,4,4,3,4,4,5,3,3,3,4,3,4,3,4,4
"42",4,4,4,4,3,5,4,3,4,3,3,4,4,4,4,3,3,3,3
"43",4,4,4,4,4,5,3,3,5,5,3,4,5,3,4,3,4,3,5
"44",4,4,3,4,5,2,3,4,3,3,4,4,5,3,3,3,4,4,4
"45",6,5,5,5,5,3,4,4,6,4,3,5,5,4,5,3,4,5,4
"46",4,2,4,4,5,3,3,3,4,4,4,4,4,4,3,4,4,5,4
"47",4,4,4,3,5,4,5,5,5,4,5,5,4,4,4,4,6,4,4
"48",4,3,5,3,5,3,3,4,3,3,4,4,4,5,3,5,5,4,4
"49",4,3,5,3,2,5,3,3,3,2,3,3,3,5,4,3,3,3,4
"50",3,4,4,4,4,4,3,3,4,5,3,3,4,4,3,4,4,3,3
"51",3,3,3,4,4,5,3,3,5,4,3,4,4,4,4,3,4,4,5
"52",4,5,5,5,5,3,5,3,2,4,3,4,5,4,5,3,4,5,3
"53",4,3,4,4,4,5,4,5,5,5,3,5,4,4,4,5,4,4,5
"54",4,4,4,4,6,3,4,4,5,4,4,3,3,3,4,6,4,4,3
"55",2,4,3,4,4,4,4,4,5,4,4,4,3,4,4,3,3,3,4
"56",3,4,5,6,4,4,4,4,4,6,4,5,4,4,6,4,4,4,5
"57",3,4,6,5,3,5,4,4,4,3,3,5,4,4,4,4,4,4,3
"58",3,4,4,5,4,5,5,5,6,5,4,3,4,5,4,4,4,5,3
"59",3,4,4,3,3,5,4,4,5,3,3,4,4,6,4,6,4,4,3
"60",5,4,5,5,4,2,4,4,4,4,5,5,4,4,3,4,4,4,4
