"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,3,3,4,3,3,4,3,4,4,4,5,4,4,5,5,3,3,3
"2",3,3,3,4,4,5,3,4,3,2,4,3,5,4,3,3,4,3,3
"3",4,4,4,5,5,5,4,4,5,5,6,4,4,4,5,5,4,5,4
"4",3,4,4,3,4,4,4,3,3,4,3,3,4,4,4,6,3,2,3
"5",4,5,6,3,4,4,3,4,4,4,5,4,5,3,4,5,5,4,4
"6",3,4,4,6,5,3,3,3,3,4,4,5,6,4,3,3,5,3,4
"7",5,4,2,4,3,3,4,3,5,3,4,2,4,3,3,2,3,4,5
"8",3,4,2,4,6,3,5,4,4,4,4,3,3,3,6,4,5,5,3
"9",4,4,5,5,3,4,3,3,2,4,4,3,4,5,5,3,3,5,4
"10",5,3,3,4,4,4,4,5,4,3,3,5,5,4,4,4,4,5,4
"11",4,3,4,4,4,3,5,3,3,3,5,4,2,4,4,4,4,3,4
"12",4,4,4,4,4,5,4,3,3,4,6,4,4,5,3,5,4,5,4
"13",3,5,3,4,4,3,4,4,5,5,4,5,4,6,4,4,5,4,6
"14",5,4,5,5,3,5,3,5,4,5,5,3,4,4,4,4,2,4,3
"15",3,4,4,3,3,4,4,4,3,3,4,5,3,4,4,4,4,3,4
"16",5,4,4,4,4,6,5,4,3,3,3,3,5,4,3,5,5,3,4
"17",4,5,5,3,3,3,3,4,2,4,5,3,4,4,5,4,5,5,3
"18",5,5,5,4,3,4,5,5,6,4,4,4,4,4,4,5,3,3,4
"19",4,4,5,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,4
"20",4,4,4,2,4,4,3,6,4,3,3,4,2,5,4,3,3,3,3
"21",4,4,4,3,4,2,3,3,4,4,4,4,4,3,3,4,3,4,3
"22",4,4,3,4,4,3,4,4,5,3,3,5,4,5,4,3,4,4,5
"23",4,4,4,4,4,4,4,3,3,4,4,3,3,5,3,4,5,3,3
"24",3,4,3,4,3,3,5,3,4,4,5,4,4,4,3,4,4,3,3
"25",4,4,4,5,5,4,2,6,4,3,4,4,5,5,5,4,5,4,5
"26",4,3,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,2,4
"27",3,4,3,2,2,2,2,4,3,3,3,5,3,4,5,2,3,2,3
"28",3,3,2,3,4,4,4,4,5,5,4,4,4,5,5,4,4,5,4
"29",4,5,3,3,4,5,4,5,5,5,2,4,5,4,5,4,5,5,4
"30",4,2,3,5,3,4,3,4,3,5,5,3,4,2,3,3,4,4,3
"31",5,4,5,4,5,4,4,4,4,4,5,3,3,5,3,5,5,4,4
"32",3,4,3,3,4,4,3,4,4,3,3,3,5,4,3,4,5,5,5
"33",5,3,5,5,3,5,3,5,5,5,4,4,4,4,4,4,5,4,5
"34",4,6,3,4,3,6,4,3,3,3,4,4,4,4,3,3,3,4,3
"35",4,5,1,4,4,4,3,4,4,4,3,4,4,4,5,5,4,4,5
"36",4,1,5,4,3,4,4,3,4,4,4,5,4,4,4,4,5,4,5
"37",3,3,3,5,3,4,6,4,5,5,3,4,4,6,2,4,4,4,5
"38",4,4,4,3,4,4,4,4,4,3,5,4,5,3,4,5,3,4,5
"39",4,4,4,4,3,4,4,4,3,4,4,3,4,4,3,4,5,4,6
"40",4,2,3,4,3,4,4,5,3,3,4,4,4,4,4,4,4,5,4
"41",3,4,4,4,4,5,4,3,3,3,3,4,4,4,3,4,4,4,3
"42",2,4,4,4,5,3,4,3,3,3,4,4,4,3,3,4,4,4,4
"43",4,3,5,4,3,4,4,3,5,4,4,3,3,4,5,5,3,4,4
"44",4,3,4,3,4,5,3,4,3,3,4,3,4,4,5,2,3,3,4
"45",3,4,4,4,4,5,6,4,5,4,4,3,5,4,4,3,4,5,5
"46",3,4,4,4,3,4,3,4,4,3,3,5,4,4,5,4,5,5,4
"47",4,4,3,3,4,5,4,5,4,5,5,4,4,5,4,4,4,4,4
"48",5,4,4,4,3,3,5,4,4,4,3,3,3,5,5,3,5,4,3
"49",4,5,3,5,5,4,3,3,5,2,3,4,3,3,2,3,2,3,4
"50",3,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4
"51",3,3,4,3,4,5,3,6,3,4,4,4,4,3,5,4,3,3,3
"52",5,3,4,5,5,3,5,3,5,6,5,5,4,2,4,3,4,4,5
"53",4,4,4,4,5,4,2,4,6,4,5,5,5,3,4,5,5,4,5
"54",4,4,3,6,5,3,4,4,5,5,3,3,4,4,4,4,5,3,4
"55",3,4,4,5,3,4,4,4,4,4,3,4,4,4,4,3,3,3,4
"56",3,5,4,6,4,4,4,5,4,5,5,5,4,6,4,5,4,4,6
"57",4,3,4,4,4,4,4,5,4,4,3,3,5,4,4,5,5,4,4
"58",3,6,5,3,4,4,5,5,4,4,3,5,4,5,4,4,3,3,4
"59",4,3,5,4,3,5,4,4,4,6,3,4,5,4,3,4,4,3,3
"60",5,4,5,4,4,5,4,3,4,4,4,4,6,4,4,5,5,4,4
"61",5,4,4,3,2,2,4,6,3,5,5,3,2,3,5,3,4,4,4
"62",3,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3
"63",3,4,4,4,4,4,4,2,3,4,3,4,3,3,3,3,4,5,4
"64",2,3,4,4,3,3,3,5,4,1,4,3,3,3,4,4,4,4,4
