"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,3,3,5,4,3,4,3,4,3,4,5,5,3,4,4,3,5,3
"2",3,3,4,4,4,4,3,4,5,4,4,5,4,3,5,4,3,4,3
"3",4,4,4,4,4,4,4,4,3,4,4,3,3,5,3,3,4,4,4
"4",3,4,3,4,3,4,4,3,4,3,3,3,4,3,3,4,3,3,3
"5",3,3,3,4,3,4,3,3,3,4,3,3,4,4,4,3,3,4,4
"6",2,3,3,5,4,3,3,4,3,4,4,3,4,4,4,4,3,2,3
"7",4,3,4,4,4,4,5,4,4,4,4,5,4,3,3,5,4,5,5
"8",4,4,4,3,2,3,2,3,4,4,4,5,4,4,3,3,4,3,5
"9",4,4,3,3,4,3,4,4,3,3,4,3,3,5,3,4,4,4,5
"10",3,6,4,6,5,4,5,6,3,4,4,4,4,5,5,4,3,6,3
"11",3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,2,4,4
"12",5,5,4,5,4,4,5,4,5,5,5,4,4,4,5,5,5,4,4
"13",2,3,3,2,3,3,3,3,2,3,4,3,3,3,3,2,4,3,2
"14",4,4,4,2,5,4,3,4,4,4,5,4,4,7,6,6,4,4,4
"15",4,3,3,5,4,3,4,4,4,3,4,5,4,4,4,4,4,4,4
"16",4,3,3,3,3,3,3,3,4,3,4,3,3,4,4,3,4,3,3
"17",4,3,4,4,5,4,5,3,5,5,4,4,3,4,5,4,5,3,3
"18",4,5,5,5,5,4,4,5,5,4,4,5,4,4,5,5,4,4,4
"19",4,2,2,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3
"20",3,5,4,4,4,4,5,4,3,3,6,3,4,4,2,4,4,4,3
"21",4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,5,4,4
"22",4,6,3,4,4,3,4,5,6,5,5,3,4,5,4,4,5,4,3
"23",5,4,5,3,4,5,3,4,4,4,5,2,5,5,4,4,4,4,4
"24",3,3,4,4,3,3,5,4,3,3,4,5,5,4,4,4,5,2,5
"25",4,5,3,4,5,4,3,5,4,6,5,4,4,5,4,5,4,4,6
"26",2,4,7,3,3,4,4,3,4,4,3,5,4,4,3,4,3,4,3
"27",3,4,4,4,2,3,5,2,3,4,4,4,4,3,4,5,4,4,3
"28",4,5,4,3,5,4,4,3,3,5,4,4,3,3,3,4,4,3,3
"29",4,4,4,5,4,3,4,5,4,5,3,4,5,6,4,4,4,4,4
"30",3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,5,3,3
"31",4,4,4,4,6,5,5,5,3,4,4,4,5,5,7,5,3,4,5
"32",3,4,5,2,4,3,3,4,3,4,3,4,4,5,3,4,5,3,3
"33",4,6,5,3,4,5,4,5,5,4,4,3,5,6,6,4,5,4,4
"34",3,3,3,4,4,3,5,3,3,5,3,4,5,3,3,4,4,4,4
"35",4,3,4,3,3,5,3,4,3,4,3,4,5,3,3,4,4,3,3
"36",4,4,3,4,3,4,4,3,3,3,5,4,4,3,3,3,5,3,4
"37",4,4,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3
"38",4,4,3,3,3,4,4,4,4,5,5,4,5,2,2,4,5,3,4
"39",4,4,3,4,5,3,5,4,4,4,3,5,2,4,5,4,4,6,5
"40",4,5,3,4,4,5,4,4,5,5,4,4,4,4,3,4,4,4,3
"41",3,3,4,3,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3
"42",2,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,3,4
"43",4,5,3,5,4,4,3,5,4,4,4,4,4,5,4,5,4,4,3
"44",4,4,3,4,5,6,4,4,3,6,4,5,5,5,5,6,4,4,3
"45",5,5,5,5,3,5,3,5,5,4,5,6,5,4,4,6,5,5,4
"46",5,1,5,4,5,3,4,5,4,5,5,6,4,4,4,4,5,3,4
"47",4,6,4,5,4,1,4,5,4,4,4,5,4,5,4,5,3,5,5
"48",4,5,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,3
"49",4,4,3,4,5,3,3,3,3,5,3,4,6,4,4,4,4,5,5
"50",4,4,4,4,5,5,3,4,4,3,4,4,5,4,4,4,4,4,5
"51",3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,3,3,3
"52",2,4,3,3,2,4,3,4,3,3,4,3,3,4,4,4,2,4,3
"53",4,4,4,4,5,4,4,5,5,3,5,5,4,5,3,4,4,4,5
"54",4,3,3,3,3,4,3,6,3,3,3,4,2,3,3,3,4,4,3
"55",3,3,3,4,2,3,4,4,3,4,3,4,2,3,4,4,6,3,3
"56",4,3,5,3,3,3,6,4,4,5,4,4,3,4,4,4,4,5,3
"57",3,3,3,4,3,3,3,4,3,3,3,3,4,3,2,2,3,3,4
"58",6,5,4,5,6,5,4,5,4,6,6,4,4,5,5,5,4,5,5
"59",3,4,3,3,3,4,3,4,5,3,3,4,4,3,3,4,4,4,4
"60",6,5,5,4,4,5,4,4,4,4,5,4,5,2,5,4,4,5,4
"61",5,3,4,5,4,3,5,4,4,4,4,3,3,4,4,3,3,4,4
"62",3,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4,3
"63",4,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3,2,3,4
"64",2,3,3,3,4,4,3,3,2,4,5,2,4,3,3,3,3,3,4
"65",3,4,3,4,3,2,3,3,3,3,2,2,4,3,3,4,3,2,2
"66",4,4,4,4,6,5,6,5,5,4,5,4,4,6,4,4,4,5,4
"67",4,4,5,4,5,4,5,5,4,4,3,5,4,5,5,4,3,4,4
"68",3,3,4,3,5,3,4,4,3,4,5,3,4,4,5,4,4,4,3
"69",3,2,5,2,4,4,2,3,3,4,2,3,3,4,3,5,3,2,3
"70",6,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,2,4
"71",4,3,5,4,4,3,3,3,3,4,4,4,3,4,5,4,3,4,4
"72",4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,3,3,3,3
"73",4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4
"74",4,3,3,3,4,3,2,3,3,2,4,3,2,3,4,3,3,4,4
"75",4,3,3,3,4,2,3,3,3,3,2,4,3,2,3,3,3,4,4
"76",3,4,3,3,3,4,2,3,2,3,3,3,4,3,3,3,3,4,4
"77",4,3,4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,4
"78",3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,4
"79",5,5,5,5,4,5,5,4,3,6,5,4,5,4,4,4,5,5,6
"80",5,5,5,5,5,5,4,4,5,3,5,6,5,5,4,4,4,4,5
"81",4,6,5,5,4,4,3,4,4,4,5,4,5,5,4,3,5,4,5
"82",4,4,3,4,4,3,4,5,3,4,3,4,3,3,4,3,4,4,3
"83",3,3,3,3,3,3,3,4,3,4,5,3,3,3,4,3,3,4,3
"84",3,5,3,2,6,4,3,4,3,3,2,6,3,3,2,3,4,4,5
"85",3,3,3,3,2,1,3,3,2,2,4,4,5,6,4,4,5,5,4
"86",4,5,4,4,3,3,5,2,3,3,4,4,4,5,5,6,5,6,3
"87",4,4,3,4,4,4,4,3,3,3,5,4,3,4,3,3,4,3,4
"88",3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,5
"89",3,4,4,3,5,3,4,3,5,2,3,3,3,4,3,3,3,3,5
"90",5,4,4,4,4,3,3,4,5,6,4,3,4,5,4,4,4,4,3
"91",4,5,4,4,3,3,4,4,4,3,3,3,3,4,4,3,4,3,5
"92",2,2,3,4,4,3,3,3,4,3,3,4,3,5,3,4,3,3,4
"93",4,3,3,3,3,2,4,3,3,3,3,3,4,4,3,3,3,3,3
"94",3,4,3,5,3,4,3,3,4,3,3,4,3,4,4,3,4,3,5
"95",3,3,3,4,3,4,3,4,4,3,4,4,3,5,3,3,4,4,3
"96",3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,4,4
"97",5,3,3,2,4,3,2,3,4,3,3,4,2,4,2,2,3,2,3
"98",4,5,4,4,4,3,3,5,5,5,5,4,5,4,4,4,6,3,3
"99",4,4,5,4,4,4,3,4,5,5,3,5,4,5,5,4,4,5,2
"100",3,3,2,3,3,2,4,3,4,4,5,3,4,4,3,4,3,4,3
"101",3,3,2,3,3,4,3,4,3,4,3,3,3,4,3,3,4,3,3
"102",3,4,3,4,4,4,4,4,4,4,4,4,6,5,4,4,4,3,5
"103",4,3,4,4,3,4,3,4,3,4,5,3,4,3,3,3,4,5,4
