"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,3,5,3,4,5,3,4,3,3,5,3,3,4,3,3,4,2,5
"2",5,4,5,4,4,4,4,4,4,5,4,3,3,4,4,2,4,3,4
"3",5,4,4,4,3,3,4,5,4,3,3,4,4,4,4,4,4,4,4
"4",4,3,3,4,3,4,3,3,3,4,4,4,4,4,3,4,3,4,3
"5",3,3,3,5,4,3,3,3,4,3,4,4,3,4,3,4,3,4,3
"6",4,4,4,5,4,4,4,3,4,5,3,5,2,4,4,3,4,4,5
"7",4,3,4,5,4,4,4,3,4,2,5,4,4,5,4,4,5,3,3
"8",4,3,3,3,5,2,4,4,3,2,3,2,3,4,3,3,4,2,4
"9",5,2,4,2,3,2,3,5,5,4,4,4,3,4,3,3,3,4,3
"10",4,4,6,4,4,4,4,5,5,4,4,5,7,3,4,6,5,5,5
"11",4,3,3,3,3,3,4,3,3,3,3,5,3,4,4,4,3,5,4
"12",5,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,3,4,5
"13",3,3,3,4,2,4,3,3,2,3,2,2,2,3,3,2,2,4,3
"14",3,4,6,6,5,5,5,5,4,4,4,5,5,5,5,6,4,4,4
"15",5,4,4,4,3,4,5,4,4,5,4,2,4,3,4,4,3,4,3
"16",4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,4,4,3
"17",4,5,3,5,4,4,4,4,4,4,4,5,4,5,3,3,3,4,4
"18",4,5,4,3,5,4,4,5,4,4,4,4,3,4,5,5,5,4,4
"19",2,2,3,4,3,2,3,4,3,2,3,3,3,3,3,2,3,3,3
"20",4,4,4,5,3,4,5,3,3,5,3,3,3,4,5,4,3,4,3
"21",4,4,3,3,4,4,4,3,3,4,3,4,4,3,3,3,3,4,3
"22",4,6,5,5,5,6,4,4,4,4,5,4,3,4,3,3,5,5,4
"23",4,4,3,4,5,5,4,4,4,4,3,4,5,4,5,4,4,4,4
"24",4,3,5,4,2,6,4,4,4,4,5,4,3,5,4,5,4,5,4
"25",4,6,5,4,3,5,6,5,6,5,4,6,6,5,4,6,4,5,4
"26",4,4,2,3,4,3,4,4,4,3,3,4,5,3,2,4,4,4,4
"27",4,4,4,3,3,3,5,3,3,4,4,4,4,4,3,4,4,4,4
"28",4,4,4,6,4,5,5,3,5,3,3,3,4,3,3,4,5,5,4
"29",4,3,4,4,5,5,5,4,4,5,5,5,4,4,4,5,4,4,3
"30",3,3,4,4,3,4,2,3,3,3,5,4,3,3,4,5,3,3,3
"31",4,4,6,4,4,3,4,4,6,4,4,5,4,4,4,4,4,3,4
"32",3,3,4,3,5,3,3,3,3,3,3,3,3,4,3,4,3,4,3
"33",4,4,5,3,3,5,5,3,4,5,4,4,3,4,4,3,3,4,4
"34",3,3,3,4,3,3,3,4,3,5,4,5,4,4,3,4,3,4,3
"35",3,3,4,4,3,3,3,4,3,4,4,3,4,4,3,4,3,4,3
"36",3,4,4,3,3,3,3,4,3,4,4,3,4,3,3,4,3,3,4
"37",4,4,4,3,3,4,3,3,3,3,4,4,3,3,4,3,4,2,3
"38",2,4,3,4,2,4,5,4,4,3,4,4,4,5,3,3,2,3,3
"39",4,5,2,3,2,3,4,3,4,4,4,4,2,4,3,4,4,4,3
"40",3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,5,5,4
"41",3,3,4,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3
"42",3,3,3,3,4,2,3,4,4,3,3,3,3,3,4,3,4,3,3
"43",3,4,4,4,4,4,4,5,3,5,5,5,5,3,4,3,4,4,5
"44",5,3,5,4,5,5,3,4,3,4,4,3,5,3,3,3,5,4,4
"45",3,4,3,4,4,5,5,3,5,4,5,4,4,5,5,5,5,4,4
"46",4,4,4,5,4,3,5,4,4,4,4,4,5,5,4,4,4,5,3
"47",4,4,4,4,4,4,3,5,4,4,5,3,5,6,4,5,3,4,5
"48",4,4,3,4,3,5,4,4,3,3,3,4,4,4,3,3,4,4,4
"49",3,4,4,3,3,3,4,4,3,4,3,4,4,5,4,4,2,5,5
"50",5,4,4,3,4,3,3,4,5,5,4,4,4,3,4,3,3,4,4
"51",3,3,3,3,3,3,3,5,4,3,3,5,3,4,4,4,3,4,4
"52",4,2,2,3,2,3,3,4,4,3,3,4,3,4,3,4,3,4,4
"53",4,4,5,4,4,5,5,3,4,3,4,4,4,4,5,6,3,3,3
"54",3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3
"55",3,4,4,4,4,4,3,2,3,3,3,3,5,3,3,3,3,3,3
"56",4,4,3,5,4,4,5,3,4,3,4,3,3,4,5,3,4,5,4
"57",3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,3,2,3
"58",4,5,3,4,4,5,4,4,4,4,4,4,5,5,5,4,4,5,4
"59",3,3,3,4,4,4,3,5,3,3,3,3,3,4,5,3,3,3,4
"60",2,5,5,5,4,4,4,4,4,5,5,4,4,4,4,5,5,5,4
"61",3,5,4,5,4,5,4,4,3,4,3,4,5,6,5,3,4,3,3
"62",3,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3
"63",4,3,4,4,3,4,4,2,4,4,3,4,3,4,4,4,3,3,3
"64",2,3,2,4,4,2,5,4,4,4,2,4,5,4,2,5,3,4,5
"65",3,3,2,2,3,4,2,3,5,4,3,3,4,3,4,4,4,3,3
"66",4,4,6,6,5,5,4,4,4,4,4,5,4,4,4,4,2,5,4
"67",4,4,4,5,5,4,5,6,6,5,4,3,4,5,7,4,3,6,5
"68",3,3,4,4,4,3,4,3,3,4,4,2,3,5,4,5,3,4,4
"69",3,4,3,3,3,4,3,3,2,4,3,3,3,4,3,4,3,3,3
"70",5,4,5,5,5,4,4,4,5,4,5,5,5,5,4,4,5,4,3
"71",4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,3,4,4
"72",4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3
"73",3,3,4,4,4,3,4,4,3,3,4,5,4,4,3,3,3,3,4
"74",4,4,3,3,3,3,2,4,3,2,3,3,3,3,3,4,3,3,3
"75",3,4,3,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,3
"76",3,3,4,4,3,3,2,3,2,3,4,3,3,3,5,3,3,4,4
"77",4,3,4,4,3,4,4,4,3,4,3,4,4,4,3,3,4,4,4
"78",3,3,4,3,3,4,3,4,3,4,4,3,3,4,3,4,4,4,3
