"","x"
"1",4
"2",4
"3",4
"4",4
"5",4
"6",4
"7",3
"8",3
"9",3
"10",5
"11",3
"12",5
"13",4
"14",6
"15",4
"16",3
"17",5
"18",6
"19",3
"20",4
"21",4
"22",4
"23",4
"24",4
"25",5
"26",4
"27",4
"28",4
"29",4
"30",3
"31",3
"32",3
"33",4
"34",3
"35",4
"36",4
"37",4
"38",4
"39",4
"40",5
"41",2
"42",3
"43",3
"44",4
"45",5
"46",5
"47",4
"48",4
"49",4
"50",4
"51",4
"52",4
"53",4
"54",4
"55",3
"56",4
"57",3
"58",5
"59",3
"60",6
"61",3
"62",4
"63",3
"64",3
"65",4
"66",5
"67",5
"68",3
"69",3
"70",4
"71",4
"72",3
"73",4
"74",3
"75",4
"76",4
"77",4
"78",3
"79",5
"80",5
"81",5
"82",4
"83",4
"84",5
"85",2
"86",3
"87",3
"88",3
"89",3
"90",4
"91",4
"92",3
"93",4
"94",3
"95",3
"96",3
"97",2
"98",4
"99",4
"100",3
"101",3
"102",3
"103",3
"104",4
"105",4
"106",4
"107",3
"108",5
"109",5
"110",4
"111",3
"112",3
"113",3
"114",3
"115",3
"116",4
"117",3
"118",5
"119",4
"120",3
"121",4
"122",4
"123",4
"124",4
"125",4
"126",2
"127",5
"128",4
"129",5
"130",4
"131",3
"132",4
"133",4
"134",5
"135",6
"136",3
"137",3
"138",3
"139",3
"140",4
"141",5
"142",3
"143",3
"144",4
"145",4
"146",2
"147",5
"148",3
"149",4
"150",2
"151",3
"152",2
"153",4
"154",4
"155",3
"156",3
"157",4
"158",3
"159",3
"160",4
"161",3
"162",6
"163",2
"164",4
"165",4
"166",3
"167",3
"168",4
"169",3
"170",3
"171",3
"172",3
"173",3
"174",4
"175",2
"176",3
"177",3
"178",2
"179",3
"180",4
"181",3
"182",5
"183",4
"184",5
"185",3
"186",3
"187",3
"188",3
"189",4
"190",4
"191",4
"192",3
"193",4
"194",4
"195",2
"196",4
"197",4
"198",4
"199",4
"200",5
"201",4
"202",3
"203",3
"204",5
"205",4
"206",3
"207",4
"208",5
"209",5
"210",5
"211",3
"212",2
"213",1
"214",1
"215",4
"216",6
"217",5
"218",4
"219",2
"220",4
"221",3
"222",3
"223",4
"224",4
"225",4
"226",3
"227",4
"228",4
"229",3
"230",3
"231",3
"232",3
"233",4
"234",4
"235",3
"236",2
"237",5
"238",6
"239",6
"240",2
"241",3
"242",3
"243",3
"244",4
"245",5
"246",4
"247",3
"248",5
"249",1
"250",4
"251",3
"252",5
"253",4
"254",4
"255",4
"256",4
"257",4
"258",4
"259",3
"260",4
"261",5
"262",4
"263",5
"264",6
"265",4
"266",4
"267",3
"268",4
"269",4
"270",3
"271",5
"272",4
"273",5
"274",4
"275",3
"276",3
"277",4
"278",4
"279",4
"280",3
"281",6
"282",3
"283",4
"284",3
"285",3
"286",4
"287",4
"288",3
"289",5
"290",5
"291",4
"292",4
"293",3
"294",4
"295",4
"296",5
"297",4
"298",4
