"","x"
"1",3
"2",4
"3",4
"4",3
"5",3
"6",4
"7",5
"8",4
"9",5
"10",5
"11",3
"12",5
"13",3
"14",2
"15",4
"16",3
"17",5
"18",4
"19",2
"20",4
"21",3
"22",4
"23",4
"24",4
"25",5
"26",4
"27",4
"28",5
"29",4
"30",3
"31",4
"32",4
"33",5
"34",3
"35",3
"36",3
"37",3
"38",4
"39",4
"40",4
"41",3
"42",3
"43",4
"44",4
"45",4
"46",4
"47",5
"48",3
"49",4
"50",3
"51",3
"52",4
"53",5
"54",3
"55",2
"56",5
"57",3
"58",5
"59",3
"60",5
"61",4
"62",3
"63",3
"64",4
"65",4
"66",5
"67",5
"68",3
"69",3
"70",5
"71",3
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",3
"79",5
"80",5
"81",5
"82",3
"83",3
"84",5
"85",2
"86",3
"87",3
"88",3
"89",3
"90",3
"91",3
"92",4
"93",3
"94",3
"95",3
"96",3
"97",2
"98",5
"99",5
"100",3
"101",4
"102",3
"103",4
"104",4
"105",3
"106",5
"107",4
"108",4
"109",4
"110",4
"111",4
"112",3
"113",3
"114",3
"115",3
"116",4
"117",3
"118",5
"119",5
"120",5
"121",5
"122",4
"123",5
"124",5
"125",4
"126",2
"127",5
"128",4
"129",4
"130",3
"131",4
"132",4
"133",3
"134",5
"135",4
"136",3
"137",5
"138",3
"139",3
"140",3
"141",5
"142",3
"143",2
"144",4
"145",4
"146",5
"147",5
"148",3
"149",5
"150",5
"151",3
"152",2
"153",4
"154",4
"155",3
"156",3
"157",3
"158",3
"159",3
"160",4
"161",5
"162",5
"163",3
"164",3
"165",5
"166",4
"167",1
"168",1
"169",3
"170",3
"171",3
"172",3
"173",3
"174",4
"175",4
"176",3
"177",4
"178",2
"179",2
"180",4
"181",4
"182",5
"183",4
"184",5
"185",4
"186",4
"187",3
"188",4
"189",2
"190",4
"191",4
"192",3
"193",4
"194",3
"195",2
"196",3
"197",3
"198",3
"199",3
"200",4
"201",4
"202",3
"203",4
"204",5
"205",4
"206",3
"207",4
"208",5
"209",5
"210",5
"211",3
"212",4
"213",3
"214",5
"215",4
"216",4
"217",5
"218",5
"219",5
"220",4
"221",3
"222",4
"223",3
"224",4
"225",3
"226",2
"227",2
"228",2
"229",2
"230",3
"231",3
"232",3
"233",4
"234",4
"235",4
"236",5
"237",5
"238",5
"239",4
"240",3
"241",3
