"","x"
"1",3
"2",3
"3",4
"4",4
"5",3
"6",4
"7",4
"8",4
"9",4
"10",5
"11",4
"12",4
"13",3
"14",4
"15",4
"16",3
"17",4
"18",4
"19",3
"20",3
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",3
"33",4
"34",3
"35",3
"36",3
"37",3
"38",3
"39",3
"40",4
"41",3
"42",3
"43",4
"44",4
"45",4
"46",4
"47",4
"48",3
"49",4
"50",4
"51",4
"52",3
"53",4
"54",3
"55",3
"56",4
"57",3
"58",5
"59",4
"60",4
"61",3
"62",3
"63",3
"64",4
"65",3
"66",5
"67",4
"68",3
"69",3
"70",4
"71",4
"72",3
"73",4
"74",3
"75",3
"76",3
"77",4
"78",3
"79",5
"80",5
"81",4
"82",4
"83",3
"84",4
"85",3
"86",3
"87",4
"88",4
"89",3
"90",4
"91",4
"92",4
"93",3
"94",3
"95",3
"96",3
"97",3
"98",4
"99",4
"100",3
"101",4
"102",3
"103",4
"104",3
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",4
"112",3
"113",4
"114",3
"115",4
"116",4
"117",3
"118",4
"119",4
"120",4
"121",4
"122",4
"123",4
"124",4
"125",4
"126",3
"127",4
"128",3
"129",4
"130",4
"131",4
"132",3
"133",3
"134",4
"135",4
"136",3
"137",4
"138",4
"139",4
"140",3
"141",4
"142",3
"143",3
"144",4
"145",4
"146",4
"147",4
"148",4
"149",4
"150",4
"151",4
"152",2
"153",4
"154",3
"155",3
"156",3
"157",4
"158",4
"159",4
"160",4
"161",4
"162",4
"163",3
"164",3
"165",4
"166",4
"167",3
"168",3
"169",3
"170",3
"171",3
"172",4
"173",3
"174",5
"175",4
"176",4
"177",4
"178",3
"179",3
"180",3
"181",4
"182",4
"183",4
"184",4
"185",4
"186",4
"187",4
"188",4
"189",3
"190",3
"191",3
"192",4
"193",4
"194",4
"195",3
"196",3
"197",3
"198",4
"199",3
"200",4
"201",4
"202",3
"203",4
"204",4
"205",4
"206",3
"207",4
"208",5
"209",4
"210",4
"211",3
"212",4
"213",4
"214",4
"215",3
"216",4
"217",4
"218",4
"219",4
"220",4
"221",3
"222",4
"223",4
"224",4
"225",3
"226",3
"227",3
"228",3
"229",3
"230",4
"231",3
"232",4
"233",4
"234",4
"235",4
"236",3
"237",5
"238",4
"239",5
"240",4
"241",4
"242",3
"243",3
"244",4
"245",3
"246",4
"247",4
"248",4
"249",2
"250",3
"251",3
"252",4
"253",4
"254",4
"255",4
"256",4
"257",4
"258",3
"259",3
"260",3
"261",4
"262",4
"263",4
"264",4
"265",4
"266",4
"267",4
"268",3
"269",4
"270",4
"271",4
"272",4
"273",4
"274",4
"275",3
"276",4
"277",4
"278",4
"279",4
"280",4
"281",5
"282",4
"283",4
"284",4
"285",4
"286",4
"287",4
"288",3
"289",4
"290",3
"291",3
"292",3
"293",4
"294",4
"295",4
"296",4
"297",4
"298",4
"299",4
"300",5
"301",4
"302",3
"303",3
"304",3
"305",3
"306",3
"307",4
"308",4
"309",3
"310",4
"311",4
"312",5
"313",4
"314",3
"315",4
"316",4
"317",3
"318",3
"319",4
"320",4
"321",4
"322",4
"323",3
"324",3
"325",4
"326",4
"327",4
"328",4
"329",4
"330",3
"331",3
"332",4
"333",3
"334",4
"335",4
"336",4
"337",4
"338",4
"339",3
"340",3
"341",5
"342",5
"343",3
"344",4
"345",3
"346",4
"347",4
"348",4
"349",3
"350",4
"351",5
"352",4
"353",4
"354",4
"355",4
"356",3
"357",4
"358",3
"359",4
"360",3
"361",5
"362",5
"363",3
"364",5
"365",3
"366",4
"367",4
"368",5
"369",3
"370",4
"371",4
"372",4
"373",4
"374",4
"375",3
"376",4
"377",3
"378",4
"379",4
"380",5
"381",3
"382",3
"383",3
"384",4
"385",4
"386",3
"387",3
"388",3
"389",4
"390",4
"391",3
"392",3
"393",4
"394",4
"395",4
"396",4
"397",4
"398",4
"399",3
"400",4
"401",3
"402",4
"403",4
"404",3
"405",4
"406",4
"407",4
"408",4
"409",3
"410",4
"411",5
"412",4
"413",4
"414",4
"415",4
"416",3
"417",5
"418",4
"419",4
"420",4
"421",3
"422",3
"423",4
"424",3
"425",4
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",4
"433",3
"434",4
"435",4
"436",4
"437",3
"438",4
"439",4
"440",4
"441",3
"442",4
"443",5
"444",4
"445",4
"446",4
"447",3
"448",3
"449",4
"450",4
"451",4
"452",4
"453",3
"454",4
"455",4
"456",3
"457",4
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",3
"465",3
"466",4
"467",4
"468",4
"469",3
"470",3
"471",4
"472",3
"473",4
"474",4
"475",4
"476",4
"477",4
"478",3
"479",4
"480",3
"481",5
"482",4
"483",4
"484",4
"485",5
"486",4
"487",4
"488",3
"489",3
"490",4
"491",3
"492",4
