"","x"
"1",3
"2",3
"3",4
"4",4
"5",3
"6",4
"7",4
"8",4
"9",4
"10",4
"11",3
"12",4
"13",3
"14",4
"15",4
"16",3
"17",4
"18",4
"19",3
"20",4
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",3
"28",4
"29",4
"30",4
"31",4
"32",3
"33",4
"34",3
"35",4
"36",4
"37",3
"38",4
"39",4
"40",4
"41",3
"42",2
"43",4
"44",4
"45",4
"46",4
"47",4
"48",3
"49",4
"50",4
"51",3
"52",3
"53",4
"54",3
"55",3
"56",4
"57",3
"58",4
"59",3
"60",4
"61",4
"62",3
"63",3
"64",2
"65",3
"66",4
"67",4
"68",4
"69",3
"70",4
"71",4
"72",3
"73",3
"74",4
"75",3
"76",3
"77",3
"78",3
"79",5
"80",5
"81",4
"82",4
"83",3
"84",4
"85",3
"86",4
"87",4
"88",3
"89",3
"90",4
"91",4
"92",3
"93",3
"94",3
"95",3
"96",3
"97",3
"98",4
"99",4
"100",3
"101",3
"102",3
"103",4
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",5
"111",3
"112",4
"113",3
"114",3
"115",4
"116",4
"117",3
"118",4
"119",4
"120",4
"121",4
"122",4
"123",4
"124",4
"125",4
"126",3
"127",5
"128",3
"129",4
"130",4
"131",4
"132",4
"133",3
"134",4
"135",4
"136",4
"137",4
"138",4
"139",4
"140",3
"141",4
"142",3
"143",4
"144",4
"145",4
"146",2
"147",5
"148",4
"149",4
"150",4
"151",3
"152",3
"153",4
"154",4
"155",3
"156",3
"157",4
"158",3
"159",3
"160",4
"161",4
"162",5
"163",4
"164",3
"165",4
"166",4
"167",3
"168",3
"169",3
"170",3
"171",3
"172",3
"173",4
"174",5
"175",4
"176",4
"177",4
"178",3
"179",3
"180",4
"181",3
"182",4
"183",4
"184",4
"185",3
"186",4
"187",3
"188",4
"189",3
"190",4
"191",4
"192",3
"193",4
"194",3
"195",3
"196",4
"197",4
"198",4
"199",3
"200",4
"201",4
"202",3
"203",4
"204",5
"205",4
"206",3
"207",4
"208",4
"209",5
"210",5
"211",4
"212",4
"213",3
"214",4
"215",3
"216",4
"217",4
"218",5
"219",3
"220",4
"221",3
"222",4
"223",3
"224",4
"225",3
"226",4
"227",3
"228",3
"229",3
"230",3
"231",3
"232",3
"233",4
"234",4
"235",3
"236",3
"237",4
"238",4
"239",5
"240",4
"241",3
"242",3
"243",3
"244",3
"245",4
"246",4
"247",3
"248",4
"249",3
"250",3
"251",3
"252",4
"253",4
"254",4
"255",4
"256",3
"257",4
"258",3
"259",4
"260",4
"261",4
"262",4
"263",4
"264",4
"265",4
"266",3
"267",4
"268",4
"269",3
"270",4
"271",4
"272",4
"273",4
"274",4
"275",3
"276",4
"277",4
"278",3
"279",3
"280",4
"281",5
"282",4
"283",4
"284",4
"285",4
"286",4
"287",3
"288",4
"289",4
"290",4
"291",4
"292",3
"293",4
"294",3
"295",4
"296",4
"297",4
"298",4
"299",4
"300",5
"301",5
"302",3
"303",3
"304",4
"305",4
"306",4
"307",4
"308",4
"309",3
"310",4
"311",4
"312",5
"313",4
"314",3
"315",4
"316",4
"317",3
"318",3
"319",4
"320",4
"321",4
"322",3
"323",3
"324",3
"325",5
"326",4
"327",4
"328",4
"329",3
"330",4
"331",4
"332",4
"333",3
"334",3
"335",4
"336",4
"337",3
"338",5
"339",3
"340",3
"341",4
"342",5
"343",3
"344",4
"345",3
"346",4
"347",4
"348",4
"349",3
"350",4
"351",5
"352",4
"353",4
"354",4
"355",3
"356",4
"357",3
"358",3
"359",4
"360",3
"361",4
"362",4
"363",4
"364",4
"365",3
"366",4
"367",4
"368",5
"369",4
"370",4
"371",4
"372",4
"373",4
"374",4
"375",4
"376",4
"377",4
"378",4
"379",4
"380",5
"381",4
"382",3
"383",3
"384",3
"385",3
"386",3
"387",3
"388",3
"389",4
"390",3
"391",3
"392",3
"393",4
"394",4
"395",3
"396",4
"397",4
"398",4
"399",3
"400",4
"401",3
"402",4
"403",3
"404",3
"405",4
"406",4
"407",4
"408",4
"409",3
"410",4
"411",4
"412",4
"413",4
"414",4
"415",4
"416",3
"417",5
"418",4
"419",4
"420",4
"421",3
"422",4
"423",4
"424",3
"425",4
"426",4
"427",3
"428",4
"429",4
"430",4
"431",4
"432",4
"433",4
"434",4
"435",5
"436",4
"437",4
"438",4
"439",4
"440",2
"441",3
"442",4
"443",4
"444",5
"445",5
"446",4
"447",3
"448",3
"449",3
"450",4
"451",3
"452",4
"453",3
"454",3
"455",4
"456",3
"457",4
"458",4
"459",3
"460",4
"461",3
"462",4
"463",4
"464",3
"465",3
"466",3
"467",4
"468",4
"469",3
"470",3
"471",3
"472",3
"473",4
"474",3
"475",4
"476",3
"477",4
"478",3
"479",4
"480",3
"481",5
"482",4
"483",4
"484",4
"485",5
"486",5
"487",4
"488",4
"489",4
"490",4
"491",3
"492",4
