"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,3,4,3,4,1,1,5,1,5,2,1,3,1,4,3,2,2
"2",1,4,4,3,3,2,3,2,2,1,3,5,3,2,2,1,1,4,2
"3",1,3,1,3,1,2,1,1,1,2,3,5,2,1,1,3,2,3,3
"4",3,4,2,3,1,2,5,2,3,3,1,1,2,2,2,1,2,1,2
"5",1,3,3,4,2,1,1,2,1,5,3,1,4,2,1,1,2,1,3
"6",5,2,1,2,3,4,2,1,3,1,1,2,1,1,3,4,1,3,2
"7",1,3,1,3,2,3,4,3,1,2,3,3,3,5,1,2,1,3,1
"8",5,5,4,1,3,4,4,4,3,5,5,5,2,3,2,4,5,5,4
"9",1,3,1,3,2,3,5,3,3,2,3,3,2,2,1,1,2,1,1
"10",1,1,2,1,2,3,2,1,3,2,3,2,1,1,3,1,1,1,1
"11",1,1,3,2,3,2,3,3,1,3,3,2,3,2,4,1,1,1,2
"12",1,5,4,4,4,1,4,3,2,3,2,5,5,4,2,1,2,4,4
"13",1,1,2,3,1,3,1,3,3,2,5,3,3,1,2,3,1,3,1
"14",1,2,5,3,1,5,2,1,2,5,3,2,1,1,1,1,3,3,3
"15",1,1,4,2,3,1,1,1,1,1,3,1,2,3,2,1,1,2,3
"16",2,1,2,1,1,2,3,1,4,2,1,3,1,1,2,3,1,1,3
"17",1,2,1,1,2,2,5,3,3,3,3,3,1,1,1,1,3,2,1
"18",4,1,2,2,4,3,3,1,2,2,1,3,1,2,5,2,2,2,3
"19",2,3,3,3,1,3,2,5,1,1,1,2,1,3,3,3,2,2,3
"20",1,2,2,4,4,1,1,2,3,3,3,4,1,1,1,1,2,2,5
"21",1,3,2,1,1,1,3,3,1,1,3,2,1,3,1,5,1,1,2
"22",2,4,1,1,2,3,2,1,1,3,2,1,4,3,3,1,1,1,3
"23",3,1,2,2,2,4,4,5,1,5,4,1,1,1,4,3,3,5,2
"24",5,4,1,4,1,4,3,5,4,1,2,4,5,3,5,2,2,1,4
"25",3,3,3,1,1,1,2,3,1,3,2,3,1,2,2,1,3,1,1
"26",2,1,1,3,1,1,1,1,1,1,3,2,1,1,2,1,3,2,1
"27",1,1,4,2,3,1,1,3,1,1,1,1,1,1,1,3,2,2,3
"28",2,4,1,1,2,1,2,1,4,2,3,3,3,1,2,2,1,2,3
"29",1,2,3,2,1,2,3,1,2,1,3,1,1,1,3,3,1,1,1
"30",2,1,1,1,4,4,4,3,4,1,5,3,2,5,2,5,4,1,2
"31",3,1,3,1,2,3,2,1,1,3,1,2,4,4,2,2,2,1,1
"32",1,2,1,3,4,3,2,2,3,1,1,2,5,3,1,2,4,2,2
"33",2,3,5,5,4,2,2,3,2,1,5,4,1,3,2,4,3,4,2
"34",1,1,2,2,2,1,3,2,3,1,1,2,5,3,1,5,5,3,1
"35",3,2,3,2,1,1,4,4,3,1,1,4,4,1,3,2,1,2,5
"36",2,2,1,2,1,3,3,1,5,2,3,4,2,1,3,2,1,1,1
"37",1,1,2,1,4,2,4,3,4,2,1,1,1,3,1,3,2,3,2
"38",1,3,1,5,1,3,2,3,1,2,1,2,1,5,2,2,4,4,1
"39",2,1,2,1,2,1,3,1,1,4,1,3,1,1,2,3,2,1,1
"40",2,2,1,4,3,2,3,2,5,2,2,1,3,5,1,3,4,2,1
"41",3,1,1,2,1,3,1,2,3,3,3,2,3,1,2,5,1,4,2
"42",3,1,1,4,2,1,1,3,1,1,1,1,1,1,1,3,2,2,3
"43",3,1,2,2,2,3,1,1,4,1,1,2,1,2,1,1,2,3,1
"44",1,3,1,2,3,5,1,2,3,3,2,1,2,3,1,3,2,1,3
"45",3,2,3,3,2,1,1,3,1,1,2,1,1,3,2,1,3,4,3
"46",4,2,3,5,5,1,3,1,1,4,1,4,4,5,3,5,1,2,5
"47",1,2,2,2,2,2,5,3,3,4,4,5,2,2,1,1,3,3,1
"48",2,2,4,1,4,1,3,3,1,1,3,1,3,1,5,1,5,4,4
"49",1,3,1,1,2,2,2,1,1,2,3,1,1,3,3,2,1,3,1
"50",2,2,4,1,4,1,2,4,1,1,2,3,3,3,3,1,5,2,4
"51",3,1,2,3,1,3,2,4,3,1,5,1,1,5,2,4,1,3,3
"52",2,1,1,1,2,1,2,2,1,1,3,3,3,1,3,3,1,1,4
"53",1,4,2,3,4,5,4,2,2,2,1,5,5,1,3,2,4,1,1
"54",2,1,3,1,1,3,3,1,2,2,2,2,1,1,5,2,3,1,1
"55",4,1,2,2,1,2,1,4,3,1,1,1,3,1,1,3,4,1,4
"56",4,3,5,4,2,5,4,4,4,2,1,4,1,3,3,3,5,5,1
"57",3,1,1,1,1,1,4,1,1,3,1,1,2,1,2,3,1,3,2
"58",1,1,4,2,1,3,1,3,2,1,1,1,3,3,1,1,3,1,3
"59",4,4,1,3,5,1,4,5,4,2,3,2,2,4,1,2,5,2,1
"60",3,2,3,4,2,4,4,1,1,2,2,1,2,2,1,3,1,1,1
