"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,3,5,3,4,1,3,4,1,1,2,2,3,4,2,1,5,1
"2",1,4,2,3,3,1,3,2,3,1,5,2,3,1,2,3,5,1,5
"3",1,3,1,3,1,4,1,1,2,1,3,3,1,3,2,2,2,1,1
"4",3,4,3,2,3,1,2,1,3,1,3,2,1,1,2,1,2,3,2
"5",2,1,2,4,3,1,4,1,5,2,2,3,3,1,1,2,3,3,3
"6",5,2,2,3,2,3,4,1,1,4,2,1,1,2,2,3,2,1,1
"7",1,3,2,1,3,3,3,3,1,2,4,3,1,3,2,1,2,3,3
"8",5,5,4,2,2,1,3,4,3,4,5,3,2,5,5,2,4,4,5
"9",1,3,2,1,3,2,1,3,2,1,3,2,3,1,1,2,3,1,2
"10",1,1,2,1,3,3,2,1,5,1,1,1,3,1,1,2,3,3,2
"11",1,3,1,3,2,2,2,1,1,3,5,3,3,1,3,1,1,3,2
"12",1,4,1,2,5,4,4,2,3,1,5,4,3,5,2,4,4,3,2
"13",1,1,3,3,3,2,2,3,3,2,1,1,2,5,3,3,1,3,1
"14",1,4,1,1,4,3,4,5,5,1,2,1,2,5,1,1,5,3,1
"15",1,2,4,1,1,1,3,3,1,1,1,3,1,3,3,1,3,2,2
"16",3,2,1,1,1,2,2,1,1,4,2,1,1,3,3,3,2,2,3
"17",1,1,2,2,1,1,3,1,5,1,1,1,3,3,3,1,1,2,3
"18",4,1,2,4,2,3,1,2,2,1,1,3,5,1,2,2,2,1,2
"19",3,3,2,3,1,3,1,1,3,3,5,1,1,1,3,2,3,3,1
"20",2,1,1,2,2,4,3,3,1,1,2,4,1,4,1,1,3,1,4
"21",1,3,1,1,1,1,3,1,3,1,1,2,2,1,2,5,3,3,1
"22",2,1,3,1,1,3,2,1,2,1,2,3,1,1,2,5,1,4,3
"23",1,1,3,2,2,4,1,4,1,2,1,4,4,3,1,1,3,2,1
"24",2,4,1,1,4,1,2,4,3,5,3,3,2,3,2,4,3,2,1
"25",3,3,1,1,2,3,1,3,3,1,3,2,3,3,1,3,2,3,4
"26",4,1,2,1,1,3,1,3,3,1,1,1,3,3,1,3,2,2,2
"27",1,1,4,1,3,2,1,1,1,3,3,1,1,1,1,1,4,3,2
"28",4,2,2,1,4,1,1,3,3,1,4,2,2,5,2,4,5,2,1
