"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,4,4,4,5,2,3,5,3,3,1,5,4,5,5,4,1,4
"2",1,3,4,4,1,3,1,2,5,2,2,3,2,4,5,3,1,5,2
"3",2,3,3,3,1,2,1,3,1,3,1,1,3,1,2,4,1,4,1
"4",1,1,3,2,3,1,1,1,2,1,1,4,1,4,1,2,1,1,1
"5",1,2,3,4,2,2,2,3,1,1,1,3,2,3,1,1,2,1,3
"6",3,1,1,1,3,2,2,2,2,1,3,4,2,3,5,1,3,1,1
"7",1,4,2,5,1,2,1,1,1,3,2,2,1,1,2,3,2,3,1
"8",5,1,5,3,2,1,2,4,3,5,3,4,3,4,3,2,4,1,4
"9",2,2,2,3,1,1,2,1,1,1,2,1,1,2,1,3,1,2,2
"10",1,1,1,4,3,2,1,3,2,1,3,1,1,3,5,2,3,1,4
"11",2,5,1,2,1,2,3,1,1,2,1,1,1,4,4,3,3,3,3
"12",4,2,2,3,5,5,1,3,4,1,2,4,1,5,1,1,4,2,3
"13",2,1,1,3,1,3,1,1,2,2,3,3,3,1,1,2,2,3,1
"14",4,1,4,1,1,3,1,1,3,3,1,5,1,3,5,3,3,2,3
"15",1,1,1,2,4,1,3,2,1,1,3,1,3,1,1,3,2,2,2
"16",3,2,1,3,5,1,2,3,2,1,2,2,1,4,1,3,1,3,3
"17",3,1,2,3,2,1,1,1,1,1,4,1,1,1,1,2,3,1,4
"18",1,4,3,2,3,5,4,1,4,2,5,1,4,5,4,3,5,1,5
"19",1,1,2,2,2,3,2,1,1,3,3,1,1,3,1,1,3,2,3
"20",1,1,1,3,2,1,2,2,4,1,1,2,3,3,5,1,1,1,3
"21",1,3,1,4,2,2,1,1,1,3,2,1,1,2,3,3,1,1,4
"22",1,1,4,3,3,1,1,2,1,1,3,3,3,1,1,1,5,3,3
"23",3,4,3,4,1,3,4,5,5,5,5,3,1,1,2,5,2,3,4
"24",4,1,2,3,3,2,2,1,5,1,2,4,1,3,1,3,5,3,2
"25",2,3,1,2,1,3,5,3,1,1,2,1,1,5,3,4,1,2,3
"26",4,1,1,1,2,3,1,3,1,1,1,3,4,1,2,1,1,3,2
"27",1,4,1,1,3,3,1,1,3,3,1,1,3,3,1,2,1,1,4
"28",4,1,5,5,4,4,1,1,3,5,1,1,3,1,3,1,3,1,2
"29",2,1,1,1,3,2,3,2,2,2,1,1,1,1,2,4,1,1,3
"30",5,5,5,4,5,2,2,3,1,2,2,2,1,5,1,4,2,1,3
"31",1,1,2,3,2,1,1,1,2,2,5,2,2,2,2,4,1,1,1
"32",1,1,1,5,3,3,4,1,2,2,2,4,1,1,3,1,1,1,3
"33",5,4,2,4,1,1,2,5,5,4,5,1,3,3,5,4,3,4,2
"34",1,1,1,1,1,1,2,1,2,3,1,3,1,2,3,2,2,3,4
"35",3,4,4,1,2,3,1,3,2,5,4,1,2,3,2,2,5,4,3
"36",2,2,3,3,3,2,3,1,1,4,1,4,3,1,5,2,3,2,2
"37",1,2,1,1,2,1,3,2,4,3,3,1,1,2,3,2,2,4,3
"38",1,4,1,3,2,3,3,3,2,2,4,4,4,5,3,1,3,5,1
"39",1,1,2,3,3,2,1,3,1,4,5,2,3,1,1,1,3,2,2
"40",3,1,3,1,1,4,2,3,2,5,3,2,1,1,2,2,1,4,2
"41",1,2,1,1,4,2,1,1,2,1,1,3,3,3,3,3,3,3,2
"42",1,3,3,1,2,4,3,1,1,2,3,2,1,2,3,4,1,1,3
"43",1,2,1,2,1,3,1,1,1,3,2,2,1,2,3,3,4,3,4
"44",2,2,1,1,3,3,1,1,2,2,4,1,1,3,3,2,3,2,5
"45",1,3,2,3,1,2,2,2,1,3,1,3,1,2,2,3,1,3,2
