"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,3,5,5,5,4,1,3,5,2,3,4,5,4,1,4,5,3
"2",3,1,5,3,5,4,4,1,1,3,3,1,5,1,2,2,4,1,3
"3",2,2,1,4,3,1,2,3,1,4,3,1,2,3,2,1,3,4,3
"4",1,1,2,1,5,3,1,4,2,1,3,1,3,1,4,1,1,3,4
"5",2,3,1,1,1,3,2,4,1,3,1,2,3,1,1,2,1,5,1
"6",1,4,3,4,1,1,2,3,4,4,2,1,3,5,5,4,1,3,5
"7",1,1,1,2,1,1,3,4,1,1,5,3,1,1,4,1,5,1,3
"8",5,4,1,4,5,3,4,3,1,1,4,4,5,4,1,3,2,2,5
"9",2,1,1,1,3,1,3,5,1,4,1,2,2,3,2,3,5,1,3
"10",3,1,1,3,2,3,2,1,3,2,2,2,3,1,4,1,5,3,2
"11",1,1,2,1,4,3,5,4,2,1,2,2,1,3,3,1,3,3,2
"12",4,5,3,2,3,1,5,1,2,2,4,1,5,1,1,3,3,1,4
"13",1,1,1,4,1,5,1,1,1,2,1,2,2,2,2,5,4,3,5
"14",1,4,3,3,3,5,5,2,2,5,3,5,1,2,3,3,1,2,2
"15",1,1,2,1,4,1,2,1,3,2,2,1,3,3,2,2,1,3,3
"16",1,5,3,2,3,1,3,5,2,1,3,3,1,2,2,1,1,1,1
"17",1,1,1,1,1,3,3,1,2,3,1,3,5,1,2,2,3,1,1
"18",1,2,3,4,4,5,5,2,2,3,4,4,3,3,1,2,1,5,2
"19",1,1,2,2,3,1,2,3,1,4,2,3,3,2,3,3,3,1,1
"20",1,3,3,2,4,1,5,4,1,2,1,1,2,3,1,5,1,3,3
"21",1,1,1,1,4,1,3,1,2,2,1,2,3,1,2,2,1,2,2
"22",1,1,5,3,3,1,2,3,1,1,3,2,1,2,1,4,3,1,4
"23",3,4,4,2,1,2,4,1,5,5,3,5,1,4,4,1,3,4,4
"24",2,3,2,2,3,3,2,3,4,2,1,3,4,4,1,1,1,3,1
"25",2,1,1,3,2,3,3,3,2,3,3,1,1,3,1,3,1,4,1
"26",1,1,3,1,1,1,2,1,2,1,3,3,1,1,1,1,2,3,1
"27",1,1,2,1,3,1,4,1,2,1,1,3,3,2,1,2,1,2,1
"28",1,2,5,4,3,1,3,2,5,3,3,2,4,1,1,1,4,1,1
"29",2,1,3,2,1,4,1,2,1,2,3,1,1,3,1,1,2,1,1
"30",2,5,3,2,2,1,5,3,3,3,3,5,3,1,1,1,4,4,4
"31",3,1,1,4,2,1,1,2,2,2,1,1,2,3,2,2,2,2,1
"32",1,5,1,3,1,4,1,1,1,2,2,3,1,2,4,1,3,1,1
"33",4,4,5,1,1,5,2,3,4,5,3,1,3,4,3,1,4,3,5
"34",2,3,2,1,3,1,2,2,3,3,1,3,3,1,1,1,4,1,1
"35",3,4,1,1,3,3,3,4,4,2,3,2,4,2,5,2,4,1,4
"36",3,1,2,2,1,2,1,3,1,3,1,3,4,3,2,4,3,5,2
