"","x"
"1",5
"2",4
"3",1
"4",3
"5",2
"6",3
"7",1
"8",5
"9",1
"10",3
"11",1
"12",4
"13",1
"14",2
"15",1
"16",3
"17",1
"18",5
"19",1
"20",2
"21",1
"22",1
"23",5
"24",3
"25",2
"26",1
"27",1
"28",5
"29",1
"30",5
"31",1
"32",1
"33",4
"34",3
"35",2
"36",2
"37",2
"38",4
"39",1
"40",2
"41",1
"42",1
"43",2
"44",1
"45",1
"46",2
"47",1
"48",2
"49",1
"50",5
"51",5
"52",1
"53",2
"54",1
"55",2
"56",5
"57",1
"58",1
"59",2
"60",1
"61",2
"62",1
"63",4
"64",1
"65",2
"66",3
"67",2
"68",2
"69",3
"70",5
"71",4
"72",5
"73",5
"74",4
"75",5
"76",3
"77",5
"78",5
"79",4
"80",5
"81",2
"82",5
"83",2
"84",1
"85",1
"86",2
"87",1
"88",3
"89",1
"90",2
"91",1
"92",1
"93",2
"94",1
"95",3
"96",5
"97",2
"98",5
"99",4
"100",4
"101",2
"102",1
"103",1
"104",4
"105",1
"106",1
"107",3
"108",1
"109",3
"110",5
"111",2
"112",1
"113",2
"114",4
"115",4
"116",1
"117",1
"118",2
"119",3
"120",5
"121",4
"122",4
"123",1
"124",5
"125",5
"126",1
"127",5
"128",5
"129",1
"130",1
"131",1
"132",5
"133",5
"134",3
"135",5
"136",1
"137",3
"138",1
"139",1
"140",2
"141",2
"142",3
"143",2
"144",2
"145",1
"146",1
"147",5
"148",1
"149",2
"150",1
"151",2
"152",5
"153",5
"154",3
"155",2
"156",2
"157",2
"158",5
"159",5
"160",5
"161",2
"162",5
"163",3
"164",5
"165",2
"166",5
"167",5
"168",5
"169",3
"170",3
"171",2
"172",5
"173",1
"174",5
"175",5
"176",1
"177",2
"178",5
"179",3
"180",5
"181",2
"182",5
"183",3
"184",5
"185",5
"186",5
"187",5
"188",5
"189",5
"190",5
"191",5
"192",4
"193",1
"194",5
