"","x"
"1",5
"2",3
"3",3
"4",1
"5",1
"6",3
"7",3
"8",3
"9",1
"10",5
"11",2
"12",3
"13",3
"14",3
"15",1
"16",1
"17",1
"18",4
"19",1
"20",1
"21",1
"22",3
"23",3
"24",1
"25",3
"26",1
"27",1
"28",1
"29",1
"30",5
"31",1
"32",1
"33",4
"34",1
"35",3
"36",3
"37",1
"38",1
"39",3
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",3
"50",2
"51",3
"52",1
"53",1
"54",1
"55",1
"56",3
"57",1
"58",3
"59",4
"60",1
"61",1
"62",1
"63",3
"64",1
"65",1
"66",3
"67",1
"68",1
"69",3
"70",3
"71",2
"72",3
"73",3
"74",5
"75",3
"76",5
"77",3
"78",5
"79",5
"80",1
"81",1
"82",2
"83",1
"84",3
"85",1
"86",1
"87",3
"88",1
"89",1
"90",1
"91",1
"92",5
"93",1
"94",1
"95",1
"96",3
"97",3
"98",3
"99",1
"100",3
"101",1
"102",1
"103",1
"104",3
"105",1
"106",3
"107",1
"108",1
"109",4
"110",1
"111",1
"112",2
"113",4
"114",3
"115",1
"116",1
"117",1
"118",5
"119",5
"120",3
"121",1
"122",1
"123",5
"124",5
"125",4
"126",1
"127",3
"128",3
"129",1
"130",1
"131",3
"132",1
"133",5
"134",1
"135",3
"136",1
"137",1
"138",3
"139",3
"140",3
"141",1
"142",5
"143",1
"144",1
"145",1
"146",1
"147",2
"148",3
"149",3
"150",1
"151",3
"152",5
"153",5
"154",5
"155",1
"156",3
"157",3
"158",1
"159",3
"160",3
"161",1
"162",3
"163",1
"164",3
"165",1
"166",2
"167",3
"168",3
"169",3
"170",1
"171",4
"172",1
"173",1
"174",3
"175",2
"176",4
"177",5
"178",3
"179",3
"180",3
"181",1
"182",3
"183",5
"184",3
"185",3
"186",5
"187",3
"188",5
"189",3
"190",3
"191",5
"192",3
"193",1
"194",1
