"","x"
"1",2
"2",2
"3",3
"4",1
"5",1
"6",3
"7",1
"8",5
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",3
"17",1
"18",4
"19",1
"20",1
"21",1
"22",1
"23",2
"24",4
"25",1
"26",1
"27",1
"28",2
"29",1
"30",4
"31",1
"32",1
"33",2
"34",1
"35",3
"36",2
"37",3
"38",2
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",2
"48",1
"49",1
"50",3
"51",4
"52",1
"53",1
"54",1
"55",2
"56",4
"57",1
"58",1
"59",1
"60",2
"61",1
"62",1
"63",2
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",3
"71",3
"72",4
"73",1
"74",3
"75",1
"76",1
"77",3
"78",3
"79",2
"80",4
"81",1
"82",2
"83",3
"84",1
"85",1
"86",3
"87",3
"88",1
"89",1
"90",1
"91",1
"92",2
"93",1
"94",1
"95",2
"96",2
"97",2
"98",4
"99",3
"100",1
"101",3
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",2
"111",3
"112",1
"113",2
"114",3
"115",2
"116",1
"117",1
"118",1
"119",3
"120",5
"121",1
"122",2
"123",1
"124",1
"125",2
"126",1
"127",5
"128",2
"129",1
"130",1
"131",3
"132",5
"133",5
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",3
"142",1
"143",1
"144",3
"145",1
"146",3
"147",1
"148",1
"149",1
"150",1
"151",1
"152",4
"153",2
"154",1
"155",3
"156",1
"157",3
"158",5
"159",1
"160",4
"161",3
"162",3
"163",1
"164",1
"165",1
"166",1
"167",4
"168",2
"169",3
"170",2
"171",2
"172",5
"173",1
"174",1
"175",2
"176",1
"177",4
"178",4
"179",3
"180",3
"181",1
"182",4
"183",3
"184",3
"185",4
"186",3
"187",5
"188",4
"189",4
"190",1
"191",4
"192",2
"193",2
"194",3
